91-Pa-232(n,total fission) ENDF/B-VII.1
1.0E-5,73110.3
1.31241E-5,63818.3
1.70876E-5,55929.1
2.2426E-5,48821.1
2.91987E-5,42786.1
3.83206E-5,37348.1
4.98935E-5,32731.6
6.54808E-5,28571.7
8.52562E-5,25040.6
1.11891E-4,21858.4
1.45682E-4,19156.6
1.91195E-4,16722.8
2.48937E-4,14656.3
3.26707E-4,12793.7
4.25373E-4,11213.0
5.58264E-4,9788.57
7.26861E-4,8580.0
9.53941E-4,7490.62
0.00124203,6565.66
0.00163006,5732.71
0.00212234,5025.87
0.00278538,4389.18
0.00362657,3849.64
0.00475955,3369.41
0.00619694,2956.38
0.00813293,2584.26
0.0105891,2272.7
0.0138972,1987.77
0.0180942,1748.91
0.0234661,1547.39
0.0253,1491.6
0.033204,1314.27
0.0474582,1125.62
0.0617907,1012.7
0.0810948,923.399
0.105586,867.484
0.12913,851.44
0.169472,886.498
0.21163,999.421
0.287463,1322.06
0.318184,1376.67
0.344179,1322.72
0.379627,1128.95
0.42689,836.3
0.457314,695.928
0.485226,606.034
0.513137,548.41
0.54089,517.512
0.568643,507.944
0.645867,530.711
0.672172,518.696
0.706199,470.8
0.775581,338.192
0.814796,283.044
0.852784,246.471
0.903435,216.473
0.962914,198.927
1.03619,192.978
1.14651,187.894
1.25806,168.865
1.28248,167.778
1.32217,174.296
1.35235,189.611
1.39747,222.364
1.41577,226.867
1.43549,218.933
1.4707,182.777
1.50028,152.679
1.53127,130.845
1.56436,116.197
1.61718,102.936
1.6876,94.0634
1.75802,89.73
1.85661,87.7213
1.96944,89.7001
2.08451,96.7613
2.19424,110.607
2.27493,128.393
2.33948,150.685
2.39596,180.019
2.44276,215.539
2.48794,265.105
2.52506,322.799
2.56379,406.653
2.60284,523.041
2.68094,822.445
2.70676,893.343
2.73129,917.812
2.75582,894.663
2.79455,787.258
2.85354,598.872
2.88335,534.325
2.91317,495.84
2.94592,480.081
3.03291,498.457
3.06856,483.165
3.11134,427.308
3.19547,281.849
