93-Np-238(n,&gamma;) ENDF/B-VII.1
1.0E-5,26924.8
1.31241E-5,23502.4
1.70876E-5,20596.6
2.2426E-5,17978.5
2.91987E-5,15755.5
3.83206E-5,13752.3
4.98935E-5,12051.7
6.54808E-5,10519.2
8.52562E-5,9218.17
1.11891E-4,8045.55
1.45682E-4,7049.83
1.91195E-4,6152.68
2.48937E-4,5390.69
3.26707E-4,4703.67
4.25373E-4,4120.34
5.58264E-4,3594.35
7.26861E-4,3147.73
9.53941E-4,2744.74
0.00124203,2402.11
0.00163006,2093.02
0.00212234,1830.14
0.00278538,1592.65
0.00362657,1390.63
0.00475955,1210.03
0.00619694,1053.66
0.00849508,890.711
0.0116243,752.165
0.0151349,648.225
0.0198632,555.671
0.0234661,504.3
0.0253,481.949
0.0346825,396.523
0.0453449,333.157
0.0592642,277.773
0.0774837,229.667
0.0969512,194.656
0.121069,164.334
0.150913,138.261
0.187067,116.306
0.234577,96.4712
0.293514,79.6556
0.36653,65.6056
0.438198,56.496
0.500964,51.3515
0.579721,48.0777
0.614393,47.7261
0.679401,48.8637
0.75421,53.3733
0.819456,60.7528
0.879991,71.4697
0.947715,88.2911
1.04344,115.863
1.08694,123.553
1.1087,124.675
1.15221,120.555
1.20768,105.446
1.30884,71.7156
1.36731,57.0519
1.4187,47.7991
1.46543,41.9088
1.5175,37.6738
1.56957,35.512
1.60718,35.0879
1.66488,36.1195
1.78536,41.3741
1.81775,41.8116
1.87445,40.1749
1.97568,34.0086
2.02833,32.742
2.05971,33.509
2.0911,36.016
2.11463,39.6358
2.13817,45.6595
2.1564,53.0321
2.17411,63.9402
2.1893,77.9204
2.20327,96.529
2.21575,119.627
2.22942,153.524
2.2656,265.984
2.27901,289.964
2.28537,292.886
2.2966,283.603
2.31084,250.074
2.34068,156.96
2.35379,124.914
2.36603,102.556
2.37866,86.047
2.39359,72.9653
2.41065,63.9293
2.42771,59.174
2.44477,57.4387
2.46806,58.6076
2.53654,70.8282
2.5516,71.3825
2.57795,68.0234
2.61579,56.5856
2.65556,44.3371
2.68875,37.2046
2.71641,33.3204
2.75514,30.0773
2.81046,27.9793
2.93217,26.7169
2.95983,26.6878
3.01516,27.2945
3.06495,29.2749
3.10229,32.2438
3.14249,37.467
3.18874,46.4728
3.24168,58.2317
3.26689,61.9751
3.28957,63.1657
3.32738,60.5609
3.39175,52.1795
3.42603,50.6749
3.51079,54.2495
3.54356,52.1228
3.58312,44.7975
3.64358,31.4541
3.6772,25.9423
3.71082,22.062
3.7506,19.1546
3.79037,17.6488
3.82142,17.3053
3.86005,17.929
3.88902,19.3138
3.92253,22.1755
3.96229,27.4855
4.00228,33.4087
4.03209,35.8196
4.03864,35.9494
4.0659,34.9941
4.12634,30.0042
4.1486,29.5034
4.17416,30.7465
4.19121,32.9488
4.21251,37.7872
4.23074,44.5014
4.24751,53.6656
4.26345,65.9272
4.28111,84.3481
4.31172,125.884
4.3337,152.948
4.3494,162.919
4.35557,163.783
