93-Np-238(n,&gamma;) ENDF/B-VII.1
4.37242,157.005
4.39335,134.093
4.42848,87.2191
4.44562,69.6109
4.46164,57.5701
4.47734,49.3662
4.49696,42.9827
4.51659,39.8378
4.53098,39.1984
4.54775,40.1072
4.56453,42.921
4.58335,48.856
4.59903,56.7758
4.61471,68.3091
4.63164,85.8363
4.65083,112.475
4.68395,165.342
4.699,182.615
4.71455,189.321
4.7291,183.595
4.74717,162.896
4.78718,100.554
4.80574,78.335
4.82192,64.6107
4.83809,55.4388
4.85201,50.4575
4.86906,47.2018
4.88533,46.3703
4.90858,47.9592
4.96064,54.654
4.97147,54.9314
4.99113,53.4599
5.016,48.1877
5.07618,30.6245
5.10186,25.0819
5.12646,21.3553
5.15374,18.7063
5.18102,17.274
5.20613,16.853
5.23123,17.2446
5.25634,18.4672
5.29233,21.5611
5.33333,25.5911
5.35693,26.8258
5.36513,26.9174
5.38689,26.2686
5.42371,23.1133
5.46451,19.4722
5.49589,18.0222
5.51159,17.8544
5.53878,18.5114
5.55918,19.9204
5.58046,22.5237
5.59856,26.0795
5.61305,30.2675
5.6283,36.5922
5.64149,44.268
5.65468,54.6214
5.6709,71.6804
5.69258,101.262
5.71899,138.236
5.73397,151.709
5.74588,155.347
5.7592,151.176
5.77576,135.654
5.8174,80.3477
5.83295,64.4252
5.84799,53.2184
5.86393,45.2004
5.88098,39.8565
5.90144,36.2701
5.93112,33.9338
6.00461,30.9363
6.06028,26.5865
6.1377,19.8179
6.17791,17.3357
6.21552,15.8673
6.25312,15.2056
6.26566,15.1621
6.30234,15.561
6.33902,16.8225
6.37396,18.9854
6.41068,22.4904
6.45396,28.4129
6.52151,39.3029
6.55495,42.5423
6.57121,42.9617
6.59692,42.0128
6.63657,38.2886
6.65,37.0455
6.65,22.49
7.31915,21.4655
7.91308,20.6608
8.60302,19.832
9.5108,18.8813
10.4427,18.0266
11.3264,17.3059
12.5708,16.4231
13.3221,15.9512
14.7464,15.1578
16.3749,14.3809
17.5872,13.8742
19.161,13.2896
21.0398,12.6793
22.9912,12.1263
25.2832,11.5605
27.5408,11.0738
30.0,10.6077
32.884,10.1288
35.5098,9.74468
38.6816,9.334
42.3949,8.91318
46.0407,8.55069
50.0,8.20294
54.3879,7.86264
57.9297,7.6167
63.6795,7.26216
70.0,6.92411
76.5286,6.61982
81.8215,6.40041
90.4553,6.08485
100.0,5.78485
109.051,5.53759
117.64,5.32992
129.41,5.07974
140.162,4.8794
153.19,4.66557
168.495,4.44686
183.573,4.25881
200.0,4.0787
221.336,3.87567
245.726,3.67688
263.879,3.54722
287.441,3.39764
309.733,3.27235
338.156,3.13121
372.89,2.98119
412.449,2.834
441.802,2.73783
479.795,2.62673
521.478,2.51942
579.297,2.39057
636.795,2.28026
700.0,2.17503
765.286,2.08111
818.215,2.01334
904.553,1.9158
1000.0,1.82299
1090.51,1.74822
1216.07,1.65852
1332.21,1.58699
1474.64,1.51096
1637.49,1.43637
1758.72,1.38763
1916.1,1.33132
2000.0,1.30403
2213.36,1.24434
2457.26,1.18565
2638.79,1.14722
2874.41,1.10275
3097.33,1.06634
3381.56,1.02661
3728.9,0.984102
4140.73,0.940509
4550.12,0.902929
5000.0,0.86685
5613.08,0.828404
6073.66,0.803173
6676.5,0.773908
7000.0,0.759678
7913.08,0.727459
8603.02,0.706279
9510.8,0.681675
10000.0,0.669696
10000.0,0.669666
15988.1,0.586421
21519.3,0.541916
32879.4,0.491779
59268.9,0.429965
133744.0,0.313504
169588.0,0.277674
212204.0,0.246305
269384.0,0.205106
310340.0,0.180017
345880.0,0.158136
400000.0,0.135596
592406.0,0.0950602
760927.0,0.0723026
880342.0,0.0602649
1049110.0,0.047727
1249000.0,0.0364132
1449140.0,0.0278578
1649240.0,0.0211703
1849320.0,0.0159645
2050860.0,0.011921
2214640.0,0.00941155
2399480.0,0.00725169
2590380.0,0.00555645
2795550.0,0.00419221
2969300.0,0.00333705
3133400.0,0.00270097
3332450.0,0.00212078
3529330.0,0.0016896
3735390.0,0.00135248
3967110.0,0.00106606
4200000.0,8.74742E-4
4500000.0,6.91209E-4
5000000.0,5.63701E-4
5500000.0,5.57554E-4
6125000.0,6.30243E-4
6592880.0,7.09325E-4
7185870.0,8.53224E-4
7745970.0,0.00102516
9000000.0,0.00144982
9750000.0,0.00160517
1.025E7,0.00164759
1.05E7,0.00165317
1.15E7,0.00161951
1.25E7,0.00148806
1.5E7,9.02358E-4
1.6E7,7.4643E-4
1.7E7,6.35747E-4
1.85E7,5.20116E-4
1.9E7,4.89699E-4
1.975E7,4.64053E-4
2.0E7,4.51223E-4
