92-U-236(n,total fission) ENDF/B-VII.1
35.5941,0.00404463
35.827,0.00356041
36.1001,0.00323879
36.2955,0.00311157
36.6862,0.00301985
37.1552,0.00308948
37.7556,0.00338769
38.2815,0.0038311
38.8891,0.00460284
39.4222,0.00558301
39.9553,0.00701391
40.4351,0.00890193
40.8083,0.0110349
41.1282,0.0136019
41.4041,0.0166569
41.675,0.0207935
41.9117,0.0258825
42.1279,0.0324432
42.3081,0.0400826
42.4667,0.0493366
42.6163,0.061424
42.7424,0.0755515
42.8577,0.0933149
42.9586,0.114642
43.0555,0.143017
43.1383,0.176883
43.2109,0.217852
43.2798,0.272231
43.3397,0.338992
43.3902,0.417946
43.4343,0.515199
43.4721,0.634836
43.5037,0.781382
43.5289,0.954792
43.5487,1.15115
43.5667,1.40261
43.5825,1.70713
43.5983,2.12416
43.6145,2.71615
43.6289,3.42971
43.6433,4.37429
43.6577,5.61177
43.6726,7.26817
43.6894,9.71327
43.7063,12.8722
43.724,17.0786
43.7467,23.8713
43.7759,34.8185
43.848,65.5884
43.8797,74.9252
43.9084,78.0824
43.9097,78.0887
43.9374,75.401
43.9677,66.9862
44.0156,46.9866
44.0563,29.843
44.0823,20.9232
44.1033,15.1812
44.1212,11.3619
44.1374,8.63755
44.1533,6.56866
44.1677,5.11599
44.1821,3.9968
44.1965,3.14494
44.2118,2.46806
44.2276,1.95697
44.2433,1.58424
44.2614,1.27835
44.2812,1.04247
44.3028,0.862774
44.3298,0.707507
44.3632,0.576782
44.401,0.473452
44.4452,0.3873
44.4938,0.318329
44.5569,0.254062
44.6235,0.20562
44.6992,0.165962
44.7893,0.132262
44.8902,0.105542
45.0055,0.0839173
45.1317,0.0670994
45.2758,0.0534285
45.4326,0.0428474
45.611,0.0342301
45.8002,0.0276664
46.0164,0.022237
46.2711,0.0176869
46.5443,0.0142539
46.8295,0.0116075
47.1745,0.00928981
47.5195,0.00761261
47.9219,0.00618158
48.3819,0.00500237
48.9185,0.00402236
49.4552,0.00333675
49.9918,0.0028057
50.6051,0.00235715
51.3717,0.00195273
52.2916,0.00160911
53.2115,0.00137516
54.7448,0.00112577
55.9713,0.00100932
57.2403,9.43993E-4
58.5092,9.20208E-4
59.7782,9.40765E-4
61.0471,0.00100616
62.1046,0.00111814
62.8981,0.00125555
63.2163,0.00135342
63.4549,0.00147431
63.6139,0.00161585
63.7183,0.0017801
63.7929,0.00200107
63.8302,0.00220797
63.8613,0.0025011
63.8861,0.00288441
63.9097,0.00345609
63.9271,0.00407287
63.9467,0.0050501
63.9641,0.00625781
63.9815,0.007884
63.9989,0.010039
64.0185,0.013246
64.039,0.0176788
64.0613,0.0239783
64.0862,0.0329624
64.1165,0.046777
64.1667,0.0747791
64.2184,0.103337
64.2542,0.117011
64.2892,0.121936
64.2899,0.121937
64.3238,0.117443
64.3626,0.102708
64.464,0.046522
64.4944,0.0327802
64.5196,0.0238026
64.542,0.0176057
64.5615,0.0134241
64.581,0.010256
64.5994,0.00799141
64.6179,0.00631412
64.6364,0.00509432
64.6549,0.00422074
64.6734,0.00360239
64.6945,0.00311736
64.7156,0.00279366
64.7473,0.00249446
64.797,0.00225501
64.8467,0.00213486
