92-U-233(n,&gamma;) ENDF/B-VII.1
1.0E-5,2233.23
1.31241E-5,1949.4
1.70876E-5,1708.42
2.2426E-5,1491.3
2.91987E-5,1306.95
3.83206E-5,1140.84
4.98935E-5,999.821
6.54808E-5,872.754
8.52562E-5,764.892
1.11891E-4,667.686
1.45682E-4,585.159
1.91195E-4,510.816
2.48937E-4,447.69
3.26707E-4,390.796
4.25373E-4,342.511
5.58264E-4,298.999
7.26861E-4,262.081
9.53941E-4,228.803
0.00124203,200.548
0.00163006,175.103
0.00212234,153.509
0.00278538,134.057
0.00362657,117.572
0.00475955,102.898
0.00619694,90.2727
0.00813293,78.8942
0.0105891,69.3618
0.0138972,60.6349
0.0180942,53.3079
0.0234661,47.1021
0.0253,45.3734
0.033204,39.8878
0.0432317,35.3811
0.0567377,31.5402
0.0738726,28.672
0.0969512,26.9631
0.105586,26.8257
0.133859,27.9192
0.154751,28.7679
0.170978,27.7369
0.206443,22.5438
0.240528,19.3201
0.265289,16.3475
0.291225,14.6697
0.317161,13.6929
0.379175,12.4591
0.474444,11.7225
0.70529,11.4041
0.823723,11.7722
0.94182,13.0165
1.03545,14.7878
1.12464,17.386
1.20268,20.7217
1.28072,25.5502
1.35504,32.1119
1.41926,39.8472
1.48585,50.537
1.53788,61.7829
1.58247,75.1333
1.6241,93.0213
1.66572,118.278
1.72365,160.388
1.74791,172.476
1.76732,175.78
1.7843,173.168
1.81463,157.37
1.88817,101.118
1.92501,80.1026
1.95533,67.8205
1.98566,59.321
2.02205,53.2044
2.05162,51.1292
2.06147,51.0125
2.09028,52.5091
2.11909,57.4456
2.14156,64.772
2.16028,74.4398
2.17901,89.1759
2.1951,108.133
2.20889,131.357
2.22269,163.7
2.23648,207.805
2.25395,281.619
2.28108,405.972
2.29488,441.936
2.30085,446.276
2.31235,433.521
2.32476,392.617
2.36091,220.961
2.37528,167.382
2.38879,129.753
2.40258,101.786
2.41638,81.5896
2.43046,66.5732
2.44615,54.3825
2.46546,43.701
2.48687,35.3923
2.51039,28.9542
2.53782,23.6994
2.56722,19.737
2.60249,16.3628
2.64169,13.7446
2.69068,11.5041
2.74947,9.72731
2.81217,8.49611
2.88272,7.62722
2.97678,7.03768
3.03949,6.92615
3.13669,7.17018
3.20959,7.72711
3.27857,8.64756
3.33814,9.87996
3.39223,11.5559
3.43142,13.3541
3.46277,15.4476
3.49287,18.4778
3.51357,21.5747
3.53363,25.8497
3.5537,31.8876
3.57722,41.5327
3.61307,57.7676
3.63224,62.4497
3.6394,62.7881
3.65608,60.3664
3.67814,51.79
3.7161,33.8197
3.73721,26.2773
3.75614,21.3733
3.77543,17.7814
3.79855,14.765
3.8263,12.3153
3.85886,10.3844
3.89771,8.84696
3.94433,7.64223
4.01018,6.59783
4.08566,5.93145
4.16113,5.60431
4.24401,5.50334
4.38608,5.7492
4.64655,6.61854
4.71759,6.68651
4.85966,6.41516
5.10237,5.43216
5.22668,5.1398
5.28588,5.11127
5.38523,5.28405
5.48459,5.84732
5.55083,6.58202
