93-Np-239(n,total fission) ENDF/B-VII.1
1.0E-5,1.40995
1.30374E-5,1.23483
1.71104E-5,1.07788
2.22778E-5,0.944632
2.92376E-5,0.824566
3.80674E-5,0.722632
4.996E-5,0.630781
6.50481E-5,0.5528
8.53698E-5,0.482534
1.11152E-4,0.422877
1.45877E-4,0.369123
1.89932E-4,0.323486
2.49268E-4,0.282364
3.24548E-4,0.247452
4.2594E-4,0.215996
5.54575E-4,0.189288
7.2783E-4,0.165224
9.47636E-4,0.144794
0.00124369,0.126386
0.00161928,0.11076
0.00212517,0.0966776
0.00276697,0.0847204
0.0036314,0.0739535
0.00472809,0.0648071
0.0062052,0.0565605
0.00807918,0.0495831
0.0106032,0.0432779
0.0138054,0.0379291
0.0181183,0.0331049
0.0244451,0.0284979
0.0253,0.0280143
0.033204,0.0244759
0.0432317,0.021464
0.0567377,0.0187523
0.0738726,0.016449
0.0969512,0.0143673
0.126231,0.0126016
0.165666,0.0110088
0.215698,0.00965484
0.283085,0.00843692
0.368577,0.00739827
0.483724,0.0064552
0.629809,0.00564964
0.826569,0.00492331
1.07619,0.00431747
1.45385,0.00374368
2.01004,0.00321073
2.75408,0.00275739
3.70957,0.00238546
5.0,0.0020595
6.68397,0.00178263
9.04553,0.00152776
12.3525,0.00129979
16.7894,0.00110489
22.8813,9.38248E-4
30.9733,7.97667E-4
41.2449,6.83304E-4
56.1308,5.78041E-4
76.1612,4.89204E-4
100.0,4.20537E-4
129.41,3.63766E-4
173.308,3.08771E-4
229.912,2.62944E-4
304.381,2.24186E-4
399.427,1.91443E-4
521.939,1.64169E-4
676.02,1.41309E-4
893.281,1.20289E-4
1176.4,1.02984E-4
1531.9,8.89132E-5
2000.0,7.66544E-5
2756.6,6.50665E-5
3550.98,5.77335E-5
5000.0,4.95352E-5
7000.0,4.38222E-5
10000.0,3.96249E-5
20000.0,3.57425E-5
31262.3,3.58292E-5
50000.0,3.5809E-5
91346.8,4.20436E-5
100000.0,4.30521E-5
118337.0,4.73324E-5
120000.0,4.72669E-5
140000.0,5.29213E-5
172690.0,7.00075E-5
190137.0,8.32672E-5
223724.0,1.15539E-4
246189.0,1.43816E-4
278778.0,1.95417E-4
309403.0,2.59634E-4
334520.0,3.24995E-4
357464.0,4.00808E-4
383557.0,5.24623E-4
404756.0,6.50463E-4
422375.0,7.86996E-4
446125.0,0.00105652
471870.0,0.0014281
500000.0,0.00194777
524568.0,0.00262861
548990.0,0.00348866
575026.0,0.00466006
600000.0,0.00607107
624832.0,0.00816117
649342.0,0.0107916
675283.0,0.0143608
700000.0,0.0186447
727293.0,0.0250921
755913.0,0.0338222
785486.0,0.0455374
812728.0,0.0595205
843102.0,0.0795762
874304.0,0.10627
922501.0,0.158675
959486.0,0.20883
1008640.0,0.291058
1066650.0,0.386576
1100000.0,0.452125
1200000.0,0.590154
1300000.0,0.68313
1500000.0,0.787612
1774660.0,0.857075
2150000.0,0.896308
2700000.0,0.912018
3500000.0,0.897198
5000000.0,0.77394
5500000.0,0.755099
6000000.0,0.884302
6391400.0,1.19693
6553550.0,1.33029
7000000.0,1.62657
7500000.0,1.71176
8123210.0,1.67411
9750000.0,1.46925
1.2E7,1.35534
1.25E7,1.34144
1.325E7,1.35906
1.425E7,1.47311
1.6E7,1.74611
1.8E7,1.87298
2.0E7,1.9369
