96-Cm-243(n,total fission) ENDF/B-VII.1
1.0E-5,29498.4
1.31241E-5,25749.2
1.70876E-5,22566.1
2.2426E-5,19698.1
2.91987E-5,17263.1
3.83206E-5,15068.9
4.98935E-5,13206.1
6.54808E-5,11527.7
8.52562E-5,10102.9
1.11891E-4,8818.81
1.45682E-4,7728.62
1.91195E-4,6746.54
2.48937E-4,5912.6
3.26707E-4,5160.95
4.25373E-4,4523.01
5.58264E-4,3948.08
7.26861E-4,3460.24
9.53941E-4,3020.46
0.00124203,2646.98
0.00163006,2310.56
0.00212234,2025.0
0.00278538,1767.66
0.00362657,1549.4
0.00475955,1355.14
0.00619694,1187.77
0.00813293,1036.7
0.0105891,910.013
0.0138972,793.677
0.0180942,695.653
0.0234661,612.557
0.0253,589.769
0.033204,514.993
0.0432317,452.965
0.0567377,396.682
0.0738726,349.741
0.0969512,309.864
0.126231,276.654
0.165666,249.392
0.215698,230.663
0.282542,220.91
0.30721,220.387
0.402727,231.091
0.515783,265.293
0.603093,295.097
0.666149,303.447
0.734057,293.654
0.860171,262.791
0.903825,259.777
0.972176,266.891
1.10404,301.214
1.14524,304.626
1.29358,288.734
1.35389,300.715
1.4595,358.098
1.474,359.965
1.58601,336.188
1.64602,347.667
1.71603,384.069
1.78502,441.066
1.85697,526.115
1.91698,624.144
1.97159,746.093
2.08681,1070.32
2.2133,1431.35
2.26959,1537.12
2.30337,1553.91
2.35966,1493.35
2.43425,1285.79
2.55388,899.192
2.61861,742.49
2.681,641.142
2.7642,576.074
2.82061,548.756
2.82901,548.408
2.86056,560.65
2.89211,597.833
2.92323,664.996
2.95954,791.543
3.03895,1186.03
3.06555,1246.29
3.07087,1247.02
3.09215,1209.73
3.12035,1079.17
3.17781,734.725
3.21,583.832
3.23793,486.636
3.27385,397.97
3.31375,332.946
3.347,297.02
3.38424,270.808
3.43213,254.236
3.45607,252.658
3.48966,258.796
3.52324,277.313
3.55147,306.591
3.5797,354.95
3.6051,423.174
3.62815,514.014
3.6512,638.668
3.7005,965.813
3.72045,1050.14
3.7328,1065.54
3.74905,1037.1
3.77164,920.913
3.82225,570.504
3.84502,450.051
3.8676,362.007
3.89301,291.941
3.91841,243.1
3.94382,208.27
3.98051,173.581
4.01814,149.782
4.06519,129.849
4.12378,113.843
4.18667,102.894
4.27051,94.0659
4.38813,87.8309
4.50576,86.0799
4.68219,89.4812
4.85863,99.9423
5.00566,115.853
5.12328,135.952
5.2115,157.821
5.3056,191.207
5.38794,233.234
5.47616,296.48
5.63495,435.474
5.69141,462.722
5.73258,468.147
5.94414,437.961
5.95753,437.703
6.05126,438.719
6.16285,428.883
6.29676,385.075
6.48424,305.901
6.58244,278.606
6.68064,268.891
6.74916,275.442
6.81769,297.108
6.86909,327.037
6.92905,383.284
6.98123,459.649
7.03418,571.754
7.15121,900.626
7.19392,968.037
7.20929,973.23
7.24517,942.424
7.29129,832.75
7.38269,560.333
7.43095,449.944
7.48327,363.659
7.53559,304.345
7.59151,261.846
7.64744,234.255
7.71455,214.911
7.78211,206.857
7.80464,206.392
7.87971,212.716
7.95478,231.988
8.04687,273.219
8.13896,314.746
8.18701,322.171
8.24707,313.284
8.37215,275.245
8.44614,265.223
8.48313,264.465
8.57671,272.818
8.73268,308.019
8.94479,363.236
9.08205,377.973
9.20682,365.805
9.36903,320.065
9.63729,228.185
9.79293,188.288
9.93773,163.757
10.0618,152.845
10.1297,151.236
10.2282,154.722
10.3775,172.037
10.4963,186.055
10.5371,187.365
10.6049,183.124
10.7068,163.17
10.8871,117.655
10.9915,98.2754
11.0785,87.1233
11.182,79.1216
11.2838,76.6594
11.3517,78.5598
11.4196,84.4993
11.4705,93.001
11.5214,107.103
11.5611,124.337
11.5956,146.51
11.6244,172.881
11.6553,213.194
11.6828,264.058
11.7103,333.523
11.744,446.999
11.8082,697.251
11.8378,766.166
11.8532,776.0
11.8756,755.245
11.9043,676.175
11.9748,398.085
12.0033,307.725
12.0303,242.876
12.0572,195.04
12.0847,159.479
12.1163,130.351
12.1508,108.05
12.1848,92.6864
12.2223,81.1372
12.2645,73.3543
12.3067,69.917
12.3863,66.5895
12.426,61.3516
12.5168,44.5401
12.5637,38.4596
12.6293,33.151
12.7231,28.6901
12.8282,25.5463
12.997,22.3746
13.213,20.0989
13.4454,19.0627
13.518,18.9977
13.7116,19.5021
13.8568,20.726
13.9914,22.897
14.1063,26.1262
14.1956,30.1927
14.2712,35.548
14.3317,42.0096
14.3839,50.1982
14.4315,61.1386
14.4724,74.6757
14.5087,91.5151
14.545,114.538
14.5876,150.956
14.6651,230.802
14.7014,256.709
14.7282,263.14
14.7619,253.63
14.8054,218.726
14.8793,146.154
14.9201,115.794
14.9564,96.5477
14.9942,82.761
15.0396,72.2877
15.0804,66.7957
15.1319,63.5658
15.1576,63.1513
15.2263,65.3027
15.2921,71.609
15.3565,82.3717
15.4101,95.9007
15.4659,116.169
15.5185,143.594
15.5679,179.905
15.6161,228.939
15.6663,297.097
15.7848,492.02
15.8191,527.327
15.849,537.775
15.8809,525.656
15.9264,472.709
16.0442,275.652
16.0925,213.065
16.1375,168.955
16.1826,136.059
16.2351,108.098
16.2877,87.9774
16.3478,71.444
16.4154,58.311
16.483,49.012
16.5666,41.0229
16.6525,35.6162
16.7157,32.9976
16.7993,31.0787
16.841,30.8027
16.922,31.9272
16.9696,34.0664
17.0172,38.0308
17.0529,42.9065
17.0886,50.3062
17.1243,61.2883
17.1611,77.2873
17.2523,126.571
17.2828,135.945
17.2988,137.488
17.3266,134.271
17.3637,120.59
17.4332,87.686
17.467,76.7341
17.5005,71.1239
17.5172,70.2472
17.545,71.5253
17.5798,77.7945
17.6146,89.0611
17.6755,117.775
17.7248,140.223
17.7599,148.112
17.7708,148.507
17.8067,142.458
17.8524,121.806
17.9289,79.5891
17.9679,63.1647
18.0047,52.2746
18.0348,46.6703
18.0664,44.0686
18.0709,43.9914
18.098,45.1874
18.1302,50.2587
18.1931,64.9021
18.2224,67.6103
18.247,65.4722
18.2739,58.7687
18.3423,34.7522
18.3688,27.595
18.3953,22.4733
18.424,18.7891
18.4536,16.3253
18.4918,14.3137
18.5395,12.721
18.6243,10.9905
18.7303,9.6952
18.8871,8.58273
19.0425,8.0155
19.0834,7.96095
19.1551,8.14038
19.2718,9.20844
19.2816,9.22118
19.3394,8.84964
19.4152,8.2298
19.4503,8.175
19.538,8.45483
19.6696,9.50355
19.7727,11.0211
19.8516,12.9155
19.9152,15.2189
19.9766,18.4925
20.0315,22.7201
20.0841,28.3567
20.1473,37.3679
20.2319,50.6769
20.2784,55.4337
20.31,56.4476
20.3556,54.3425
20.4153,46.7165
20.5118,31.8726
20.5644,25.6689
20.6127,21.4963
20.6675,18.1847
20.7223,15.9975
20.7969,14.2862
20.8583,13.6892
20.889,13.627
20.9592,14.0797
21.0118,15.0525
21.0688,16.9676
21.1182,19.7525
21.1576,23.2335
21.1918,27.7707
21.2194,33.1465
21.2424,39.5253
21.264,47.9392
21.2829,58.2218
21.3019,72.307
21.3218,92.5209
21.3399,117.211
21.3608,154.621
21.385,209.866
21.4508,389.495
21.4742,434.485
21.4997,452.697
21.5221,438.396
21.546,395.314
21.5954,260.616
21.6256,182.403
21.6478,136.68
21.6673,105.391
21.6854,83.2722
21.7036,66.6133
21.7243,52.7237
21.7449,42.8156
21.7691,34.6695
21.795,28.5903
21.826,23.5289
21.8588,19.8009
21.9002,16.516
21.9531,13.6902
22.0106,11.6411
22.0796,10.0019
22.1594,8.76433
22.2607,7.78426
22.3958,7.08763
22.4772,6.9475
22.5326,7.11943
22.5723,7.62111
22.6109,8.67264
22.6924,12.1492
22.725,12.8253
22.7303,12.8411
22.7634,12.3286
22.8512,8.804
22.8888,7.88102
22.9301,7.4588
22.9625,7.38716
23.0436,7.60928
23.1757,8.55085
23.2583,9.67784
23.3106,10.9432
23.3518,12.6227
23.3862,14.8051
23.4207,17.9143
23.5038,27.4536
23.5401,29.9863
23.5599,30.3576
23.5979,29.1092
23.678,23.2261
23.7151,21.6232
23.7426,21.2516
23.7867,21.9034
23.8422,24.4374
23.8983,28.754
23.9521,34.9853
23.9972,42.5694
24.0391,52.6657
24.0729,64.1759
24.1067,80.3327
24.1367,100.518
24.1625,124.005
24.1915,159.518
24.2204,206.792
24.2537,276.409
24.3333,467.905
24.3608,512.129
24.3895,529.179
24.414,516.944
24.4499,460.062
24.5402,244.984
24.5724,184.537
24.6014,143.238
24.6277,115.172
24.6583,91.3135
24.6873,75.0884
24.7216,61.377
24.7592,50.9427
24.8021,42.7756
24.8504,36.6618
24.8987,32.6993
24.9566,29.9183
25.0146,28.7949
25.0339,28.7501
25.0973,29.7833
25.1449,31.9221
25.1904,35.4291
25.2348,40.8535
25.2718,47.6742
25.307,57.1986
25.3394,70.0844
25.3658,84.9913
25.3908,104.344
25.4158,130.512
25.4411,165.572
25.4681,214.18
25.5089,306.609
25.5607,430.257
25.5933,482.662
25.6195,496.865
25.6467,481.539
25.6793,428.079
25.7635,228.547
25.7931,172.114
25.82,132.718
25.8459,104.218
25.8719,83.2222
25.8996,66.9044
25.9274,55.097
25.9589,45.4066
25.9978,36.9574
26.0432,30.1618
26.0889,25.3696
26.1478,21.0669
26.2066,18.0832
26.2796,15.5211
26.3525,13.7595
26.4618,12.0755
26.5971,11.0428
26.6958,10.8309
26.8022,11.0998
26.9162,12.1349
26.9921,13.5104
27.0491,15.1443
27.1137,17.9963
27.1669,21.5198
27.2277,27.1898
27.3386,39.7557
27.3796,42.8085
27.4124,43.7182
27.4586,42.4711
27.5194,37.5223
27.5999,29.8757
27.6501,26.4181
27.7025,24.2502
27.7595,23.3683
27.8203,23.823
27.881,25.576
27.9518,29.3982
28.0138,34.7873
28.0675,41.6693
28.1199,51.2111
28.1679,63.3671
28.2192,80.8775
28.2859,110.801
28.3654,149.191
28.4124,164.536
28.45,168.643
28.4876,164.4
28.5346,148.982
28.6616,89.0208
28.7128,69.9179
28.7663,55.2267
28.8175,45.2231
28.8774,37.2128
28.9372,31.9083
29.0013,28.2612
29.0654,26.1196
29.1359,25.1255
29.1594,25.0834
29.2447,26.2109
29.3157,29.0786
29.3724,33.3277
29.4221,39.3649
29.4647,47.2513
29.5051,58.1616
29.5449,73.1833
29.5868,94.1794
29.6819,150.369
29.7205,165.281
29.75,169.081
29.7795,165.429
29.8181,150.794
29.9274,88.4206
29.9707,69.3926
30.0097,57.0194
30.0513,47.9429
30.0969,41.5016
30.1426,37.5372
30.2035,34.7279
30.2644,33.7892
30.354,34.7545
30.4437,37.9803
30.5389,43.8726
30.6275,52.0323
30.7227,64.4489
30.8223,82.4813
30.9618,116.066
31.0697,141.459
31.1535,151.743
31.1774,152.264
31.2462,147.334
31.3356,129.484
31.5128,84.3132
31.6022,66.4765
31.6891,53.5336
31.776,44.1859
31.8691,37.2337
31.9622,32.7418
32.0367,30.6728
32.1112,29.9833
32.1732,30.6829
32.2227,32.3851
32.2722,35.5916
32.3217,41.1431
32.3614,48.2319
32.4011,58.7891
32.4369,72.212
32.4786,93.2607
32.5843,158.961
32.6267,174.628
32.6489,176.853
32.6797,172.392
32.7239,152.73
32.8274,86.3751
32.8671,66.5902
32.904,53.0297
