93-Np-237(n,&gamma;) ENDF/B-VII.1
7.50244,80.4259
7.5129,60.9268
7.52301,46.6139
7.53275,36.3455
7.54268,28.7014
7.55261,23.1963
7.56243,19.2781
7.57372,16.0961
7.5869,13.5971
7.6007,11.9124
7.61074,11.1052
7.63081,10.1945
7.68341,9.10009
7.71272,7.77366
7.75227,5.72049
7.77736,4.84654
7.80446,4.30961
7.83257,4.0237
7.87071,3.85479
7.89781,3.82725
7.95,3.95206
8.0022,4.34954
8.03379,4.78789
8.06538,5.47727
8.0902,6.31604
8.11281,7.48607
8.13165,9.00225
8.14673,10.8618
8.1585,12.9932
8.17028,16.0654
8.18088,20.0179
8.18971,24.501
8.19854,30.3841
8.20914,39.7293
8.21974,51.9996
8.23258,71.073
8.25177,106.834
8.27532,152.226
8.29068,172.717
8.3046,179.36
8.31857,172.925
8.33468,151.405
8.37424,76.0743
8.3879,55.0429
8.39909,41.655
8.40969,31.9992
8.41852,25.8917
8.42841,20.748
8.43831,16.9956
8.4482,14.2721
8.4595,12.0515
8.47316,10.2155
8.48965,8.76258
8.50849,7.69822
8.53676,6.75658
8.56125,6.30734
8.5914,6.04341
8.60647,6.00096
8.64132,6.09196
8.68489,6.56796
8.71975,7.30586
8.75053,8.36579
8.77372,9.59468
8.79228,11.05
8.80852,12.9319
8.8229,15.4169
8.83404,18.191
8.84517,22.0817
8.8563,27.5505
8.86639,34.3336
8.87683,43.6585
8.88901,58.0432
8.90293,79.4233
8.92404,119.858
8.94816,165.823
8.96115,182.781
8.97626,190.337
8.99085,183.73
9.00662,163.426
9.04652,91.1814
9.06044,71.2387
9.07296,58.0596
9.08479,49.6945
9.09662,44.8738
9.10739,43.1757
9.11098,43.1308
9.12175,44.5007
9.13252,48.1992
9.14508,55.9285
9.15615,66.6497
9.16667,81.3512
9.17718,101.855
9.18769,129.76
9.19925,170.907
9.21199,230.77
9.22737,323.311
9.26494,588.01
9.28102,667.884
9.2954,695.881
9.29675,696.065
9.30961,676.567
9.32328,617.871
9.34535,470.915
9.36992,297.518
9.38411,215.893
9.39633,160.807
9.40736,122.688
9.41788,95.2487
9.42707,77.0381
9.43811,60.7436
9.44915,48.971
9.46097,39.896
9.47411,32.72
9.4883,27.2103
9.50406,22.8189
9.52298,19.0478
9.54742,15.6479
9.57239,13.2205
9.60734,10.8874
9.63992,9.40493
9.6859,8.00202
9.74109,6.97392
9.7923,6.42317
9.85793,6.10213
9.89075,6.07243
9.9598,6.28784
10.0028,6.66389
10.0429,7.32396
10.0699,8.15627
10.0909,9.2963
10.1084,10.8564
10.1254,13.1924
10.1417,16.4091
10.1624,21.9837
10.201,33.8413
10.2198,37.5567
10.233,38.4103
10.2484,37.4151
10.267,33.8804
10.3071,23.7317
10.3271,20.1517
10.3411,18.6379
10.3621,17.7319
10.3651,17.715
10.3831,18.0849
10.4129,20.1284
10.4378,23.0687
10.4626,27.4656
10.4839,33.0863
10.5016,40.0726
10.5157,48.2185
10.5294,59.5188
10.542,74.5038
10.5534,93.2314
10.565,119.167
10.5774,156.195
10.5905,207.759
10.607,290.336
10.6497,545.395
10.6656,615.017
10.683,650.717
10.6887,652.703
10.7083,630.145
10.7376,575.321
10.7452,571.957
10.7548,579.9
10.7698,622.828
10.7901,732.753
10.8212,918.297
10.8393,962.703
10.8414,962.887
10.856,933.519
10.8705,856.176
10.8984,626.475
10.9198,450.868
10.9351,354.766
10.9458,307.365
10.955,280.804
10.9643,267.77
10.9673,266.431
10.9774,272.487
10.9875,294.35
10.9998,341.916
11.0138,421.662
11.0368,595.767
11.0636,804.459
11.078,880.387
11.0933,912.11
11.1084,886.051
11.123,811.648
11.1465,625.897
11.1739,393.976
11.1891,289.229
11.2025,215.871
11.2143,166.471
11.226,129.043
11.2374,102.165
11.2487,82.2795
11.2618,65.6306
11.2758,53.1826
11.2898,44.3292
11.305,37.3844
11.3246,30.9257
11.3481,25.4763
11.3749,21.0785
11.4085,17.2181
11.4477,14.0927
11.4953,11.4844
11.5457,9.58439
11.6093,7.96108
11.6741,6.87196
11.7388,6.1695
11.8155,5.72252
11.8706,5.64674
11.9156,5.77322
11.9607,6.1665
11.9907,6.71101
12.0158,7.53901
12.0358,8.6994
12.0506,10.0584
12.0636,11.7984
12.0782,14.5981
12.0929,18.5435
12.1079,23.979
12.1269,32.8428
12.167,53.9294
12.1866,60.802
12.2014,62.6133
12.2154,61.3155
12.231,56.7896
12.2636,41.6661
12.2861,31.4872
12.3024,25.9447
12.3174,22.4523
12.3337,20.3245
12.3507,19.6707
12.3677,20.3637
12.3847,22.2998
12.4027,25.8588
12.4184,30.7339
12.4325,37.2442
12.4458,46.1563
12.4574,57.0852
12.4689,72.1536
12.4805,92.7402
12.4912,118.291
12.5038,157.505
12.5177,214.108
12.5341,299.75
12.5821,597.018
12.6004,671.413
12.6158,692.563
12.6324,667.379
12.6519,582.901
12.6999,285.416
12.7161,203.975
12.7287,154.096
12.7413,115.559
12.752,90.416
12.7633,70.4904
12.7749,55.4511
12.7864,44.469
12.7983,36.2835
12.8121,29.3999
12.8275,24.0364
12.846,19.5776
12.8663,16.1886
12.8906,13.3599
12.9158,11.3199
12.9409,9.93361
12.9609,9.21984
12.9859,8.88416
13.0059,9.20201
13.0264,10.2483
13.0429,11.7014
13.0679,14.8245
13.101,19.2871
13.1222,20.9757
13.1314,21.1752
13.1502,20.4465
13.172,17.9281
13.2221,9.87883
13.2401,7.59947
13.2561,6.0748
13.2724,4.96107
13.2886,4.19102
13.3051,3.65824
13.3301,3.14515
13.3652,2.72546
13.4102,2.39452
13.4803,2.0619
13.5653,1.79393
13.6904,1.53514
13.844,1.33695
13.9869,1.22461
14.1439,1.17077
14.199,1.19455
14.235,1.26781
14.265,1.41769
14.2885,1.62391
14.325,2.09097
14.354,2.46438
14.379,2.63924
14.3866,2.65015
14.4062,2.58067
14.436,2.26139
14.481,1.66541
14.5065,1.4289
14.533,1.28293
14.569,1.19434
14.6351,1.16148
14.7571,1.19818
14.9071,1.31197
15.0563,1.5123
15.1709,1.75994
15.2711,2.09154
15.3562,2.52067
15.4263,3.05578
15.4764,3.61843
15.5165,4.26654
15.5516,5.1154
15.5766,6.05079
15.5946,7.04914
15.6107,8.31841
15.6267,10.1335
15.6407,12.3521
15.6555,15.5281
15.6698,19.5892
15.6864,25.6996
15.7089,36.1058
15.7509,57.7669
15.775,66.5799
15.7972,70.0885
15.8044,70.2855
15.8591,66.8022
15.8779,68.8071
15.893,73.4748
15.907,81.0396
15.9229,94.4458
15.9388,114.561
15.9548,143.69
15.97,181.591
15.9876,239.04
16.0133,346.931
16.048,499.568
16.0677,557.313
16.0856,574.817
16.1016,558.341
16.1199,505.795
16.1481,380.172
16.1784,238.359
16.1958,171.528
16.2102,127.952
16.2235,96.5546
16.2358,74.4153
16.2482,57.7287
16.2605,45.3661
16.2733,35.976
16.2861,29.1872
16.2985,24.4145
16.3128,20.3438
16.3308,16.7543
16.3487,14.2209
16.3703,12.0417
16.3972,10.1345
16.4296,8.58526
16.4655,7.46887
16.5113,6.6833
16.5456,6.48953
16.5788,6.66282
16.6058,7.19001
16.6275,8.04279
16.6437,9.11493
16.6587,10.6366
16.6737,12.9372
16.6866,15.8056
16.6994,19.811
16.7123,25.2928
16.7251,32.599
16.738,42.0263
16.7543,57.2704
16.7761,82.8412
16.817,135.031
16.8361,151.972
16.8549,158.77
16.8567,158.819
16.8753,153.188
16.896,135.302
16.9508,66.2074
16.9677,48.4855
16.9827,36.0019
16.9958,27.5536
17.0089,21.125
17.0206,16.7789
17.0322,13.5777
17.0455,10.8793
17.0588,8.96501
17.0741,7.44062
17.0897,6.36714
17.1105,5.40848
17.1355,4.67704
17.1688,4.09283
17.2021,3.77276
17.236,3.63711
17.2533,3.63363
17.289,3.77962
17.3128,4.02503
17.3366,4.45616
17.3583,5.12194
17.3755,5.96405
17.3902,7.04546
17.405,8.6308
17.4172,10.4991
17.4295,13.0397
17.443,16.837
17.4565,21.9367
17.4715,29.386
17.4887,40.4409
17.511,58.3774
17.5508,92.5631
17.5706,104.513
17.5909,109.247
17.5918,109.254
17.6095,105.886
17.6283,95.7111
17.6588,70.6646
17.6883,45.5285
17.7059,33.3886
17.7214,25.0366
17.7346,19.6086
17.7468,15.8839
17.758,13.4051
17.7692,11.6745
17.7803,10.5653
17.7959,9.84134
17.8059,9.77144
17.8219,10.121
17.8806,12.846
17.8982,13.1205
17.9216,12.6466
17.948,11.0515
18.0066,6.09321
18.0268,4.7091
18.0461,3.70361
18.0641,3.01914
18.0822,2.53685
18.1042,2.14805
18.1242,1.92237
18.1542,1.71559
18.1903,1.57396
18.2383,1.46618
18.3024,1.39189
18.3725,1.36566
18.4753,1.41466
18.5446,1.52523
18.5972,1.68889
18.6322,1.88109
18.6597,2.1365
18.6798,2.43646
18.6948,2.76842
18.7123,3.3332
18.7273,4.03229
18.7428,5.0343
18.7591,6.46382
18.777,8.548
18.7999,11.9787
18.8479,20.2063
18.8732,23.2129
18.8964,24.1727
18.919,23.4447
18.9631,20.4889
18.9731,20.2958
18.9881,20.8116
19.0043,22.7109
19.0202,26.066
19.0428,33.0828
19.0859,48.9731
19.11,54.6963
19.1243,55.7706
19.142,54.34
19.1611,49.6788
19.1902,38.4738
19.2247,24.1024
19.2423,18.0749
19.2588,13.5515
19.274,10.3838
19.2889,8.07089
19.3014,6.63414
19.3165,5.38547
19.3315,4.52216
19.3465,3.92931
19.3666,3.41494
19.3882,3.07687
19.4242,2.77759
19.4675,2.63675
19.492,2.6186
19.5428,2.68468
19.6038,2.94538
19.6444,3.27946
19.6745,3.69003
19.6995,4.24799
19.7196,4.95666
19.7374,5.91019
19.7544,7.25249
19.7693,8.89839
19.7863,11.466
19.804,15.0325
19.8243,20.3053
19.8829,38.6017
19.905,43.3572
19.9267,45.0671
19.945,43.9218
19.9711,38.8526
20.0256,23.8308
20.047,19.3541
20.0663,16.6782
20.0813,15.4916
20.0989,15.0363
20.1164,15.5233
20.1314,16.7034
20.1491,19.1321
20.1643,22.4159
20.1795,27.2544
20.1928,33.2853
20.2049,40.7288
20.2176,51.292
20.2304,65.4191
20.2431,83.9801
20.2574,111.074
20.2737,151.323
20.2925,210.659
20.3226,327.243
20.3572,460.146
20.378,513.008
20.3976,530.723
20.4176,512.823
20.4388,458.585
20.4754,317.313
20.5035,209.752
20.5223,150.889
20.5386,110.97
20.5529,84.0818
20.5669,64.0498
20.5784,51.5765
20.5911,41.0344
20.6043,32.9551
20.6186,26.6915
20.6329,22.2325
20.6507,18.3753
20.6697,15.6213
20.6887,13.7498
20.7116,12.2446
20.742,11.0588
20.7775,10.5351
20.7825,10.5295
20.8043,10.7215
20.8275,11.4073
20.8508,12.8485
20.8682,14.731
20.8828,17.1148
20.8978,20.7136
20.912,25.5564
20.9261,32.2821
20.9403,41.4011
20.9549,53.8943
20.9709,71.4482
20.9898,97.8948
21.0224,153.871
21.0556,209.103
21.0758,231.468
21.0959,239.41
21.1162,231.274
21.1364,208.913
21.1741,146.429
21.2022,100.272
21.2213,75.0861
21.2384,57.7955
21.2539,46.244
21.2697,37.8416
21.2857,31.9305
21.3038,27.3481
21.3318,22.5765
21.3901,15.0632
21.4241,11.5169
21.4512,9.48191
21.4782,8.17419
21.5052,7.46452
21.5327,7.18286
21.5423,7.16234
21.5803,7.37832
21.6154,7.94884
21.6556,9.09672
21.6878,10.5668
21.716,12.5277
21.7363,14.6005
21.7568,17.6543
21.7732,21.2149
21.7875,25.5862
21.8029,32.1793
21.8167,40.4928
21.8305,51.8796
21.8428,65.3311
21.8567,85.1156
21.8705,110.736
21.8869,149.628
21.9066,209.002
21.9402,333.433
21.9699,442.105
21.9908,496.672
22.0134,520.304
22.0148,520.375
22.0328,506.658
22.0529,462.282
22.0847,351.612
22.12,219.124
22.14,157.272
22.1569,115.771
22.1723,86.59
22.1864,66.2001
22.2,51.3668
22.2138,40.1424
22.2276,31.9368
22.2415,25.9724
22.2567,21.2576
22.2738,17.5652
22.2932,14.6639
22.3176,12.2358
22.3415,10.6193
22.3701,9.28569
22.4082,8.13552
22.4558,7.35241
22.4992,7.12113
22.5429,7.37097
22.5721,7.92833
22.594,8.69911
22.6159,9.99339
22.6349,11.8235
22.6502,14.0581
22.6655,17.2821
22.6787,21.1159
22.6918,26.2267
22.7054,33.1858
22.72,42.8531
22.737,57.3572
22.7577,79.6567
22.8192,158.487
22.8407,177.417
22.8632,185.018
22.864,185.022
22.8827,179.912
22.9029,164.184
22.9341,126.602
22.971,78.7104
22.99,58.415
23.006,44.6047
23.0221,33.8722
23.0372,26.2989
23.0518,20.8977
23.0664,16.9979
23.081,14.2378
23.0956,12.3131
23.1153,10.6266
23.1352,9.61197
23.1651,8.85258
23.202,8.63084
23.2359,8.87891
23.2698,9.50767
23.3122,10.9262
23.3453,12.7531
23.3699,14.7984
23.3914,17.4045
23.4099,20.6397
23.4265,24.8138
23.4412,30.0474
23.456,37.3705
23.4689,46.156
23.4826,58.6803
23.4959,74.9787
23.5092,96.3247
23.5239,127.123
23.5392,167.844
23.5569,227.077
23.583,334.732
23.6263,526.312
23.6514,604.258
23.6742,630.366
23.675,630.384
23.6939,613.066
23.7144,559.509
23.7459,431.389
23.7833,268.545
23.8044,194.27
23.8216,147.994
23.8363,118.419
23.8501,98.3783
23.8639,84.8017
23.8805,75.3986
23.8946,71.8684
23.9046,71.1312
23.9683,76.1403
23.9947,73.3828
24.0222,65.0666
24.0936,33.2448
24.1147,25.7216
24.1358,20.0026
24.1549,16.2797
24.175,13.5801
24.1951,11.8159
24.2202,10.4961
24.2564,9.59805
24.2948,9.3124
24.3072,9.3089
24.3565,9.60373
24.4058,10.3436
24.4674,11.9788
24.5143,13.9708
24.5546,16.5346
24.5909,19.994
24.6194,23.9661
24.6479,29.6387
24.6704,35.8551
24.6939,44.7458
24.7139,55.1963
24.7315,67.6732
24.7484,84.1819
24.7636,104.492
24.7787,131.88
24.7932,167.275
24.8071,212.027
24.822,274.094
24.8395,369.119
24.8596,509.166
24.8876,754.991
24.934,1189.3
24.958,1343.83
24.9816,1398.98
25.003,1354.01
25.0235,1234.14
25.0562,943.736
25.0945,581.92
25.1158,416.117
25.1321,314.049
25.1469,241.059
25.1622,182.39
25.1758,142.472
25.1895,112.127
25.2036,88.5609
25.2184,70.6213
25.2331,57.5497
25.2495,47.0495
25.2675,38.8177
25.2872,32.4169
25.3117,26.7658
25.3382,22.4513
25.3723,18.5071
25.4133,15.2167
25.4597,12.6403
25.517,10.4932
25.5743,9.07157
25.6393,8.04137
25.708,7.44033
25.7767,7.26906
25.8349,7.49601
25.8738,7.92483
25.9126,8.77097
25.942,9.97716
25.9622,11.3249
25.9824,13.3617
26.0,15.9567
26.0164,19.272
26.0353,24.444
26.0561,32.0509
26.0801,43.3851
26.1396,76.5093
26.1684,88.1319
26.1944,92.2065
26.1965,92.2367
26.2202,89.7047
26.2827,70.7699
26.3029,67.7497
26.319,69.0155
26.3351,74.9316
26.3504,86.1003
26.3637,101.42
26.379,126.614
26.3942,161.443
26.4112,213.201
26.4306,290.027
26.4565,419.47
26.5104,718.418
26.5341,810.188
26.557,846.645
26.5595,847.061
26.5807,821.864
26.6031,744.999
26.6376,563.254
26.6764,347.01
26.698,248.611
26.7153,185.856
26.732,138.421
26.7468,106.17
26.7616,81.6831
26.7767,63.1661
26.7913,50.0514
26.8058,40.4262
26.821,33.1133
26.8365,27.6653
26.8543,23.2014
26.8765,19.3864
26.8988,16.8685
26.9258,15.0584
26.9529,14.3018
26.9619,14.2483
26.9959,14.7457
27.056,16.485
27.07,16.6166
27.1004,16.1225
27.128,14.7147
27.2126,8.12293
27.2406,6.43422
27.2682,5.24528
27.2932,4.5034
27.3182,3.99385
27.3573,3.48103
27.4143,3.02595
27.4904,2.63124
27.5905,2.27876
27.6906,2.03884
27.8489,1.81343
27.9919,1.7542
28.0859,1.82872
28.1422,1.97719
28.1813,2.20689
28.2074,2.49498
28.2302,2.91565
28.249,3.45103
28.2665,4.17158
28.2841,5.17376
28.3016,6.52371
28.3217,8.55694
28.3457,11.7087
28.3898,18.8856
28.4249,24.3087
28.4554,27.3577
28.483,28.218
28.5131,27.2573
28.565,23.0713
28.677,12.771
28.7031,10.9717
28.7211,10.1933
28.7341,9.95831
28.7538,10.241
28.7671,10.929
28.7838,12.397
28.8051,15.2326
28.8322,20.1897
28.8818,30.3844
28.9109,34.3943
28.9327,35.3602
28.9567,34.1194
28.9832,30.2854
29.0544,15.2465
29.0785,11.1253
29.0986,8.49523
29.1161,6.77236
29.1337,5.51791
29.1487,4.74991
29.1688,4.07021
29.1833,3.76982
29.2021,3.56204
29.2116,3.525
29.2365,3.62504
29.2531,3.86039
29.2739,4.38386
29.2917,5.08285
29.3122,6.23942
29.3326,7.83283
29.3572,10.3526
29.4325,19.8251
29.4614,22.0898
29.4803,22.5627
29.5073,21.7197
29.5325,19.5443
29.6032,11.0339
29.6289,8.60216
29.6501,7.1366
29.6678,6.26726
29.691,5.53314
29.7183,5.11592
29.741,5.0188
29.7758,5.14643
29.8288,5.7355
29.8818,6.70227
29.9317,8.02915
29.9762,9.72567
30.0134,11.7203
30.0483,14.3964
30.0743,17.242
30.095,20.4015
30.1158,24.8365
30.1335,30.1761
30.1498,37.0748
30.1662,46.7026
30.1807,58.4559
30.1953,74.2521
30.2093,94.4197
30.2249,123.958
30.2394,159.694
30.255,208.098
30.2732,278.991
30.2976,398.195
30.3609,763.106
30.389,879.874
30.4147,922.358
30.4168,922.614
30.4415,889.199
30.4689,783.427
30.539,391.007
30.562,286.017
30.5813,218.238
30.5976,175.56
30.6128,146.902
30.6249,130.552
30.643,114.936
30.6612,107.281
30.6915,104.405
30.7137,104.636
30.7497,100.86
30.7804,90.3313
30.8228,67.3338
30.8652,43.3276
30.8897,32.1425
30.9101,24.8645
30.9306,19.3996
30.9487,15.8623
30.9652,13.5411
30.9855,11.5822
31.0007,10.6365
31.021,9.94417
31.0337,9.81067
31.0554,10.1263
31.0745,11.0594
31.0896,12.3325
31.1072,14.5591
31.1248,17.7479
31.145,22.7652
31.1681,30.4811
31.1983,43.3116
31.2476,65.9274
31.2768,75.2139
31.3019,78.0376
31.3251,75.7212
31.3543,66.855
31.4278,33.5015
31.45,25.3929
31.4681,20.2823
31.4867,16.4854
31.5031,14.2821
31.5196,13.0084
31.5385,12.4811
31.5422,12.4741
31.5648,12.9308
31.6269,15.5629
31.6486,15.8797
31.6754,15.382
31.7041,13.7972
31.7555,9.45987
31.7898,6.65707
31.8146,5.05348
31.8372,3.95288
31.8575,3.22715
31.8775,2.71164
31.9026,2.27613
31.9276,1.99709
31.9607,1.76914
32.0068,1.58353
32.0758,1.42333
32.1539,1.32256
32.2019,1.3009
32.2499,1.34108
32.2839,1.44437
32.311,1.59728
32.3435,1.88566
32.392,2.49881
32.432,3.00989
32.4668,3.27159
32.4816,3.29941
32.508,3.21361
32.542,2.88776
32.615,1.9413
32.65,1.61835
32.6821,1.43964
32.7131,1.35225
32.7533,1.32146
32.8039,1.35709
32.8692,1.4767
32.9346,1.6818
32.9917,1.9724
33.0359,2.32881
33.0668,2.70925
33.0933,3.19641
33.1129,3.71967
33.1331,4.49737
33.1508,5.47976
33.1685,6.87837
33.1839,8.57006
33.1998,10.9354
33.2157,14.1041
33.2316,18.2625
33.2478,23.6775
33.268,32.327
33.2917,45.1913
33.3367,75.0189
