93-Np-237(n,&gamma;) ENDF/B-VII.1
1.0E-5,9283.11
1.31241E-5,8103.2
1.70876E-5,7101.41
2.2426E-5,6198.81
2.91987E-5,5432.44
3.83206E-5,4741.87
4.98935E-5,4155.6
6.54808E-5,3627.31
8.52562E-5,3178.85
1.11891E-4,2774.66
1.45682E-4,2431.48
1.91195E-4,2122.3
2.48937E-4,1859.74
3.26707E-4,1623.05
4.25373E-4,1422.12
5.58264E-4,1241.0
7.26861E-4,1087.27
9.53941E-4,948.618
0.00124203,830.809
0.00163006,724.62
0.00212234,634.398
0.00278538,552.998
0.00362657,483.868
0.00475955,422.19
0.00619694,368.93
0.00813293,320.721
0.0105891,280.097
0.0138972,242.623
0.0180942,210.842
0.0234661,183.598
0.0253,175.973
0.033204,151.241
0.0453449,126.99
0.0592642,108.723
0.0810948,90.657
0.105586,77.5135
0.138572,66.6335
0.165666,61.0633
0.198059,57.2518
0.230491,55.9517
0.264292,57.5633
0.289029,61.1258
0.315969,68.4127
0.335318,77.0189
0.355891,91.2004
0.370587,106.486
0.384701,127.781
0.396232,152.777
0.406623,184.604
0.415493,222.606
0.424109,274.389
0.431205,333.898
0.438301,416.756
0.444637,520.222
0.450719,657.578
0.456548,836.61
0.462731,1087.87
0.473578,1652.79
0.480877,2006.07
0.487162,2170.38
0.489757,2182.54
0.49446,2116.45
0.500543,1889.02
0.515951,1084.2
0.522185,825.457
0.527887,645.06
0.533843,505.239
0.539925,401.172
0.546007,324.984
0.553103,260.288
0.560579,211.097
0.568562,172.826
0.578699,138.06
0.58985,111.267
0.601508,91.3664
0.6157,74.2045
0.630905,61.2888
0.649152,50.4222
0.67044,41.6906
0.694769,34.8983
0.722139,29.7231
0.756098,25.4899
0.789043,22.8212
0.828578,20.77
0.885912,19.2971
0.91689,19.0683
0.977356,19.662
1.02271,21.1279
1.06806,23.8255
1.09829,26.6911
1.12651,30.5852
1.15472,36.3916
1.17488,42.4753
1.19491,51.2619
1.21166,62.2266
1.22376,73.6527
1.23384,86.8926
1.24391,105.613
1.25273,129.252
1.26029,158.0
1.2676,196.793
1.27465,248.198
1.28221,321.789
1.29229,448.58
1.30589,630.785
1.31274,694.767
1.32032,721.14
1.32766,696.862
1.33754,603.761
1.35426,407.835
1.36182,342.314
1.36938,298.694
1.37442,281.11
1.38147,270.146
1.38903,274.214
1.39659,294.02
1.40474,334.981
1.41187,391.96
1.41899,475.595
1.42611,595.466
1.43297,755.69
1.4406,994.693
1.45026,1385.93
1.46454,2011.84
1.47309,2263.29
1.47976,2325.53
1.48732,2233.9
1.49627,1940.55
1.51559,1093.67
1.52373,808.188
1.53059,623.813
1.53733,487.791
1.54445,382.415
1.55169,304.884
1.5597,243.357
1.56847,195.353
1.57762,159.34
1.5883,129.034
1.6005,104.294
1.61474,83.8515
1.63101,67.433
1.6488,54.7717
1.66812,44.99
1.68948,37.2739
1.7123,31.3856
1.73943,26.5032
1.77108,22.821
1.80188,20.8735
1.82363,20.489
1.84341,21.0931
1.85825,22.4649
1.87209,24.943
1.88396,28.6639
1.89187,32.513
1.90053,38.7092
1.90782,46.274
1.91561,57.6136
1.9234,73.1575
1.9323,96.4682
1.95279,160.439
1.96248,180.957
1.96968,185.769
1.97831,178.153
1.9882,154.544
2.00956,87.2643
2.01821,65.6804
2.02563,51.5597
2.03342,40.5988
2.0412,32.7421
2.04986,26.6089
2.05851,22.3137
2.0689,18.7033
2.08274,15.463
2.09634,13.303
2.11488,11.2835
2.13713,9.66058
2.16136,8.45084
2.19894,7.19908
2.24938,6.13808
2.31613,5.25854
2.40514,4.53345
2.49296,4.07925
2.62668,3.66371
2.76439,3.45921
2.85415,3.42322
3.00716,3.55061
3.1418,3.90764
3.23769,4.40292
3.32286,5.13433
3.38203,5.91349
3.44337,7.11562
3.48992,8.46962
3.53093,10.1837
3.56583,12.2549
3.59575,14.7415
3.62317,17.941
3.64561,21.5845
3.66655,26.2875
3.6845,31.8723
3.69945,38.2214
3.71441,46.9797
3.72638,56.6976
3.73834,70.274
3.74782,85.2982
3.75679,104.885
3.76552,131.298
3.773,162.102
3.78047,203.032
3.7882,258.849
3.79618,333.782
3.8054,444.612
3.81862,644.028
3.83826,959.384
3.84803,1071.54
3.85721,1120.69
3.85958,1123.04
3.86798,1096.35
3.87984,976.404
3.90188,626.995
3.91472,436.706
3.92432,324.224
3.9323,251.694
3.94015,196.94
3.9485,153.575
3.95673,122.368
3.96495,99.5141
3.97468,80.0304
3.98515,65.1552
3.99562,54.4106
4.00808,45.1034
4.02304,37.1481
4.03943,31.005
4.05903,25.9295
4.07864,22.5315
4.09824,20.3832
4.11973,19.3208
4.12402,19.2862
4.1402,19.8513
4.15157,21.1558
4.16295,23.6317
4.17306,27.2902
4.18317,32.8763
4.19328,40.9378
4.20339,51.8144
4.21754,71.2735
4.23897,102.172
4.25151,113.34
4.2598,115.418
4.27031,111.301
4.28224,98.7563
4.31358,52.2215
4.32445,39.3187
4.33456,30.1767
4.34341,24.2383
4.35225,19.8623
4.36249,16.2607
4.37222,13.8603
4.38612,11.5378
4.4028,9.75969
4.42074,8.51816
4.44602,7.39817
4.47635,6.58008
4.50884,6.06462
4.55361,5.73839
4.576,5.70832
4.61438,5.87035
4.65276,6.396
4.68129,7.19032
4.70031,8.07086
4.71934,9.47364
4.73335,11.112
4.74462,13.08
4.75588,15.9939
4.76489,19.3478
4.77365,23.8316
4.78241,29.879
4.79167,38.3313
4.80293,51.7392
4.81995,77.3892
4.83897,106.164
4.85079,117.823
4.86068,121.133
4.87061,117.819
4.88353,104.778
4.91706,53.994
4.92833,40.222
4.93759,31.4374
4.94635,25.099
4.95511,20.3722
4.96362,16.9949
4.97426,14.0065
4.98489,11.9628
4.99816,10.2544
5.01618,8.8069
5.0342,7.91981
5.06123,7.15018
5.09427,6.70712
5.12731,6.57626
5.17762,6.75315
5.22792,7.27929
5.27858,8.163
5.32994,9.5146
5.38129,11.5284
5.42491,14.0454
5.46201,17.1112
5.49593,21.1033
5.52561,26.1013
5.55105,32.1901
5.57331,39.7135
5.59239,48.7749
5.60908,59.8858
5.62339,73.2143
5.63531,88.5858
5.6475,110.639
5.65678,133.927
5.66605,165.463
5.67559,209.942
5.68434,265.179
5.69308,338.17
5.70262,442.26
5.71402,603.968
5.72859,866.096
5.75498,1379.65
5.76813,1550.78
5.77975,1602.96
5.79081,1554.39
5.80332,1397.22
5.82611,961.25
5.8428,648.79
5.85446,474.503
5.864,363.456
5.87261,285.758
5.88136,225.43
5.8901,180.095
5.90004,142.334
5.90932,116.673
5.92045,94.3086
5.93211,77.5052
5.94536,63.7291
5.96126,51.9256
5.97927,42.4395
6.00153,34.2377
6.0265,27.8993
6.0537,23.1495
6.0809,19.874
6.1109,17.4582
6.1423,15.9846
6.1737,15.5408
6.19453,15.9422
6.21561,17.2073
6.23247,19.2658
6.24511,21.8662
6.25689,25.6247
6.26631,30.0265
6.27691,37.1026
6.28652,46.1243
6.29644,58.7365
6.3076,77.6016
6.32124,107.51
6.35496,193.62
6.36869,216.33
6.3796,222.31
6.39031,216.482
6.40301,196.107
6.42364,144.522
6.44348,93.956
6.45538,69.666
6.4653,53.837
6.47497,42.0276
6.48464,33.2482
6.49386,27.1087
6.5036,22.4153
6.51333,19.054
6.52446,16.3574
6.53559,14.5144
6.55213,12.8792
6.56868,12.3055
6.58272,12.6589
6.59476,13.6675
6.6088,15.7639
6.62635,19.6927
6.65443,26.8797
6.66977,29.2759
6.67803,29.6446
6.69123,28.7167
6.70738,25.3676
6.74418,14.6128
6.75923,11.17
6.77026,9.28342
6.78229,7.77722
6.79483,6.69122
6.81113,5.78631
6.82742,5.23296
6.85049,4.76982
6.88057,4.44615
6.93024,4.25294
6.93979,4.24998
6.99384,4.43681
7.02686,4.79395
7.04938,5.2591
7.06815,5.93055
7.08241,6.74424
7.09642,7.92877
7.11244,9.89087
7.12995,12.8225
7.16378,19.3079
7.18159,21.5355
7.19641,22.0975
7.21422,21.3549
7.24605,19.1316
7.25005,19.0545
7.26356,19.5447
7.27307,20.7997
7.28308,23.2147
7.29219,26.6824
7.30245,32.5055
7.31168,40.0151
7.32092,50.2727
7.33018,63.9254
7.34077,84.2988
7.35292,114.299
7.3712,170.3
7.39406,241.236
7.40637,267.827
7.41954,279.477
7.42077,279.552
7.43332,270.349
7.44698,242.121
7.47296,161.388
7.49053,108.881
