94-Pu-242(n,&gamma;) ENDF/B-VII.1
1.0E-5,1055.01
1.31241E-5,920.919
1.70876E-5,807.076
2.2426E-5,704.505
2.91987E-5,617.418
3.83206E-5,538.945
4.98935E-5,472.327
6.54808E-5,412.299
8.52562E-5,361.343
1.11891E-4,315.422
1.45682E-4,276.435
1.91195E-4,241.314
2.48937E-4,211.492
3.26707E-4,184.614
4.25373E-4,161.804
5.58264E-4,141.247
7.26861E-4,123.806
9.53941E-4,108.085
0.00124203,94.7355
0.00163006,82.7132
0.00212234,72.511
0.00278538,63.3195
0.00362657,55.527
0.00475955,48.5945
0.00619694,42.6255
0.00813293,37.2418
0.0105891,32.7312
0.0138972,28.5936
0.0180942,25.1114
0.0234661,22.1544
0.0253,21.3302
0.033204,18.6935
0.0432317,16.4827
0.0617907,13.9461
0.0810948,12.3036
0.115908,10.5208
0.150913,9.42286
0.198059,8.48039
0.283085,7.5153
0.368577,7.00426
0.526803,6.62756
0.569844,6.58784
0.731856,6.70488
0.947872,7.32974
1.12338,8.2275
1.2854,9.48298
1.45416,11.4546
1.59592,13.9108
1.71743,16.9594
1.81869,20.5254
1.89969,24.4501
1.9807,29.8114
2.05158,36.2962
2.11571,44.3881
2.17478,54.7338
2.22878,67.9598
2.27603,84.1242
2.3178,104.104
2.35577,129.514
2.38995,161.717
2.41843,199.157
2.44374,245.016
2.468,306.265
2.48867,379.399
2.50707,470.049
2.52243,574.501
2.53728,714.649
2.54909,869.037
2.5609,1084.38
2.57069,1337.29
2.57879,1629.3
2.58656,2020.93
2.59364,2526.64
2.59955,3108.42
2.60588,3961.92
2.61145,4977.77
2.61702,6311.61
2.62326,8265.56
2.6301,11033.0
2.63837,15251.6
2.65946,27534.1
2.66871,31024.7
2.67576,31883.9
2.68302,30935.7
2.69166,27669.0
2.70773,18403.8
2.71802,12681.6
2.72528,9425.45
2.73169,7165.4
2.7376,5559.7
2.74351,4341.01
2.74958,3409.27
2.75566,2724.74
2.76198,2202.6
2.76882,1791.98
2.77641,1461.82
2.7857,1174.55
2.79582,952.55
2.80763,767.74
2.82114,617.256
2.83531,503.241
2.85253,403.301
2.87075,327.091
2.89202,262.735
2.91564,211.18
2.94264,168.815
2.97133,136.341
3.00509,108.789
3.03884,88.7621
3.07934,71.2128
3.12406,57.2474
3.17722,45.3209
3.23123,36.5931
3.2903,29.6123
3.35443,24.0444
3.42531,19.5119
3.51306,15.4509
3.60757,12.3364
3.71558,9.78023
3.82359,7.9264
3.95184,6.32431
4.08685,5.10673
4.22186,4.19894
4.39063,3.36548
4.57964,2.68715
4.78216,2.16254
4.99104,1.76644
5.23475,1.4236
5.51326,1.14727
5.68733,1.00727
5.96585,0.833266
6.24437,0.700574
