90-Th-233(n,&gamma;) ENDF/B-VII.1
1.0E-5,64916.8
1.30374E-5,56854.1
1.71104E-5,49628.0
2.22778E-5,43493.2
2.92376E-5,37965.2
3.80674E-5,33272.1
4.996E-5,29043.2
6.50481E-5,25453.0
8.53698E-5,22217.9
1.11152E-4,19471.3
1.45877E-4,16996.5
1.89932E-4,14895.4
2.49268E-4,13002.1
3.24548E-4,11394.8
4.2594E-4,9946.54
5.54575E-4,8716.91
7.2783E-4,7608.95
9.47636E-4,6668.3
0.00124369,5820.72
0.00161928,5101.21
0.00212517,4452.77
0.00276697,3902.17
0.0036314,3406.36
0.00472809,2985.16
0.0062052,2605.4
0.00807918,2284.05
0.0106032,1993.67
0.0138054,1747.32
0.0181183,1525.13
0.0244451,1312.9
0.0253,1290.6
0.033204,1127.27
0.0432317,988.237
0.0567377,863.102
0.0738726,756.849
0.0969512,660.85
0.126231,579.448
0.165666,506.042
0.215698,443.668
0.283085,387.579
0.368577,339.751
0.483724,296.815
0.629809,260.257
0.826569,227.194
1.1058,196.559
1.4385,172.36
1.87774,151.549
1.92995,153.131
2.6412,131.611
3.55098,113.501
4.80203,97.5377
6.36795,84.3032
8.38995,72.9337
11.7435,60.8248
15.8381,51.5222
21.2536,43.7715
27.8368,37.5667
37.0957,31.8943
48.259,27.4067
65.204,22.971
86.6138,19.4186
113.264,16.5147
146.676,14.1185
192.64,11.9443
251.933,10.105
323.944,8.63572
422.494,7.28464
541.393,6.22051
700.0,5.26615
906.462,4.45479
1176.4,3.76088
1524.56,3.18333
1936.49,2.72687
2447.07,2.35251
3144.2,2.01663
4046.55,1.73917
5253.67,1.49642
7000.0,1.2833
9522.76,1.10729
12740.7,0.976565
17572.6,0.840263
20000.0,0.75544
27184.8,0.645338
37289.0,0.545366
51380.8,0.458418
67628.1,0.383826
88351.4,0.31853
120000.0,0.248955
144724.0,0.217976
174385.0,0.199496
200000.0,0.192322
231675.0,0.176001
280609.0,0.163039
305420.0,0.158263
338810.0,0.143061
400000.0,0.125613
523318.0,0.110814
624037.0,0.0975994
848528.0,0.0783606
1148910.0,0.0611626
1524370.0,0.0454425
1924500.0,0.0316458
2184350.0,0.0240305
2485430.0,0.0173363
2700000.0,0.0135046
2899620.0,0.0105525
3156600.0,0.00761539
3344720.0,0.00600982
3634490.0,0.00417997
3824200.0,0.00328905
4029660.0,0.00257299
4236200.0,0.0020292
4462090.0,0.0015882
4622630.0,0.00137718
4915640.0,0.00108992
5000000.0,0.00102173
5500000.0,8.27009E-4
6000000.0,7.92214E-4
6500000.0,8.29639E-4
7125000.0,9.56573E-4
7871960.0,0.001168
9000000.0,0.00149884
9750000.0,0.00163145
1.025E7,0.00166811
1.05E7,0.0016724
1.125E7,0.00162587
1.26866E7,0.00142642
1.46867E7,9.64737E-4
1.56868E7,7.98171E-4
1.675E7,6.72462E-4
1.8E7,5.66979E-4
1.9E7,5.03246E-4
1.975E7,4.7719E-4
2.0E7,4.64378E-4
