94-Pu-238(n,&gamma;) ENDF/B-VII.1
1.0E-5,26052.1
1.31241E-5,22740.3
1.70876E-5,19928.4
2.2426E-5,17394.8
2.91987E-5,15243.5
3.83206E-5,13304.8
4.98935E-5,11658.9
6.54808E-5,10175.5
8.52562E-5,8916.19
1.11891E-4,7780.99
1.45682E-4,6816.91
1.91195E-4,5948.1
2.48937E-4,5210.01
3.26707E-4,4544.32
4.25373E-4,3978.88
5.58264E-4,3468.74
7.26861E-4,3035.28
9.53941E-4,2643.82
0.00124203,2310.6
0.00163006,2009.57
0.00212234,1753.05
0.00278538,1520.76
0.00362657,1322.6
0.00497149,1118.32
0.00680278,939.237
0.00885724,808.577
0.012142,671.278
0.0158747,566.887
0.0207477,474.688
0.024383,424.302
0.0253,413.31
0.033204,338.024
0.041464,283.955
0.0516848,234.719
0.0648112,189.955
0.0792892,154.982
0.0969512,125.307
0.113327,104.334
0.132401,86.0589
0.154601,70.2766
0.18042,56.7634
0.211288,45.1263
0.242058,36.6791
0.276782,29.8319
0.308296,24.9404
0.345971,20.5155
0.386593,16.9205
0.431636,13.9149
0.483724,11.3115
0.557109,8.72046
0.622093,7.09318
0.694467,5.76434
0.781316,4.60542
0.868166,3.78219
0.974315,3.06157
1.09011,2.5109
1.22521,2.0736
1.34101,1.8161
1.49541,1.59655
1.64981,1.48384
1.74631,1.46313
1.87658,1.49997
1.99721,1.61519
2.11301,1.83251
2.20951,2.13998
2.29394,2.56229
2.35908,3.05173
2.41698,3.67937
2.46764,4.46431
2.51107,5.4135
2.55208,6.68058
2.58585,8.14654
2.61721,10.0405
2.64616,12.5135
2.67077,15.4903
2.69104,18.8883
2.70937,23.1011
2.72626,28.4566
2.74218,35.5451
2.75569,44.039
2.76727,54.2279
2.77789,67.3396
2.78657,82.2661
2.79477,101.66
2.80201,124.997
2.80925,156.527
2.81649,199.059
2.82421,259.971
2.83217,342.781
2.84206,475.157
2.86609,854.033
2.87651,963.759
2.88459,992.267
2.89272,964.16
2.90218,868.021
2.9195,598.505
2.93204,409.114
2.94049,307.28
2.94809,235.838
2.95496,186.197
2.96256,144.998
2.96932,117.768
2.97728,94.0232
2.98524,76.7129
2.99429,62.3533
3.00442,50.7172
3.01624,40.9594
3.02975,32.9921
3.04519,26.4967
3.06159,21.529
3.08089,17.3113
3.10309,13.8506
3.12625,11.2554
3.15134,9.20305
3.18222,7.37655
3.21792,5.87629
3.25652,4.72475
3.30115,3.77943
3.3494,3.0532
3.40127,2.49139
3.46038,2.02937
3.52672,1.65791
3.59909,1.36425
3.68353,1.11754
3.78244,0.912591
3.89824,0.744628
4.01404,0.625409
4.15879,0.519319
4.32766,0.433477
4.54479,0.358422
4.79569,0.301366
5.10448,0.256311
5.43258,0.226129
5.89578,0.202075
6.41444,0.191593
6.52417,0.191008
7.07504,0.197988
7.53075,0.218195
7.9036,0.25048
8.1936,0.292902
8.40074,0.339394
8.60788,0.40863
8.77359,0.491931
8.89787,0.581239
9.02216,0.707713
9.1309,0.867331
9.228,1.07299
9.30956,1.31968
9.37818,1.61129
9.44161,1.99013
9.49728,2.45861
9.54259,2.98674
9.58661,3.69681
9.62286,4.50623
9.65911,5.63496
9.68759,6.87282
9.71478,8.51494
9.73886,10.5725
9.7575,12.7945
9.77304,15.3161
9.78909,18.9452
9.80204,23.0709
9.81498,28.8819
9.82586,35.706
9.83622,44.5634
9.84657,56.5502
9.85693,72.6317
9.86781,95.0508
9.87946,126.557
9.8924,171.534
9.90872,242.116
9.94238,402.317
9.95926,457.865
9.97456,475.891
9.98991,458.413
10.0076,400.008
10.0507,197.839
10.0647,144.334
10.0768,107.962
10.0882,81.4957
10.0982,63.6519
10.1076,51.037
10.1179,40.4555
10.1293,31.968
10.1397,26.3299
10.1526,21.2088
10.1656,17.5338
10.1811,14.3515
10.1997,11.6401
10.2197,9.56457
10.2417,7.89154
10.2681,6.42897
10.2961,5.29868
10.3323,4.24116
10.3686,3.48041
10.4139,2.79515
10.4657,2.24244
10.5187,1.83767
10.5809,1.49659
10.6482,1.23178
10.7207,1.02474
10.8087,0.843547
10.9175,0.687763
11.034,0.572801
11.1738,0.478293
11.3369,0.404631
11.5389,0.345991
11.7978,0.300766
12.0775,0.273956
12.3571,0.260681
12.6678,0.25628
13.2064,0.267115
13.6612,0.291451
14.1919,0.337773
14.6332,0.396015
15.0611,0.477742
15.4176,0.574482
15.7356,0.690694
16.0279,0.840748
16.3129,1.04535
16.5613,1.29891
16.7757,1.60453
16.9632,1.97759
17.1386,2.46453
17.292,3.05912
17.4284,3.79703
17.5478,4.69561
17.6501,5.75421
17.7524,7.22634
17.8401,9.00173
17.918,11.2048
17.9886,13.9977
18.0483,17.2874
18.1043,21.6007
18.1531,26.8688
18.1957,33.3132
18.2322,40.9879
18.2627,49.7624
18.2894,60.2992
18.3143,73.8673
18.335,89.7886
18.354,110.602
18.3698,135.347
18.3841,166.631
18.3967,205.028
18.4094,257.554
18.4213,324.651
18.4338,418.462
18.4461,542.066
18.4578,694.169
18.4714,921.477
18.4872,1259.47
18.5074,1804.15
18.5571,3350.68
18.577,3794.42
18.5973,3985.8
18.5998,3988.12
18.6195,3840.78
18.6419,3363.31
18.6989,1611.58
18.7167,1162.59
18.7308,877.195
18.7439,667.342
18.7571,505.634
18.7698,388.173
18.7819,303.655
18.7929,246.241
18.8056,196.618
18.8173,162.672
18.8319,131.601
18.8465,109.236
18.865,88.9981
18.8845,73.8531
18.9079,60.7533
18.9361,49.4134
18.9702,39.6879
19.008,32.0242
19.0506,25.8189
19.0944,21.1735
19.1456,17.1992
19.2041,13.9028
19.2722,11.1371
19.3404,9.12295
19.4257,7.28985
19.5231,5.79908
19.623,4.70023
