92-U-236(n,&gamma;) ENDF/B-VII.1
1.0E-5,257.281
1.31241E-5,224.581
1.70876E-5,196.818
2.2426E-5,171.804
2.91987E-5,150.566
3.83206E-5,131.429
4.98935E-5,115.183
6.54808E-5,100.544
8.52562E-5,88.1168
1.11891E-4,76.9176
1.45682E-4,67.4094
1.91195E-4,58.844
2.48937E-4,51.5709
3.26707E-4,45.0155
4.25373E-4,39.4518
5.58264E-4,34.4377
7.26861E-4,30.1833
9.53941E-4,26.3481
0.00124203,23.0912
0.00163006,20.1578
0.00212234,17.6678
0.00278538,15.4241
0.00362657,13.5217
0.00475955,11.8277
0.00619694,10.3688
0.00813293,9.05241
0.0105891,7.94787
0.0138972,6.93393
0.0180942,6.07917
0.0234661,5.35474
0.0253,5.15817
0.0361611,4.31762
0.0474582,3.78424
0.0617907,3.31671
0.0810948,2.90212
0.105586,2.55306
0.150913,2.1555
0.198059,1.90376
0.257874,1.6848
0.368577,1.44258
0.483724,1.28932
0.629809,1.17406
0.822756,1.08083
1.132,1.00752
1.37388,0.99387
1.7893,1.029
2.1199,1.10212
2.4767,1.23889
2.80106,1.43181
3.09839,1.69476
3.39572,2.0875
3.63899,2.56565
3.83496,3.11696
4.01741,3.84768
4.16945,4.70396
4.31136,5.83259
4.42962,7.15138
4.54281,8.91529
4.63741,10.9871
4.72019,13.5007
4.79114,16.4511
4.8621,20.537
4.92291,25.4417
4.97697,31.498
5.02597,39.1183
5.06736,48.0281
5.10832,60.3465
5.14084,73.957
5.17146,91.6339
5.19997,114.753
5.22447,142.774
5.24575,176.902
5.26408,217.902
5.2798,266.731
5.29458,331.585
5.30674,407.888
5.31654,494.23
5.32499,596.695
5.33343,738.454
5.34104,915.042
5.34864,1157.41
5.35539,1447.31
5.36215,1827.79
5.36942,2362.02
5.37769,3159.67
5.38665,4276.67
5.39729,5945.84
5.42432,10924.1
5.43703,12649.3
5.44811,13277.2
5.44984,13287.5
5.45865,12966.5
5.46825,11967.6
5.48244,9630.99
5.50355,5734.69
5.51462,4058.81
5.52298,3057.68
5.53126,2287.99
5.53835,1783.27
5.54596,1373.98
5.55271,1101.33
5.55947,894.891
5.5669,725.32
5.57535,585.238
5.5838,483.821
5.59461,390.947
5.60677,317.671
5.62096,257.363
5.63651,210.186
5.65543,169.049
5.67638,136.508
5.70003,110.079
5.72452,90.1274
5.75409,72.5652
5.78788,58.1491
5.82335,47.2021
5.8639,38.1023
5.91035,30.5795
5.96357,24.3911
6.0227,19.4718
6.09027,15.4655
6.15954,12.5102
6.24063,10.0053
6.32847,8.04951
6.42308,6.52188
6.52782,5.27805
6.64608,4.25376
6.78461,3.38986
6.93327,2.7243
7.08194,2.234
7.26777,1.78686
7.46763,1.43848
7.69359,1.15709
7.92926,0.939425
8.20744,0.754643
8.48563,0.618405
8.76382,0.519254
9.13474,0.417892
9.50565,0.344025
9.87657,0.288611
10.3402,0.23721
10.8966,0.191891
11.5457,0.155098
12.1948,0.129196
12.9366,0.107136
13.6785,0.0910718
14.4203,0.0790622
15.3476,0.0680228
16.4603,0.058459
17.944,0.0502145
19.4277,0.0451967
21.0791,0.0423449
22.1801,0.041875
23.5563,0.0431934
24.9325,0.0468921
25.7583,0.0516964
26.4464,0.0582875
26.9969,0.0670157
27.4097,0.0768402
27.7638,0.0904128
28.0398,0.106057
28.2763,0.1265
28.4737,0.152225
28.6316,0.18256
28.7695,0.221068
28.8836,0.266926
28.9814,0.322773
29.0654,0.390171
29.1444,0.479812
29.2133,0.591854
29.2747,0.735266
29.3249,0.902086
29.3688,1.1082
29.4064,1.35949
29.4339,1.61905
29.459,1.95424
29.4791,2.34357
29.4966,2.83799
29.5123,3.47837
29.5255,4.23956
29.5386,5.29972
29.5499,6.53932
29.5624,8.4042
