92-U-232(n,&gamma;) ENDF/B-VII.1
1.0E-5,4093.24
1.31241E-5,3572.96
1.70876E-5,3131.23
2.2426E-5,2733.23
2.91987E-5,2395.3
3.83206E-5,2090.79
4.98935E-5,1832.28
6.54808E-5,1599.32
8.52562E-5,1401.56
1.11891E-4,1223.32
1.45682E-4,1071.98
1.91195E-4,935.634
2.48937E-4,819.835
3.26707E-4,715.442
4.25373E-4,626.817
5.58264E-4,546.917
7.26861E-4,479.089
9.53941E-4,417.906
0.00124203,365.907
0.00163006,319.023
0.00212234,279.171
0.00278538,243.198
0.00362657,212.63
0.00475955,185.322
0.00619694,161.719
0.00813293,140.327
0.0111067,119.198
0.0151349,100.718
0.0198632,86.8294
0.0234661,79.109
0.0253,75.7322
0.033204,64.5213
0.0432317,54.8828
0.0567377,46.1979
0.0738726,38.6404
0.0926341,32.8182
0.115908,27.6816
0.150913,22.317
0.18042,19.065
0.226242,15.4192
0.270479,12.9142
0.323366,10.7113
0.40461,8.38044
0.483724,6.82839
0.565431,5.67518
0.653982,4.75812
0.762013,3.96423
0.932238,3.13012
1.07679,2.66561
1.2585,2.27202
1.458,1.98113
1.6575,1.80289
1.95675,1.63601
2.256,1.56332
2.4555,1.55551
2.921,1.63939
3.32,1.83498
3.6525,2.11982
3.9185,2.46591
4.15125,2.91093
4.35075,3.45631
4.517,4.09109
4.68325,4.98326
4.83287,6.13582
4.95964,7.52044
5.07602,9.33906
5.16953,11.3985
5.25266,13.9312
5.33162,17.2928
5.39813,21.2506
5.4613,26.5118
5.5145,32.6927
5.56022,40.009
5.60095,48.9469
5.64168,61.4109
5.67659,76.4895
5.70569,93.9182
5.73395,117.488
5.75723,144.57
5.77801,177.951
5.79692,220.119
5.81458,275.568
5.82913,339.526
5.8416,414.384
5.8549,524.405
5.86612,651.544
5.87796,832.164
5.8896,1068.69
5.90311,1429.73
5.9189,1969.66
5.95141,3215.75
5.96504,3580.58
5.9796,3725.86
5.99197,3620.45
6.0066,3255.66
6.05024,1621.26
6.06396,1212.42
6.07663,921.375
6.08827,720.169
6.0997,572.353
6.11134,460.524
6.12318,376.004
6.1369,304.059
6.1529,243.747
6.17036,196.743
6.19072,157.599
6.21067,129.778
6.23686,103.337
6.26346,84.0507
6.29255,68.597
6.3258,55.6764
6.3657,44.5122
6.4056,36.4352
6.45215,29.5534
6.50535,23.8571
6.56187,19.4516
6.62838,15.6971
6.70734,12.5315
6.79047,10.1668
6.88398,8.26295
6.98581,6.77807
7.11319,5.47481
7.25156,4.50322
7.413,3.70633
7.60738,3.06204
7.80175,2.64574
8.035,2.31484
8.26825,2.11249
8.5015,2.00278
8.8125,1.956
9.16238,2.01767
9.51225,2.19624
9.86213,2.51284
10.1537,2.92155
10.4452,3.5255
10.6785,4.21409
10.9117,5.20537
11.0983,6.33279
11.2616,7.69868
11.4094,9.40182
11.5454,11.5725
11.6698,14.3256
11.7787,17.6816
11.8817,22.1251
11.9672,27.2527
12.0488,34.0483
12.1188,42.1365
12.1849,52.7281
12.2461,66.4789
12.2976,82.5223
12.3443,102.331
12.388,127.538
12.4318,161.921
12.4755,208.95
12.5192,271.939
12.5779,380.663
12.6378,492.97
12.6689,531.476
12.6994,544.814
12.7342,526.74
12.7731,471.536
12.871,284.083
12.9177,213.861
12.9614,164.91
13.0013,131.872
13.0421,106.534
13.0887,85.1116
13.1364,69.0197
13.1908,55.4913
13.252,44.4376
13.322,35.3572
13.3997,28.1527
13.4775,22.9325
13.5708,18.3729
13.6641,15.0442
13.7691,12.284
13.8915,9.92845
14.0218,8.0984
14.1772,6.51521
14.3483,5.26666
14.5349,4.28588
14.7332,3.52976
14.9781,2.86351
15.2462,2.34406
15.5372,1.94617
15.9237,1.58968
16.3293,1.3467
16.7358,1.19012
17.1422,1.09891
17.657,1.06039
18.0634,1.09039
18.4698,1.18756
18.8017,1.34167
19.0456,1.52293
19.2759,1.78255
19.4656,2.10001
19.6417,2.53401
19.7772,3.01582
19.9093,3.68596
20.0159,4.45469
20.1226,5.54589
20.2056,6.73669
20.2886,8.38098
20.3631,10.4184
20.4393,13.2711
20.5179,17.2512
20.7106,29.5987
20.7783,31.8624
20.7995,32.0068
20.8542,31.0514
20.9273,27.3653
21.0811,17.3723
21.159,13.506
21.2352,10.736
21.308,8.8261
21.391,7.27974
21.4841,6.0915
21.5858,5.23304
21.6874,4.67951
21.789,4.3379
21.9244,4.12129
21.9922,4.09563
22.1344,4.19985
22.2767,4.51746
22.4189,5.08137
22.5612,5.98257
22.6797,7.12173
22.7915,8.66751
22.8863,10.5222
22.9676,12.7621
23.0415,15.6045
23.1061,19.0546
23.1652,23.4328
23.215,28.5375
23.2647,35.6488
23.3031,43.3068
23.3408,53.6958
23.3737,66.4701
23.4019,81.7166
23.429,102.068
23.4537,127.982
23.4772,162.033
23.4992,205.022
23.5235,268.785
23.5482,354.0
23.5808,497.67
23.6442,812.38
23.6749,914.684
23.6994,942.456
23.7282,905.561
23.7602,790.079
23.8341,425.929
23.8612,317.538
23.886,240.665
23.9083,188.254
23.9315,147.552
23.9539,118.735
23.9762,97.2945
24.0041,77.7686
24.032,63.7145
24.0655,51.5343
24.1045,41.4495
24.1492,33.3279
24.1994,26.8971
24.2515,22.1425
24.3155,17.9911
24.3884,14.6951
24.4702,12.1268
24.5595,10.1693
24.6786,8.36208
24.8214,6.83958
25.0,5.43204
25.1786,4.38053
25.3631,3.60414
25.5595,3.05422
25.756,2.72105
25.9405,2.56639
26.0595,2.54135
26.2381,2.62071
26.4167,2.87798
26.5357,3.19075
26.666,3.73346
26.7776,4.46367
26.8669,5.33549
26.945,6.43611
27.0119,7.77334
27.0771,9.62183
27.1329,11.8929
27.1782,14.4856
27.2188,17.706
27.2585,22.1084
27.2922,27.3291
27.3258,34.5701
27.3559,43.4312
27.3854,55.003
27.419,72.4398
27.4581,98.4041
27.5346,155.061
27.5711,172.939
27.5991,177.553
27.6327,171.289
27.6731,149.391
27.7617,83.9352
27.7972,62.9673
27.8297,48.3076
27.8615,37.6363
27.891,30.3481
27.9258,24.072
27.9617,19.4332
28.0035,15.5735
28.0476,12.6756
28.1005,10.2006
28.1564,8.34682
28.2152,6.939
28.2858,5.72757
28.3681,4.73898
28.4563,4.00573
28.5445,3.49512
28.6548,3.07033
28.7738,2.80296
28.8929,2.68997
28.9326,2.6832
29.0749,2.78243
29.2172,3.07385
29.4995,3.97688
29.6124,4.15097
29.6312,4.15223
29.7347,4.00149
29.8899,3.39159
30.1134,2.37298
30.2557,1.8823
30.3968,1.52769
30.5438,1.26317
30.7085,1.05351
30.9143,0.873849
31.1201,0.751534
31.4141,0.636931
31.7669,0.556556
32.155,0.516656
32.2844,0.513329
32.6012,0.529845
32.8389,0.574669
33.0458,0.65267
33.1948,0.74828
33.3087,0.859037
33.4088,0.999765
33.509,1.20517
33.5966,1.47037
33.668,1.78039
33.7381,2.21356
33.7994,2.75004
33.8595,3.482
33.9196,4.48604
33.9857,5.94497
34.1099,9.0633
34.172,9.97592
34.1996,10.0773
34.2521,9.70137
34.3082,8.62228
34.4441,5.19136
34.508,3.93765
34.568,3.06664
34.6294,2.4256
34.6907,1.96517
34.7608,1.58936
34.8397,1.29251
34.9186,1.08201
35.0177,0.895529
35.1326,0.74757
35.2806,0.619609
35.4456,0.525523
35.6436,0.452707
35.8581,0.402352
36.1056,0.36577
36.4357,0.3381
36.8812,0.323308
37.0297,0.32237
37.5743,0.332665
38.0858,0.361001
38.5875,0.409399
39.1023,0.486672
39.67,0.611393
40.1848,0.766265
40.5149,0.905437
40.7921,1.07206
41.0594,1.30606
41.2838,1.59344
41.4769,1.94662
41.6502,2.39112
41.7987,2.92208
41.9472,3.66454
42.0627,4.47016
42.1741,5.55304
42.2731,6.90602
42.3597,8.5602
42.434,10.5178
42.4959,12.7253
42.5577,15.7299
42.6155,19.6463
42.665,24.3396
42.7083,30.0048
42.7503,37.5956
42.7891,47.2801
42.8278,60.622
42.8644,77.6906
42.9034,101.752
42.9493,138.085
43.0532,231.92
43.0961,256.84
43.13,263.253
43.1684,254.639
43.2158,224.125
43.3305,120.786
43.3743,89.5633
43.4124,68.8468
43.447,54.6601
43.4816,43.9759
43.5197,35.2445
43.5592,28.5992
43.603,23.2074
43.6524,18.781
43.7117,14.9792
43.771,12.2412
43.843,9.83331
43.9192,7.9952
44.0082,6.44464
44.1042,5.23572
44.2171,4.21189
44.3442,3.39146
44.4628,2.83234
44.6078,2.32793
44.7881,1.8831
44.9759,1.55508
45.176,1.30587
45.4094,1.10564
45.638,0.97593
45.8809,0.894201
46.1239,0.866909
46.3525,0.900799
46.524,0.982624
46.6669,1.11172
46.7812,1.28094
46.8812,1.50827
46.9646,1.78866
47.0384,2.14633
47.1051,2.60596
47.167,3.20835
47.2242,3.98264
47.279,4.99283
47.3385,6.45791
47.4171,8.95785
47.5185,12.2911
47.5757,13.4118
47.6092,13.6022
47.6672,13.0393
47.7262,11.5109
47.8684,6.74992
47.9279,5.19092
47.9839,4.08174
48.0411,3.24681
48.0982,2.63723
48.1649,2.12488
48.2411,1.71343
48.3245,1.39918
48.4198,1.14872
48.515,0.971544
48.6412,0.807111
48.7984,0.670579
48.9818,0.567563
49.1723,0.498345
49.4581,0.437504
49.7439,0.409566
49.9345,0.404664
50.1966,0.414765
50.4588,0.446694
50.7033,0.503458
50.9071,0.580829
51.07,0.673391
51.2331,0.808895
51.3757,0.983275
51.4939,1.19146
51.5937,1.43848
51.6854,1.75451
51.7669,2.14633
51.8372,2.61334
51.9013,3.19888
51.9655,4.01679
52.0175,4.93485
52.0674,6.13317
52.1194,7.84315
52.1683,10.0253
52.2223,13.2122
52.2938,18.618
52.383,25.6843
52.4311,28.3089
52.4793,29.2733
52.5289,28.2652
52.5908,24.6217
52.7255,13.9683
52.7816,10.4897
52.8284,8.2661
52.8773,6.51994
52.9282,5.18317
52.9853,4.10339
53.0424,3.32533
53.1055,2.69839
53.1789,2.17384
53.2583,1.76594
53.3439,1.4475
53.4417,1.18326
53.5558,0.961941
53.6944,0.772775
53.837,0.63514
54.0081,0.517895
54.2078,0.422457
54.436,0.346831
54.6805,0.290237
55.0065,0.238433
55.3936,0.197338
55.8011,0.168293
56.3105,0.143907
56.9521,0.124087
57.6545,0.110468
58.6342,0.0993659
59.6139,0.0938351
60.5936,0.0921691
62.0631,0.0953408
63.5327,0.105417
64.7573,0.120648
65.737,0.139137
66.7167,0.166472
67.574,0.201666
68.3087,0.245189
68.9823,0.302435
69.5089,0.365474
69.9987,0.447035
70.4028,0.540267
70.7702,0.657161
71.0764,0.791547
71.3825,0.981223
71.6128,1.18356
71.8455,1.46994
72.1149,1.92256
72.6929,2.97818
72.8827,3.53572
73.0327,4.20178
73.1827,5.16414
73.3113,6.33713
73.4215,7.72394
73.5257,9.51427
73.6238,11.8332
73.7165,14.8647
73.8037,18.8185
73.8837,23.7718
73.9655,30.5891
74.0568,40.6625
74.2691,69.1535
74.3302,74.7108
74.3994,77.0746
74.4756,74.1929
74.5571,65.8383
74.7545,39.0494
74.8454,29.3555
74.9272,22.8131
75.0035,18.2544
75.0908,14.4113
75.1817,11.5058
75.2835,9.15253
75.3925,7.33486
75.5071,5.9449
75.6398,4.77279
75.7852,3.84429
75.9379,3.13274
76.116,2.52612
76.3196,2.02652
76.5487,1.6241
76.8104,1.29515
77.0977,1.03797
77.4249,0.829305
77.7557,0.677215
78.1338,0.550561
78.5447,0.450974
79.0537,0.362051
79.5627,0.298661
80.0716,0.253198
80.5871,0.223451
80.7456,0.219871
80.9283,0.226205
81.006,0.239383
81.0532,0.256204
81.096,0.282626
81.1388,0.326681
81.1762,0.386834
81.213,0.472637
81.2535,0.603483
81.3008,0.805674
81.41,1.35495
81.4586,1.52128
81.4995,1.56895
81.5392,1.52284
81.5844,1.37188
81.717,0.708856
81.7603,0.537121
81.8002,0.419078
81.8351,0.344665
81.87,0.292062
81.911,0.250837
81.9635,0.218893
82.037,0.194863
82.1588,0.174937
82.4192,0.15203
82.7993,0.132234
83.318,0.116147
84.158,0.0992538
85.208,0.0850204
86.468,0.073595
87.98,0.0652931
89.0826,0.0628027
89.6202,0.0642868
89.8519,0.0671519
89.9919,0.0711296
90.0864,0.0764647
90.16,0.0842694
90.2212,0.0959553
90.2693,0.110963
90.3148,0.132217
90.3577,0.160373
90.4102,0.206901
90.559,0.373832
90.6164,0.413429
90.6505,0.420277
90.692,0.410052
90.7375,0.377952
90.8303,0.275657
90.9003,0.200656
90.944,0.164322
90.986,0.138223
91.028,0.119835
91.07,0.10764
91.133,0.0976384
91.1961,0.0942949
91.2725,0.09689
91.3234,0.103322
91.3744,0.115918
91.41,0.130677
91.4454,0.152889
91.4809,0.185766
91.5163,0.233049
91.5518,0.298524
91.5906,0.394439
91.6384,0.547688
91.7555,0.988546
91.805,1.11645
91.8497,1.157
91.895,1.11502
91.9445,0.985904
92.0759,0.494413
92.1189,0.364691
92.1533,0.284051
92.1887,0.221016
92.2242,0.175504
92.2596,0.143694
92.29,0.124529
92.3339,0.105938
92.3902,0.0917778
92.4577,0.0822257
92.5364,0.0758255
92.7052,0.0688189
92.9303,0.0647108
93.3354,0.0620961
93.6505,0.0616318
94.5508,0.0631323
95.7849,0.0691889
96.9707,0.0796642
97.8601,0.0923443
98.6013,0.108301
99.1942,0.127066
99.7501,0.152991
100.158,0.180817
100.516,0.215959
100.819,0.258763
101.078,0.311674
101.311,0.381122
101.502,0.463602
101.655,0.558562
101.793,0.680852
101.917,0.838592
102.02,1.03019
102.109,1.26637
102.187,1.56471
102.254,1.9354
102.311,2.39664
102.36,2.94586
102.4,3.57329
102.44,4.43443
102.484,5.68415
102.524,7.27644
102.569,9.57683
102.62,12.997
102.685,18.566
102.792,28.2531
102.851,31.7727
102.9,32.7899
102.953,31.5884
103.009,28.1502
103.167,14.0785
103.216,10.5315
103.258,8.15709
103.301,6.28849
103.345,4.90984
103.385,3.97188
103.425,3.27974
103.473,2.68053
103.528,2.20883
103.595,1.81001
103.663,1.54038
103.74,1.3307
103.839,1.15126
103.938,1.03662
104.086,0.940722
104.264,0.903866
104.434,0.926226
104.604,0.999374
104.767,1.1226
104.94,1.32828
105.089,1.59595
105.217,1.93588
105.321,2.32587
105.415,2.81891
105.502,3.46061
105.576,4.24318
105.638,5.16288
105.687,6.17573
105.736,7.56814
105.783,9.41861
105.828,11.8672
105.871,15.1039
105.909,19.0612
105.954,25.0369
106.003,33.7561
106.063,47.0451
106.191,79.2296
106.247,88.6797
106.301,91.9933
106.355,88.5805
106.417,77.8466
106.567,41.2629
106.621,30.8
106.663,24.6587
106.707,20.0497
106.749,17.0307
106.789,15.4103
106.822,14.9031
106.854,15.0862
106.889,16.1227
106.93,18.5424
106.966,21.7905
107.011,27.5214
107.065,36.7303
107.185,61.3129
107.238,69.3419
107.287,72.8068
107.299,72.9218
107.343,70.852
107.39,64.7951
107.465,49.6594
107.552,31.1163
107.601,22.7446
107.644,16.9375
107.679,13.3044
107.716,10.3282
107.752,8.2251
107.788,6.66953
107.826,5.47103
107.871,4.45048
107.916,3.72514
107.973,3.06771
108.036,2.56199
108.111,2.13004
108.198,1.77726
108.305,1.46389
108.431,1.20683
108.583,0.988939
108.745,0.827127
108.92,0.701956
109.162,0.582578
109.445,0.492681
109.722,0.437891
110.015,0.404904
110.309,0.393534
110.587,0.403353
110.866,0.437983
111.117,0.500644
111.314,0.583232
111.478,0.688941
111.629,0.834997
111.751,1.01042
111.856,1.22767
111.948,1.50044
112.026,1.83492
112.095,2.25385
112.154,2.76829
112.203,3.37407
112.246,4.09977
112.284,4.98222
112.323,6.17012
112.363,7.9028
112.4,9.93903
112.442,13.067
112.486,17.3713
112.536,23.4974
112.687,46.0855
112.734,51.1829
112.788,54.0371
112.799,54.1358
112.852,52.2308
112.909,46.4536
113.066,23.2758
113.118,16.8999
113.162,12.7006
113.2,9.93557
113.239,7.73469
113.28,6.05873
113.318,4.89083
113.356,4.02216
113.405,3.2147
113.46,2.58867
113.515,2.1438
113.582,1.74859
113.661,1.42406
113.753,1.15683
113.862,0.9341
113.987,0.757343
114.111,0.631534
114.275,0.513972
114.466,0.419428
114.663,0.351641
114.892,0.295909
115.16,0.250693
115.464,0.2154
115.869,0.184345
116.32,0.162839
116.792,0.150004
117.16,0.146695
117.37,0.151038
117.485,0.161268
117.554,0.174855
117.622,0.199066
117.685,0.234913
117.758,0.295114
117.902,0.432807
117.966,0.468461
118.0,0.473447
118.066,0.453924
118.133,0.401649
118.273,0.265703
118.343,0.215728
118.41,0.184619
118.476,0.166028
118.581,0.151757
118.756,0.144146
118.952,0.142397
119.575,0.148433
120.258,0.165665
120.888,0.193332
121.36,0.226448
121.727,0.265093
122.042,0.314262
122.264,0.36426
122.492,0.438014
122.655,0.514048
122.803,0.611734
122.928,0.728264
123.031,0.864769
123.126,1.04125
123.2,1.23607
123.259,1.45205
123.319,1.76287
123.37,2.14909
123.41,2.59632
123.445,3.14569
123.479,3.86824
123.511,4.81608
123.543,6.10582
123.576,7.91954
123.608,10.301
123.641,13.4063
123.678,17.9099
123.72,24.5732
123.774,34.8987
123.882,58.0816
123.936,66.8415
123.991,70.7482
124.0,70.835
124.046,68.7524
124.104,60.6623
124.201,40.221
124.266,27.0239
124.309,19.8186
124.345,15.078
124.38,11.3661
124.412,8.80421
124.444,6.85968
124.476,5.41053
124.505,4.44678
124.537,3.63874
124.574,2.96491
124.618,2.42677
124.661,2.05987
124.722,1.71836
124.799,1.44482
124.886,1.24719
124.974,1.11859
125.105,1.00154
125.235,0.940334
125.408,0.912873
125.659,0.948997
125.91,1.05884
126.146,1.23615
126.354,1.47061
126.527,1.74676
126.712,2.1633
126.873,2.68837
127.017,3.35935
127.144,4.20167
127.247,5.15148
127.338,6.30496
127.426,7.8434
127.506,9.80432
127.577,12.1501
127.646,15.2453
127.715,19.3799
127.795,25.676
127.888,35.3094
128.059,54.6533
128.131,60.0525
128.2,61.9075
128.278,59.4761
128.352,53.4322
128.566,29.3236
128.647,22.0677
128.716,17.2856
128.787,13.605
128.858,10.8788
128.938,8.61319
129.016,7.02759
129.107,5.67796
129.21,4.58505
129.321,3.73379
129.44,3.07017
129.582,2.50827
129.723,2.10596
129.882,1.78295
130.072,1.52088
130.231,1.38319
130.42,1.30777
130.483,1.30697
130.607,1.35322
130.7,1.44784
130.781,1.59811
130.855,1.83037
130.917,2.13551
130.976,2.57126
131.03,3.15368
131.085,3.96834
131.139,5.06582
131.199,6.64483
131.381,12.3905
131.444,13.7029
131.499,14.0914
131.563,13.5505
131.636,11.8215
131.805,6.34579
131.867,4.75051
131.922,3.63064
131.971,2.89174
132.026,2.28645
132.08,1.8532
132.133,1.54976
132.195,1.29351
132.269,1.07879
132.359,0.900958
132.467,0.755131
132.598,0.636482
132.759,0.537473
132.936,0.463593
133.182,0.394466
133.461,0.342959
133.81,0.300726
134.229,0.268976
134.807,0.245239
135.461,0.236852
136.085,0.243521
136.709,0.265146
137.177,0.293811
137.722,0.346596
138.185,0.416226
138.586,0.506003
138.944,0.623466
139.235,0.760895
139.485,0.926072
139.703,1.12584
139.922,1.40589
140.093,1.71298
140.257,2.1174
140.4,2.60783
140.528,3.21247
140.647,4.00439
140.747,4.92699
140.833,6.00773
140.917,7.47035
140.988,9.1326
141.062,11.5356
141.125,14.3493
141.196,18.5341
141.266,24.1423
141.344,32.229
141.563,59.719
141.629,65.3181
141.7,67.489
141.775,65.0008
141.866,56.36
142.064,31.2422
142.139,23.5987
142.21,18.1183
142.277,14.1673
142.341,11.3926
142.41,9.16422
142.492,7.25202
142.574,5.88015
142.667,4.7452
142.776,3.79864
142.896,3.05967
143.023,2.49165
143.166,2.02821
143.322,1.65965
143.504,1.34721
143.717,1.08543
143.967,0.869724
144.227,0.711004
144.523,0.582508
144.885,0.473674
145.275,0.39313
145.73,0.33079
146.13,0.295435
146.536,0.274182
146.941,0.26717
147.347,0.277685
147.651,0.303381
147.885,0.341721
148.084,0.397188
148.25,0.472167
148.375,0.558697
148.485,0.672274
148.576,0.81269
148.651,0.979676
148.713,1.17646
148.775,1.4543
148.833,1.82221
148.883,2.25482
148.935,2.85157
148.988,3.66346
149.049,4.88183
149.128,6.83378
149.268,10.616
149.328,11.7575
149.398,12.2739
149.4,12.2743
149.46,11.9048
149.528,10.7063
149.732,5.28926
149.796,3.93793
149.855,2.98108
149.908,2.34357
149.963,1.84335
150.018,1.48695
150.073,1.22819
150.131,1.02822
150.197,0.863059
150.277,0.722626
150.379,0.59957
150.485,0.512608
150.635,0.430166
150.786,0.376828
150.991,0.33098
151.196,0.304037
151.504,0.285678
151.607,0.283798
151.889,0.287243
152.171,0.302573
152.524,0.339607
152.863,0.399436
153.12,0.467552
153.376,0.565809
153.601,0.689596
153.806,0.850845
153.986,1.04998
154.139,1.28566
154.293,1.60983
154.444,2.0504
154.588,2.62821
154.741,3.44042
155.074,5.61747
155.228,6.25752
155.304,6.34814
155.433,6.1234
155.58,5.4233
155.826,3.998
155.941,3.53934
156.018,3.4049
156.076,3.45137
156.134,3.69594
156.184,4.15236
156.226,4.77445
156.268,5.68123
156.31,6.93194
156.361,8.94583
156.422,12.142
156.574,21.5419
156.637,24.2561
156.699,25.1993
156.75,24.4752
