92-U-239(n,total fission) ENDF/B-VII.1
1.0E-5,703.72
1.31241E-5,614.281
1.70876E-5,538.344
2.2426E-5,469.927
2.91987E-5,411.837
3.83206E-5,359.494
4.98935E-5,315.058
6.54808E-5,275.018
8.52562E-5,241.029
1.11891E-4,210.399
1.45682E-4,184.394
1.91195E-4,160.968
2.48937E-4,141.077
3.26707E-4,123.149
4.25373E-4,107.934
5.58264E-4,94.2237
7.26861E-4,82.5912
9.53941E-4,72.106
0.00124203,63.2032
0.00163006,55.1859
0.00212234,48.3826
0.00278538,42.2541
0.00362657,37.0594
0.00475955,32.4377
0.00619694,28.46
0.00813293,24.8737
0.0105891,21.8699
0.0138972,19.1167
0.0180942,16.8019
0.0234661,14.8446
0.0253,14.3092
0.033204,12.5551
0.0432317,11.1191
0.0567377,9.8101
0.0810948,8.37984
0.105586,7.51396
0.138572,6.7831
0.198059,6.08791
0.257874,5.77155
0.31716,5.67736
0.413494,5.8685
0.513141,6.46213
0.600244,7.37753
0.687346,8.8227
0.757029,10.5978
0.818,12.8831
0.870262,15.7154
0.909458,18.6689
0.948655,22.7208
0.982951,27.6213
1.01453,33.8848
1.0412,41.1903
1.06679,50.8466
1.09074,63.5511
1.11143,78.98
1.12858,96.5901
1.14545,120.428
1.1607,150.359
1.17458,188.1
1.18764,237.189
1.19935,297.173
1.2116,382.0
1.2239,494.973
1.25569,863.232
1.26484,936.543
1.27477,965.094
1.28574,926.177
1.29728,820.107
1.32548,486.614
1.33762,374.161
1.34987,288.443
1.3613,229.164
1.37274,184.886
1.38607,146.782
1.39941,118.849
1.41465,95.3819
1.43208,75.9694
1.4495,61.819
1.47127,48.9914
1.49305,39.7371
1.51918,31.6908
1.54531,25.8451
1.57471,21.0172
1.609,16.9191
1.64548,13.7522
1.68903,11.0283
1.73693,8.89448
1.7892,7.23071
1.84472,5.95864
1.91332,4.84855
1.983,4.04682
2.05921,3.42355
2.14632,2.92707
2.23342,2.58661
2.36407,2.27311
2.49473,2.12678
2.57481,2.10329
2.72214,2.1874
2.8531,2.41884
2.96223,2.76961
3.06154,3.28108
