91-Pa-232(n,&gamma;) ENDF/B-VII.1
1.0E-5,32456.2
1.31241E-5,28330.8
1.70876E-5,24828.1
2.2426E-5,21672.2
2.91987E-5,18992.6
3.83206E-5,16577.9
4.98935E-5,14528.0
6.54808E-5,12680.7
8.52562E-5,11112.5
1.11891E-4,9699.04
1.45682E-4,8498.86
1.91195E-4,7417.52
2.48937E-4,6499.12
3.26707E-4,5671.12
4.25373E-4,4968.12
5.58264E-4,4334.27
7.26861E-4,3796.12
9.53941E-4,3310.59
0.00124203,2897.86
0.00163006,2525.62
0.00212234,2209.1
0.00278538,1923.27
0.00362657,1680.27
0.00475955,1463.07
0.00619694,1275.24
0.00813293,1104.93
0.0111067,936.679
0.0151349,789.621
0.0198632,679.382
0.0234661,618.082
0.0253,590.973
0.033204,503.414
0.0453449,418.604
0.0592642,355.104
0.0774837,302.357
0.0969512,266.686
0.126231,236.273
0.150913,224.662
0.170486,222.232
0.203821,230.133
0.243674,255.739
0.287463,290.462
0.313458,299.238
0.33709,290.749
0.366629,258.929
0.424527,177.434
0.455544,144.237
0.48656,121.067
0.513727,107.826
0.532032,101.987
0.568643,96.298
0.583122,95.8333
0.638627,97.3269
0.670965,94.3662
0.706199,84.4042
0.776184,58.2783
0.813386,47.9768
0.850587,40.701
0.889128,35.5834
0.930346,31.9895
0.985304,29.2918
1.07079,27.8713
1.20921,26.9494
1.25399,27.7987
1.28655,29.9968
1.30974,33.0224
1.33388,38.1227
1.36137,46.8787
1.39183,58.037
1.41296,62.2431
1.41859,62.3639
1.43408,60.2914
1.45803,51.8618
1.49077,38.2403
1.51507,30.5545
1.53972,25.1524
1.56084,21.9355
1.58725,19.1301
1.62246,16.6956
1.66647,14.8471
1.70168,13.9191
1.77211,12.8878
1.8707,12.5007
1.99233,13.1434
2.0716,14.219
2.14906,15.9298
2.22006,18.3322
2.28461,21.572
2.34593,26.1235
2.39676,31.626
2.44437,39.0354
2.48391,47.737
2.52344,59.9156
2.55975,75.4794
2.59541,96.1232
2.63995,129.595
2.68094,161.871
2.70676,176.154
2.73077,180.938
2.75324,176.907
2.78551,159.731
2.84831,116.873
2.87792,102.021
2.90753,92.2375
2.94021,86.7397
2.96303,85.5202
3.0215,86.4326
3.06299,83.7459
3.10135,75.5381
3.19244,47.7352
3.23576,37.5438
3.27658,30.4913
3.32025,25.0637
3.37194,20.6081
3.41651,17.9301
3.46998,15.6817
3.53758,13.8876
3.58736,13.1231
3.66611,12.7063
3.72762,13.0475
3.78914,14.0768
3.84701,15.872
3.90601,18.8427
3.96502,23.3123
4.07803,34.6111
4.11448,36.8607
4.13708,37.2612
4.17281,36.1505
4.22111,31.9658
4.30905,22.4452
4.36442,17.8752
4.42024,14.6862
4.46808,12.8685
4.517,11.6914
4.56593,11.0909
4.59855,10.9931
4.65597,11.4566
4.69903,12.441
4.74461,14.2252
4.80741,17.9114
4.85406,20.6581
4.88277,21.5919
