92-U-239(n,&gamma;) ENDF/B-VII.1
1.0E-5,1102.8
1.31241E-5,962.641
1.70876E-5,843.641
2.2426E-5,736.424
2.91987E-5,645.392
3.83206E-5,563.364
4.98935E-5,493.728
6.54808E-5,430.981
8.52562E-5,377.718
1.11891E-4,329.717
1.45682E-4,288.964
1.91195E-4,252.253
2.48937E-4,221.082
3.26707E-4,192.987
4.25373E-4,169.144
5.58264E-4,147.658
7.26861E-4,129.429
9.53941E-4,112.998
0.00124203,99.0459
0.00163006,86.482
0.00212234,75.8206
0.00278538,66.2166
0.00362657,58.0759
0.00475955,50.8333
0.00619694,44.5997
0.00813293,38.9797
0.0105891,34.2723
0.0138972,29.9579
0.0180942,26.3303
0.0234661,23.263
0.0253,22.424
0.033204,19.6752
0.0432317,17.4248
0.0567377,15.3734
0.0810948,13.1321
0.105586,11.7751
0.138572,10.6298
0.198059,9.54039
0.257874,9.04461
0.31716,8.897
0.413494,9.19655
0.513141,10.1268
0.600244,11.5613
0.687346,13.8261
0.757029,16.6079
0.818,20.1891
0.870262,24.6277
0.909458,29.2561
0.948655,35.6058
0.982951,43.2854
1.01453,53.101
1.0412,64.5493
1.06679,79.6817
1.09074,99.591
1.11143,123.77
1.12858,151.366
1.14545,188.723
1.1607,235.627
1.17458,294.772
1.18764,371.699
1.19935,465.701
1.2116,598.633
1.2239,775.674
1.25569,1352.77
1.26484,1467.66
1.27477,1512.4
1.28574,1451.41
1.29728,1285.19
1.32548,762.573
1.33762,586.348
1.34987,452.019
1.3613,359.124
1.37274,289.735
1.38607,230.022
1.39941,186.248
1.41465,149.473
1.43208,119.052
1.4495,96.8767
1.47127,76.7745
1.49305,62.2721
1.51918,49.6628
1.54531,40.5019
1.57471,32.9361
1.609,26.514
1.64548,21.5511
1.68903,17.2824
1.73693,13.9386
1.7892,11.3313
1.84472,9.3378
1.91332,7.59818
1.983,6.34178
2.05921,5.36506
2.14632,4.58701
2.23342,4.05349
2.36407,3.5622
2.49473,3.33288
2.57481,3.29607
2.72214,3.42788
2.8531,3.79057
2.96223,4.34027
3.06154,5.14179
3.14557,6.17581
3.21651,7.45219
3.27762,9.03957
3.33437,11.1546
3.38021,13.5755
3.4195,16.442
3.4566,20.1785
3.49152,25.1128
3.52263,31.3485
3.54936,38.9063
3.57337,48.4236
3.5952,60.6096
3.61293,74.3595
3.63012,92.7645
3.64567,115.959
3.65904,143.288
3.672,179.119
3.68551,229.831
3.69901,297.944
3.71402,396.289
3.7493,669.782
3.76217,738.149
3.77492,762.269
3.78749,737.525
3.80321,649.256
3.83966,366.795
3.85466,274.607
3.86858,210.108
3.88167,165.206
3.89504,131.459
3.90841,106.565
3.92369,85.6671
3.94088,68.6663
3.96052,54.7629
3.98099,44.3509
4.00499,35.5484
4.0301,28.9086
4.06065,23.1003
4.09394,18.6015
4.13213,14.9233
4.17251,12.1422
4.21835,9.87439
4.26419,8.22568
4.31602,6.85433
4.37823,5.66938
4.45735,4.62276
4.5392,3.88031
4.62105,3.36474
4.71381,2.96367
4.84477,2.62055
4.98062,2.45832
5.05098,2.43711
5.18215,2.50755
5.31332,2.738
5.4117,3.05028
5.51008,3.53812
5.59752,4.19696
5.67404,5.04421
5.73963,6.09523
5.79647,7.39386
5.85003,9.13905
5.89485,11.2159
5.9331,13.6884
5.96917,16.9411
5.99978,20.7964
6.02602,25.3458
6.05143,31.4524
6.07247,38.4603
6.09324,48.0894
6.11046,59.2192
6.12658,73.5967
6.14188,92.4903
6.15609,116.58
6.17085,150.675
6.18561,196.386
6.202,262.162
6.24551,471.142
6.26212,522.97
6.2748,535.947
6.29011,517.159
6.30847,452.628
6.35012,251.482
6.36651,187.966
6.38127,144.159
6.39603,111.578
6.40942,89.7063
6.4239,72.1544
6.4392,58.5281
6.4556,47.7935
6.47473,38.6587
6.49714,30.9889
6.52009,25.3248
6.54633,20.6086
6.57584,16.7636
6.61027,13.5375
6.64689,11.0665
6.69061,8.9484
6.73543,7.3883
6.78899,6.04622
6.84638,5.01959
6.91524,4.14886
6.99559,3.44386
7.09506,2.86299
7.20983,2.44225
7.32461,2.19189
7.43697,2.06208
7.54933,2.02342
7.66425,2.07274
7.77918,2.22037
7.88863,2.47884
7.98713,2.85257
8.06922,3.3182
8.13708,3.86205
8.21151,4.71397
8.27499,5.78106
8.32862,7.07685
8.37459,8.64461
8.41728,10.6987
8.45559,13.322
8.48897,16.5752
8.51579,20.2247
8.54178,25.1582
8.56285,30.7284
