95-Am-242(n,&gamma;) ENDF/B-VII.1
1.0E-5,10201.1
1.31241E-5,8904.67
1.70876E-5,7803.96
2.2426E-5,6812.25
2.91987E-5,5970.26
3.83206E-5,5211.56
4.98935E-5,4567.5
6.54808E-5,3987.16
8.52562E-5,3494.57
1.11891E-4,3050.66
1.45682E-4,2673.81
1.91195E-4,2334.36
2.48937E-4,2046.17
3.26707E-4,1786.47
4.25373E-4,1566.11
5.58264E-4,1367.59
7.26861E-4,1199.22
9.53941E-4,1047.52
0.00124203,918.796
0.00163006,802.964
0.00212234,704.776
0.00278538,616.444
0.00362657,541.697
0.00475955,475.37
0.00619694,418.456
0.00813293,367.343
0.0105891,324.801
0.0138972,286.089
0.0180942,253.891
0.0234661,227.116
0.0253,219.925
0.0361611,190.07
0.0474582,172.158
0.0617907,157.633
0.0883169,143.321
0.126231,135.396
0.160144,133.72
0.266044,136.397
0.331349,131.995
0.388666,120.166
0.556923,68.1241
0.62311,52.2772
0.684073,41.3661
0.73981,33.8683
0.809482,27.0169
0.879153,22.1654
0.948824,18.7011
1.03243,15.8036
1.13694,13.4883
1.24144,12.1661
1.34595,11.5829
1.38775,11.5306
1.48878,11.8447
1.5898,12.8857
1.67581,14.5798
1.74116,16.6291
1.80128,19.4397
1.85679,23.3172
1.90121,27.8556
1.94007,33.5236
1.9756,40.9157
2.00669,50.1111
2.03334,61.089
2.05999,76.2586
2.08597,96.5447
2.11528,126.893
2.15259,170.124
2.17036,185.097
2.18972,191.222
2.20944,184.62
2.2364,159.734
2.28239,109.024
2.30884,86.882
2.33609,70.2528
2.36508,57.632
2.40132,46.5982
2.43756,38.7983
2.48467,31.5445
2.53033,26.4704
2.58686,21.9433
2.64774,18.5637
2.71876,15.9462
2.78399,14.4494
2.84922,13.6043
2.92169,13.2918
2.99779,13.6155
3.07389,14.663
3.14637,16.5052
3.21159,19.1616
3.26595,22.4528
3.31092,26.2686
3.36035,32.187
3.40211,39.3805
3.43959,48.4683
3.47239,59.4936
3.50452,74.4244
3.53263,92.3106
3.56007,115.759
3.5902,150.143
3.62714,204.783
3.6673,266.143
3.68872,287.522
3.70671,293.66
3.73156,282.109
3.75833,248.848
3.81755,156.288
3.84695,120.339
3.87512,94.2986
3.90452,74.1773
3.93423,59.3432
3.96749,47.3287
4.00551,37.5579
4.0471,30.0194
4.08868,24.6194
4.13692,20.0922
4.19323,16.3322
4.25145,13.5587
4.3263,11.0529
4.40531,9.23674
4.48432,7.96136
4.596,6.74786
4.71481,5.93844
4.85054,5.40025
5.01831,5.12115
5.08004,5.10405
5.27846,5.34326
5.40809,5.76751
5.56683,6.66302
5.73263,8.12478
6.06774,11.6825
6.15945,13.1948
6.24764,15.4961
6.33017,18.7724
6.43177,24.3196
6.50306,29.5962
6.55949,35.715
6.60836,43.4518
6.65234,53.4944
6.68654,64.4459
6.72002,79.3016
6.75012,98.0542
6.77646,120.937
6.80187,151.803
6.82411,189.426
6.84439,236.214
6.86393,296.581
6.88592,386.907
6.91329,533.827
6.95622,785.771
6.97704,863.501
6.99201,881.687
7.00856,860.401
7.03005,776.137
7.09093,422.781
7.11254,324.694
7.13311,253.57
7.15489,198.036
