91-Pa-231(n,total fission) ENDF/B-VII.1
4.51503,0.0103053
4.51684,0.0103062
4.52858,0.0098976
4.53989,0.00885136
4.55719,0.00644366
4.57309,0.00416307
4.5828,0.00303704
4.59009,0.00237983
4.59671,0.00192325
4.60333,0.00158937
4.60885,0.00139226
4.61548,0.0012356
4.6221,0.00114708
4.62916,0.0011073
4.63402,0.00110325
4.64859,0.00115696
4.71615,0.00159147
4.79244,0.00193417
4.92612,0.00247168
4.97612,0.00279463
5.02714,0.00318672
5.03735,0.00320855
5.06551,0.0030774
5.09959,0.00283339
5.10674,0.00282897
5.12714,0.00295908
5.14755,0.00330365
5.16796,0.00388967
5.18503,0.00465897
5.20036,0.0056868
5.21536,0.00708888
5.25436,0.0117088
5.26529,0.0125433
5.27493,0.0128111
5.28757,0.0123845
5.30246,0.0108553
5.33616,0.00591201
5.34821,0.00451221
5.35892,0.00358949
5.36964,0.00294784
5.37821,0.00260076
5.38785,0.00234406
5.4007,0.00215412
5.4216,0.00205148
5.42856,0.00204706
5.48212,0.00216334
5.55189,0.00236076
5.57392,0.00254463
5.58894,0.00283929
5.60333,0.00332826
5.61842,0.0040887
5.64441,0.00583553
5.69257,0.00942194
5.71009,0.0113378
5.72253,0.0133628
5.73446,0.0160814
5.74789,0.020227
5.76992,0.0291543
5.78995,0.037099
5.80077,0.0397906
5.81008,0.0405821
5.8216,0.0393037
5.83322,0.0356179
5.85005,0.027385
5.87058,0.0164722
5.88184,0.0115034
5.89036,0.00849271
5.89787,0.00637618
5.90538,0.00472421
5.91214,0.00358259
5.91815,0.0027984
5.92416,0.00219305
5.93042,0.00171605
5.93605,0.00139315
5.94281,0.0011084
5.94957,9.08251E-4
5.9552,7.89503E-4
5.96196,6.89511E-4
5.96922,6.19744E-4
5.97924,5.66916E-4
5.98926,5.46554E-4
5.99426,5.44467E-4
6.01429,5.6802E-4
6.05886,6.93315E-4
6.17689,0.00104917
6.29156,0.00131988
6.3717,0.00145846
6.44684,0.0015303
6.46787,0.00160489
6.4829,0.00172711
6.50093,0.00198485
6.52477,0.00249883
6.55683,0.00321062
6.58007,0.00350219
6.65621,0.00377344
6.68885,0.00415795
6.71377,0.00470455
6.73454,0.00546804
6.74949,0.00633634
6.76298,0.00750587
6.77647,0.00922812
6.78923,0.0115523
