95-Am-243(n,total fission) ENDF/B-VII.1
13.0571,0.491241
13.0729,0.555701
13.103,0.747354
13.1256,0.881522
13.1444,0.9366
13.1486,0.939181
13.1647,0.91354
13.1836,0.817108
13.2134,0.582136
13.238,0.388085
13.2531,0.290455
13.267,0.22014
13.2788,0.173537
13.2915,0.135824
13.3045,0.10737
13.3176,0.086908
13.331,0.0718142
13.3476,0.0588112
13.3661,0.0489592
13.3883,0.0408589
13.4136,0.0344201
13.4452,0.028755
13.4832,0.0239744
13.5291,0.0199181
13.5844,0.0165116
13.6424,0.0140079
13.7215,0.011661
13.8006,0.010083
13.898,0.00880117
14.0162,0.00787416
14.1582,0.00738563
14.2152,0.00734363
14.3422,0.00754962
14.4594,0.00813893
14.5863,0.00934863
14.684,0.0108918
14.7729,0.0130483
14.8429,0.0155692
14.9028,0.0186522
14.9516,0.0221792
15.0004,0.0271602
15.0434,0.0335002
15.0766,0.0404601
15.1059,0.0490399
15.1313,0.0594923
15.1535,0.0725038
15.1713,0.0871736
15.1884,0.107173
15.2031,0.131575
15.2153,0.159587
15.228,0.199278
15.2397,0.248919
15.2506,0.309774
15.2633,0.403097
15.276,0.525657
15.2901,0.701447
15.3072,0.972254
15.3355,1.52545
15.3627,2.04937
15.3828,2.30989
15.3997,2.3846
15.4145,2.32797
15.4305,2.14797
15.4543,1.72567
15.4897,1.02433
15.5066,0.74753
15.5206,0.565336
15.5341,0.429244
15.546,0.33698
15.5581,0.265268
15.5708,0.2098
15.5822,0.173367
15.5963,0.140281
15.6104,0.116967
15.6263,0.0986073
15.6444,0.0841125
15.667,0.072008
15.6927,0.063173
15.7281,0.0562169
15.7705,0.0529751
15.7847,0.052861
15.83,0.0555208
15.8678,0.061688
15.8981,0.0701407
15.9253,0.0817459
15.9498,0.0973788
15.9695,0.115631
15.9873,0.139375
16.0026,0.168495
16.0179,0.209907
16.0317,0.26261
16.0431,0.321138
16.0554,0.404728
16.0689,0.527579
16.0827,0.694152
16.0979,0.932394
16.1161,1.29744
16.1707,2.61705
16.1882,2.91624
16.2073,3.05797
16.2098,3.05975
16.2287,2.94792
16.2505,2.57878
16.3057,1.24626
16.3235,0.899787
16.3382,0.674578
16.3511,0.521292
16.3636,0.407264
16.376,0.320662
16.3884,0.255752
16.4008,0.207378
16.4158,0.165033
16.4316,0.133521
16.4473,0.110878
16.4654,0.0920079
16.4869,0.0757979
16.5139,0.0613863
16.5456,0.0494856
16.5818,0.0399157
16.6199,0.0327256
16.6652,0.0265595
16.7204,0.0212441
16.7793,0.017244
16.8438,0.0140952
16.9152,0.0115742
16.9967,0.00948493
17.086,0.00782235
17.1988,0.00631968
17.3159,0.00520692
17.442,0.00433381
17.5952,0.00356505
17.7812,0.00290584
17.9905,0.00238798
18.242,0.001958
18.531,0.00162318
18.8335,0.00138619
19.2118,0.00119382
19.64,0.00107108
20.0686,0.00102996
20.4284,0.00106758
20.677,0.00115388
20.8987,0.00130734
21.0652,0.00151212
21.1957,0.00177462
21.2874,0.00205425
21.3671,0.00240571
21.4422,0.00288881
21.5078,0.00351456
21.5583,0.004212
21.6064,0.00516604
21.6466,0.00632943
21.6809,0.00777536
21.7088,0.00949191
21.7328,0.0116575
21.7499,0.0138712
21.7666,0.0168879
21.7825,0.0210038
21.7955,0.0256754
21.8078,0.0315984
21.82,0.0394819
21.8335,0.051103
21.8472,0.066903
21.8614,0.0885793
21.8759,0.117127
21.8935,0.161309
21.9156,0.230146
21.9622,0.392467
21.9841,0.448751
22.006,0.473721
22.0098,0.474274
22.0319,0.455053
22.0519,0.408871
22.089,0.283062
22.1177,0.186279
22.1368,0.133521
22.153,0.0984555
22.168,0.073504
22.1817,0.0561149
22.1944,0.0438862
22.2079,0.0341998
22.2213,0.0270965
22.235,0.0218282
22.2507,0.0175242
22.2682,0.0142031
22.2856,0.0118744
22.3077,0.0098078
22.3355,0.00802269
22.3683,0.00658979
22.4028,0.00553378
22.4486,0.00455792
22.4935,0.00389381
22.5566,0.00325347
22.6276,0.00278192
22.7211,0.00239449
22.8326,0.00213309
22.937,0.00200837
23.0553,0.00196123
23.203,0.00201192
23.3213,0.00213692
23.4592,0.00239742
23.5636,0.00270828
23.6698,0.00318125
23.7583,0.00376635
23.8414,0.00457732
23.9112,0.00559141
23.9711,0.00687206
24.016,0.00824541
24.0534,0.00982573
24.0908,0.0120478
24.1207,0.0145956
24.1457,0.0176228
24.1681,0.0215648
24.1846,0.0256681
24.2021,0.0318126
24.2178,0.0397356
24.2325,0.0501821
24.246,0.0633225
24.2594,0.0810296
24.2729,0.104591
24.2869,0.136673
24.3018,0.181298
24.3178,0.242003
24.3388,0.342609
24.3754,0.559461
24.4081,0.743506
24.4322,0.829054
24.4498,0.848741
24.4692,0.824611
24.4939,0.731637
24.5323,0.509313
24.5617,0.33844
24.5805,0.2486
24.5962,0.187671
24.6096,0.145916
24.6246,0.109764
24.6371,0.0866974
24.6513,0.0667741
24.6653,0.0523978
24.6792,0.041897
24.6949,0.0334341
24.7107,0.0274445
24.729,0.0225286
24.7473,0.0190541
24.7735,0.0156033
24.8042,0.0128746
24.8416,0.0106169
24.8865,0.00879254
24.9423,0.0073013
24.9979,0.00632481
25.0646,0.0055602
25.1398,0.00503408
25.2319,0.00469995
25.322,0.00460132
25.4514,0.00475946
25.5748,0.00521378
25.6865,0.00591617
25.8007,0.00701793
25.9033,0.00849669
25.9887,0.0102698
26.0643,0.012481
26.1346,0.0153777
26.1971,0.0190282
26.2517,0.0235485
26.2966,0.0287309
26.3395,0.035674
26.3752,0.0438177
26.4044,0.0531905
26.4293,0.0643283
26.4513,0.0782016
26.471,0.0960525
26.4887,0.118918
26.5037,0.146221
26.5188,0.183984
26.5322,0.229669
26.5458,0.292017
26.5587,0.369491
26.5729,0.480693
26.5871,0.62451
26.6036,0.839173
26.6224,1.15088
26.6471,1.66135
26.7005,2.8786
26.7273,3.29211
26.7498,3.41051
26.7698,3.31545
26.7954,2.94845
26.8351,2.06592
26.8686,1.31871
26.8895,0.942169
26.9057,0.709425
26.9201,0.545444
26.9343,0.419537
26.9485,0.323182
26.9624,0.251941
26.9763,0.19883
26.9903,0.159504
27.0057,0.127665
27.0203,0.105785
27.0386,0.0860577
27.0569,0.0719549
27.0782,0.0599914
27.1063,0.0488129
27.1391,0.0396597
27.1785,0.0319054
27.2234,0.0256887
27.2712,0.0209497
27.3294,0.0168283
27.3896,0.0137752
27.4635,0.0110856
27.5415,0.00906518
27.6386,0.00728152
27.7495,0.0058697
27.8679,0.00482146
27.9911,0.00404984
28.1347,0.00341807
28.2708,0.00299818
28.4724,0.00259263
28.6911,0.00236178
28.8638,0.00230638
29.0521,0.00238122
29.2222,0.00261414
29.3538,0.00297121
29.4455,0.00337774
29.5193,0.0038627
29.5887,0.00453071
29.6462,0.00534136
29.6941,0.0063157
29.7386,0.00764052
29.7697,0.00897974
29.7945,0.0104794
29.8194,0.0126345
29.8403,0.0153037
29.8593,0.0188618
29.8762,0.0234235
29.891,0.0289872
29.9054,0.0363556
29.9203,0.0466523
29.9352,0.0604356
29.9496,0.0778477
29.9645,0.100847
29.9819,0.134866
30.0028,0.186275
30.0351,0.284569
30.0803,0.425493
30.1081,0.482015
30.1298,0.49655
30.1535,0.479287
30.1797,0.424574
30.2279,0.274333
30.2577,0.185054
30.2791,0.133321
30.297,0.0992719
30.3134,0.0751256
30.3283,0.0583212
30.3432,0.0456058
30.3577,0.0363731
30.3734,0.0291269
30.389,0.0239623
30.4073,0.0197964
30.4282,0.0166721
30.4505,0.0145411
30.4804,0.0128511
30.5176,0.0117928
30.5577,0.0114518
30.5884,0.011617
30.6294,0.0123947
30.6703,0.0139389
30.7062,0.0162252
30.7332,0.0189203
30.7551,0.0221528
30.7743,0.0262408
30.7935,0.0321935
30.8109,0.0400842
30.8269,0.0503372
30.8408,0.0626051
30.8548,0.0789298
30.8702,0.103044
30.8852,0.13386
30.9016,0.177906
30.9185,0.235855
30.9405,0.330607
30.9729,0.504535
31.0167,0.748905
31.0421,0.849216
31.0672,0.88981
31.0698,0.890159
31.0919,0.863533
31.1178,0.772266
31.1584,0.552594
31.195,0.350712
31.218,0.248094
31.2354,0.186132
31.2514,0.14117
31.2666,0.108114
31.2818,0.0829139
31.2959,0.0652419
31.3097,0.0522555
31.3253,0.0412926
31.341,0.0333852
31.359,0.0269447
31.3753,0.0227833
31.3989,0.0185683
31.4234,0.0155689
31.4528,0.0130565
31.492,0.0107583
31.5331,0.00909449
31.5821,0.00770937
31.6331,0.00670017
31.7056,0.00573639
31.7883,0.00506054
31.8598,0.00471125
31.9819,0.00445872
32.0086,0.00445025
32.1261,0.00459132
32.2398,0.00501662
32.3514,0.00578565
32.4415,0.00677472
32.5219,0.00808651
32.5885,0.00965524
32.6472,0.0116091
32.7001,0.0140883
32.7464,0.0171537
32.7852,0.0207713
32.8174,0.0249741
32.8464,0.0303452
32.8689,0.0362976
32.8904,0.0443905
32.9098,0.0549195
32.9266,0.0679172
32.9425,0.0850482
32.9585,0.108734
32.9726,0.137161
32.9875,0.176819
33.0027,0.22989
33.0194,0.306231
33.0361,0.404327
33.0563,0.554893
33.0801,0.774338
33.1454,1.46221
33.1727,1.66251
33.1978,1.73434
33.1998,1.73473
33.2239,1.67728
33.2506,1.4946
33.2936,1.05141
33.33,0.674325
33.3528,0.482661
33.372,0.354761
33.3897,0.263673
33.4059,0.200219
33.4218,0.153212
33.436,0.121834
33.4519,0.095665
33.467,0.0777027
33.4829,0.0639305
33.5015,0.0526929
33.5227,0.0441275
33.544,0.0385307
33.5668,0.0347029
33.5897,0.0325304
33.6125,0.0318007
33.6353,0.0326521
33.6587,0.0356995
33.6762,0.0400483
33.6937,0.0469131
33.7113,0.0572122
33.7258,0.0692277
33.743,0.0883607
33.7608,0.115138
33.7803,0.154023
33.8016,0.208407
33.8321,0.305134
33.8852,0.485347
33.9126,0.549568
33.9378,0.572322
33.9396,0.572417
33.964,0.553476
33.9908,0.494031
34.0344,0.34792
34.0705,0.226308
34.0923,0.16569
34.1121,0.1218
34.1304,0.0904698
34.1472,0.0686261
34.1634,0.0526946
34.1797,0.0408999
34.1959,0.0322899
34.2122,0.0260484
34.2294,0.0212821
34.2497,0.017358
34.2701,0.0146243
34.2954,0.0122378
34.3284,0.0101275
34.3665,0.00845975
34.4122,0.00705716
34.4725,0.00577417
34.5355,0.00483625
34.6114,0.00403286
34.711,0.00330021
34.8226,0.00273668
34.9601,0.0022608
35.1175,0.00189129
35.3168,0.00158183
35.548,0.00135568
35.7605,0.00122878
35.9726,0.0011587
36.1734,0.00113786
36.4038,0.0011718
36.6323,0.00128608
36.7971,0.00144658
36.9501,0.00169528
37.0728,0.00201399
37.1603,0.00235101
37.2458,0.0028258
37.3232,0.00346003
37.3819,0.00415498
37.4366,0.0050816
37.4796,0.00612021
37.5187,0.00747084
37.5512,0.00911154
37.5759,0.0109238
37.5989,0.013356
37.6184,0.0163456
37.6355,0.0200255
37.6526,0.0251525
37.669,0.0319577
37.6844,0.0406452
37.6998,0.052219
37.7152,0.0674147
37.7323,0.0895287
37.7503,0.119706
37.7712,0.164379
37.795,0.228485
37.8446,0.391203
37.8823,0.504425
37.9082,0.552782
37.9298,0.566234
37.9578,0.543756
37.9866,0.479791
38.0665,0.223331
38.0913,0.158078
38.1112,0.1167
38.1285,0.0882548
38.1449,0.0673904
38.1613,0.0514475
38.1762,0.0404586
38.1918,0.0317712
38.2075,0.0253411
38.2231,0.0206028
38.241,0.0166863
38.2601,0.0137258
38.2818,0.0113743
38.3035,0.00971085
38.3345,0.00805305
38.373,0.00667225
38.4164,0.00561668
38.4686,0.00476026
38.534,0.0040676
38.6141,0.00357724
38.6782,0.00337776
38.7423,0.00331473
38.8245,0.00342569
38.9068,0.00379278
38.9716,0.0043455
39.0214,0.00502571
39.0613,0.00583297
39.0962,0.00686404
39.1274,0.00823666
39.1523,0.00987933
39.1741,0.0119947
39.1928,0.0146078
39.2084,0.0176187
39.2248,0.0219543
39.2408,0.0276955
39.2567,0.035441
39.2727,0.0457573
39.2891,0.0597402
39.3056,0.0777803
39.3235,0.10275
39.346,0.142309
39.3754,0.20734
39.4362,0.359087
39.4666,0.415081
39.4952,0.437862
39.4998,0.438307
39.5269,0.422546
39.5538,0.379311
39.5995,0.269812
39.6396,0.171834
39.6635,0.123932
39.6825,0.0933935
39.6999,0.0709876
39.7171,0.0537697
39.7333,0.0413432
39.7495,0.0319406
39.7642,0.0254995
39.7792,0.0205443
39.7966,0.0163004
39.8141,0.0132594
39.834,0.0107994
39.8546,0.00901741
39.8764,0.00766574
39.9075,0.00631877
39.9469,0.00517514
39.988,0.00435147
40.0455,0.00355582
40.1111,0.00294505
40.1727,0.00254593
40.2538,0.00217771
40.3456,0.00189666
40.4762,0.00164661
40.6192,0.00149383
40.7929,0.00141346
40.8734,0.00140491
41.088,0.00145609
41.2999,0.00161312
41.4968,0.00187903
41.6655,0.0022435
41.8002,0.00267641
41.9154,0.00320262
42.0311,0.00395957
42.1282,0.004876
42.2155,0.00605759
42.2887,0.00746693
42.3538,0.00923896
42.4095,0.0113838
42.4587,0.0140538
42.4985,0.0171056
42.5304,0.0205061
42.5569,0.0244268
42.5835,0.0300037
42.6047,0.0364095
42.622,0.0435845
42.6399,0.0537694
42.6579,0.0678983
42.6738,0.085015
42.6911,0.110043
42.7083,0.143821
42.7256,0.188641
42.7423,0.244825
42.7609,0.324289
42.7822,0.439152
42.8092,0.622426
42.8852,1.23357
42.916,1.41479
42.9458,1.48894
42.9498,1.49003
42.9797,1.43026
43.0106,1.26023
43.0961,0.58138
43.1226,0.409776
43.1439,0.301347
43.1625,0.22704
43.18,0.172695
43.1975,0.131281
43.2135,0.102804
43.2302,0.0803353
43.2469,0.0637288
43.2637,0.0515006
43.2828,0.0413897
43.3032,0.0337332
43.3271,0.0274841
43.3537,0.0226657
43.3816,0.0190627
43.4214,0.0154283
43.4679,0.0124936
43.5154,0.0103568
43.5752,0.00842534
43.6388,0.00696239
43.712,0.00575928
43.7983,0.00476366
43.8895,0.00403137
43.9899,0.00347845
44.1191,0.00303138
44.2596,0.00279127
44.3462,0.00275411
44.4742,0.00286493
44.5726,0.00312307
44.6585,0.00353287
44.7318,0.00409825
44.7948,0.00484274
44.8474,0.00577059
44.8913,0.00690779
44.9277,0.00829451
44.959,0.0100792
44.9841,0.012205
45.006,0.0149204
45.0262,0.0185272
45.0432,0.0227942
45.0602,0.0286309
45.0773,0.0365857
45.0931,0.0464241
45.1106,0.060896
45.1282,0.079953
45.1455,0.104062
