95-Am-243(n,total fission) ENDF/B-VII.1
1.0E-5,4.06391
1.31241E-5,3.5474
1.70876E-5,3.10887
2.2426E-5,2.71376
2.91987E-5,2.3783
3.83206E-5,2.07601
4.98935E-5,1.81939
6.54808E-5,1.58816
8.52562E-5,1.39187
1.11891E-4,1.21498
1.45682E-4,1.06479
1.91195E-4,0.929497
2.48937E-4,0.814615
3.26707E-4,0.711071
4.25373E-4,0.623192
5.58264E-4,0.543995
7.26861E-4,0.476799
9.53941E-4,0.416225
0.00124203,0.364785
0.00163006,0.318455
0.00212234,0.279133
0.00278538,0.243701
0.00362657,0.213654
0.00475955,0.186918
0.00619694,0.163888
0.00813293,0.143106
0.0105891,0.125685
0.0138972,0.109692
0.0180942,0.096219
0.0234661,0.0847847
0.0253,0.0816593
0.0361611,0.0685351
0.0474582,0.0599678
0.0617907,0.0528057
0.0883169,0.0446976
0.115908,0.0395084
0.150913,0.0352301
0.198059,0.0316795
0.257874,0.0290485
0.349698,0.0272003
0.40781,0.0269171
0.515453,0.0278072
0.626605,0.030709
0.709051,0.0345656
0.788512,0.040329
0.85154,0.0471238
0.912768,0.0567269
0.963551,0.0682869
1.00461,0.0814302
1.04513,0.0996848
1.08024,0.122261
1.10951,0.148745
1.13719,0.184008
1.16082,0.226571
1.18107,0.277577
1.19847,0.337995
1.21586,0.42244
1.23127,0.529229
1.24344,0.647582
1.25549,0.81178
1.26506,0.994284
1.27388,1.22668
1.28171,1.51188
1.28928,1.89596
1.29624,2.3877
1.30233,2.97292
1.30904,3.84195
1.31612,5.0731
1.3242,6.89315
1.34248,11.5984
1.35004,12.8226
1.35564,13.1106
1.36236,12.6804
1.37031,11.238
1.39004,6.17549
1.3975,4.62835
1.4042,3.55666
1.41091,2.75677
1.417,2.21865
1.42408,1.75908
1.43191,1.3971
1.44023,1.12404
1.4498,0.902119
1.45937,0.743664
1.47154,0.600538
1.48546,0.488038
1.50086,0.403424
1.51726,0.342981
1.53646,0.298112
1.55308,0.275796
1.56969,0.266158
1.57523,0.265637
1.59393,0.274466
1.61263,0.303247
1.62509,0.338289
1.63852,0.398071
1.65003,0.478252
1.65938,0.575596
1.66777,0.702383
1.67496,0.856576
1.68167,1.0559
1.68838,1.32922
1.69533,1.71386
1.70289,2.27083
1.71236,3.16988
1.72866,4.86067
1.7371,5.43514
1.74373,5.58055
1.75052,5.41346
1.75858,4.85378
1.78188,2.47692
1.78979,1.84008
1.79698,1.39996
1.80369,1.09431
1.81076,0.858701
1.81832,0.678604
1.82527,0.55839
1.83318,0.457696
1.84241,0.372608
1.8538,0.298317
1.86554,0.244017
1.87921,0.198695
1.89431,0.162754
1.91085,0.134245
1.93099,0.109287
1.95496,0.0883453
1.98181,0.0718885
2.0125,0.0586642
2.04846,0.0477786
2.09041,0.0389033
2.13356,0.0324616
2.1839,0.0271013
2.24264,0.0227049
2.31456,0.0190297
2.38648,0.0165705
2.48146,0.0145128
2.57553,0.0134491
2.64979,0.0132072
2.73149,0.0135924
2.79277,0.014485
2.84724,0.0159532
2.8983,0.0183212
2.93234,0.0208572
2.96298,0.0243588
2.98681,0.028559
3.00655,0.0338921
3.02017,0.0393754
3.03107,0.0456679
3.04196,0.0549484
3.05047,0.0657447
3.05813,0.0797832
3.06426,0.0953472
3.07115,0.119235
3.07787,0.15101
3.08468,0.193675
3.09234,0.255842
3.10272,0.362683
3.12196,0.579671
3.13183,0.653969
3.13997,0.674643
3.14776,0.655552
3.15804,0.579967
3.18306,0.310536
3.19157,0.237035
3.19957,0.184852
3.20706,0.149867
3.21421,0.126827
3.22272,0.109396
3.23123,0.0996872
3.24149,0.0948409
3.24494,0.0944434
3.25875,0.0975263
3.27255,0.107099
3.28636,0.123638
3.29871,0.146414
3.3096,0.175978
3.31868,0.211115
3.32776,0.260989
3.33593,0.324771
3.34274,0.397454
3.35023,0.505233
3.35738,0.642954
3.36499,0.834628
3.37407,1.13083
3.387,1.66392
3.40403,2.39675
3.41419,2.698
3.42367,2.79778
3.43217,2.71679
3.44143,2.46463
3.45737,1.79992
3.47178,1.19094
3.48131,0.86869
3.48937,0.658398
3.49663,0.513804
3.50344,0.410714
3.51139,0.321598
3.51956,0.255819
3.5275,0.209555
3.53703,0.169578
3.54747,0.138521
3.56018,0.11193
3.57471,0.0907902
3.59105,0.0741999
3.61012,0.0607774
3.6299,0.0511337
3.65122,0.0439609
3.67254,0.0391853
3.69077,0.036673
3.71019,0.0356204
3.72636,0.0363944
3.73931,0.0386756
3.75117,0.042849
3.76195,0.049306
3.77274,0.0594154
3.78352,0.0742563
3.79539,0.0966002
3.82429,0.16272
3.83594,0.179861
3.84457,0.183777
3.85406,0.178357
3.86484,0.161293
3.89785,0.083971
3.90809,0.0650269
3.91753,0.0516574
3.92697,0.0417784
3.9364,0.0346674
3.94584,0.0295864
3.95824,0.0249897
3.9728,0.0214542
3.99249,0.0184289
4.0181,0.0160308
4.04884,0.0142917
4.09414,0.0128356
4.14375,0.012019
4.22248,0.0116072
4.30337,0.0119212
4.38426,0.0128821
4.46217,0.0145136
4.54008,0.0171025
4.60929,0.0206372
4.66974,0.0252619
4.72156,0.0310927
4.76104,0.0373863
4.79805,0.0455681
4.8326,0.0562962
4.86221,0.0692454
4.88812,0.0851052
4.91181,0.105479
4.93253,0.130636
4.9503,0.160921
4.96511,0.195968
4.97892,0.241584
4.99077,0.296558
5.00064,0.359954
5.011,0.453001
5.01988,0.564683
5.02877,0.718552
5.03642,0.896352
5.04505,1.16148
5.05394,1.51972
5.06381,2.03049
5.07787,2.94636
5.10131,4.59109
5.11316,5.1622
5.12459,5.36276
5.13625,5.16088
5.14869,4.55449
5.18126,2.30071
5.19212,1.68919
5.20162,1.27059
5.2105,0.972032
5.21926,0.751939
5.2274,0.599868
5.23653,0.47462
5.24541,0.386032
5.25528,0.314285
5.26713,0.252865
5.27947,0.20728
5.29427,0.16806
5.30957,0.138761
5.32734,0.113854
5.34806,0.092781
5.37076,0.0760714
5.39593,0.062589
5.42604,0.0509551
5.46058,0.0414535
5.50006,0.0337925
5.54448,0.0277656
5.5963,0.0229218
5.65181,0.0193943
5.70733,0.0169948
5.77396,0.0151397
5.85316,0.0139843
5.91016,0.0137352
5.98828,0.0141671
6.06639,0.0157151
6.12675,0.0180393
6.17646,0.021146
6.21788,0.0250691
6.25528,0.0303002
6.2851,0.0363176
6.31067,0.0435618
6.33576,0.0536795
6.35564,0.0651003
6.37458,0.0805994
6.38878,0.0970533
6.40062,0.115861
6.41198,0.140731
6.42145,0.16917
6.43091,0.207972
6.44038,0.261598
6.4489,0.327361
6.45742,0.415012
6.46666,0.541055
6.47612,0.710344
6.48678,0.953957
6.5005,1.34467
6.52654,2.15674
6.53961,2.45042
6.55135,2.56639
6.5536,2.56979
6.56479,2.49511
6.57909,2.20521
6.61649,1.06879
6.62832,0.777786
6.63779,0.594465
6.64631,0.465331
6.65484,0.36573
6.66336,0.290357
6.67141,0.23666
6.68087,0.189825
6.69034,0.155769
6.70028,0.12956
6.71212,0.10693
6.72632,0.0876873
6.74242,0.0723532
6.7623,0.0591848
6.7855,0.0487447
6.8118,0.0408907
6.8348,0.0363656
6.86218,0.0331472
6.88627,0.0321673
6.90485,0.0328885
6.92443,0.0358609
6.93748,0.0399653
6.94727,0.0448177
6.95932,0.053838
6.96986,0.0655013
6.98115,0.083061
6.99245,0.106764
7.0055,0.141944
7.04089,0.253561
7.05375,0.280866
7.06614,0.290624
7.07985,0.279865
7.09411,0.247814
7.13201,0.126937
7.14456,0.0946646
7.15586,0.0722151
7.16678,0.0560529
7.17694,0.0450725
7.18824,0.0363922
7.19953,0.0303751
7.21146,0.0259777
7.22815,0.0219249
7.24722,0.0190215
7.27584,0.0164447
7.31198,0.0147254
7.34813,0.0139336
7.37825,0.0137392
7.41911,0.0140176
7.47018,0.0152373
7.51104,0.0170769
7.55173,0.0200271
7.58687,0.023998
7.617,0.029156
7.63959,0.034782
7.66067,0.0422751
7.67825,0.0512342
7.69331,0.0621797
7.70586,0.0750435
7.71841,0.0933408
7.72845,0.113921
7.73849,0.142214
7.74853,0.181213
7.75807,0.231466
7.76711,0.294023
7.77803,0.392729
7.79045,0.538827
7.80677,0.780138
7.83338,1.20392
7.84513,1.34378
7.85898,1.42616
7.86264,1.43015
7.87425,1.39215
7.8867,1.2741
7.90718,0.969601
7.92927,0.619826
7.94232,0.450492
7.95337,0.337764
7.96341,0.258799
7.9722,0.205725
7.98098,0.164987
7.98977,0.13406
7.99956,0.108393
8.0096,0.089104
8.02165,0.0724622
8.03571,0.0589183
8.05077,0.0487891
8.06884,0.0402779
8.08908,0.0336417
8.11491,0.027895
8.14075,0.0241189
8.1688,0.0215998
8.19686,0.0205522
8.21556,0.0208752
8.23476,0.0225973
8.24755,0.0250316
8.26035,0.0290757
8.27155,0.0344597
8.28274,0.0420758
8.2948,0.0532333
8.30957,0.0712523
8.34845,0.128736
8.36204,0.142614
8.37621,0.14803
8.39039,0.142831
8.40555,0.126985
8.44665,0.065117
8.46043,0.0484077
8.47261,0.0370726
8.48381,0.0293055
8.49562,0.0233886
8.50596,0.0196906
8.51777,0.0166884
8.53116,0.0143655
8.5493,0.0123444
8.57197,0.0108144
8.59917,0.00971614
8.64373,0.00875329
8.69573,0.00829797
8.72729,0.00824038
8.79971,0.00859886
8.85541,0.00935974
8.90091,0.0103933
8.94826,0.0120516
8.98539,0.0139953
9.02253,0.016861
9.05359,0.0204271
9.08021,0.0249249
9.10238,0.0304034
9.1201,0.0367127
9.13486,0.0441664
9.14815,0.0536535
9.16045,0.0661461
9.17152,0.0820203
9.18186,0.102568
9.19219,0.130757
9.20253,0.169035
9.21311,0.221374
9.22394,0.291199
9.2371,0.400095
9.25568,0.593015
9.2825,0.887945
9.29648,0.999578
9.31185,1.05278
9.31365,1.05342
9.32502,1.02988
9.33723,0.955824
9.35731,0.758244
9.38475,0.455956
9.39877,0.329489
9.41095,0.243441
9.42153,0.186123
9.43187,0.143721
9.4422,0.112238
9.45278,0.0887233
9.46386,0.0710473
9.47493,0.0583757
9.48822,0.0476138
9.50298,0.0393146
9.5207,0.0324491
9.54211,0.0268072
9.56795,0.0222384
9.59895,0.0186319
9.63011,0.0162437
9.67177,0.0142328
9.71343,0.0130977
9.75508,0.0125773
9.77591,0.0125067
9.83003,0.0128644
9.88415,0.0140527
9.92474,0.0156364
9.96532,0.0180721
10.0017,0.0213528
10.0341,0.0256927
10.062,0.0311399
10.0852,0.0376869
10.1037,0.0450722
10.1223,0.0556078
10.1359,0.0665384
10.1482,0.0801208
10.1606,0.0988152
10.173,0.124864
10.1841,0.157011
10.1952,0.200019
10.2076,0.26374
10.22,0.347106
10.2348,0.474532
10.2605,0.747899
10.2818,0.971032
10.2969,1.08252
10.3127,1.12885
10.3138,1.12903
10.3274,1.09792
10.3443,0.982496
10.3734,0.676697
10.3938,0.464792
10.4079,0.345625
10.4204,0.261954
10.4323,0.200886
10.4442,0.155155
10.4563,0.121238
10.4671,0.09886
10.4801,0.0792922
10.4946,0.063903
10.5101,0.0524484
10.5286,0.042873
10.549,0.0355551
10.575,0.0291573
10.601,0.0247706
10.6311,0.0212877
10.6612,0.0190077
10.694,0.0176751
10.7067,0.0175257
10.7258,0.0178526
10.741,0.0187909
10.7586,0.0210066
10.7738,0.0242348
10.7897,0.0292128
10.81,0.0378957
10.8476,0.0559225
10.866,0.0612293
10.8773,0.0621825
10.8927,0.0604099
10.9122,0.0538363
10.9558,0.0339829
10.9734,0.0281602
10.9905,0.0245793
11.0096,0.0227635
11.0195,0.0225728
11.036,0.0232088
11.0571,0.025635
11.0768,0.0298115
11.0926,0.0351158
11.1064,0.0420199
11.1193,0.0514241
11.1309,0.0635208
11.1426,0.0804369
11.1529,0.10085
11.1647,0.131891
11.1765,0.172896
11.1894,0.230737
11.2055,0.320378
11.2433,0.560241
11.2598,0.635296
11.2759,0.66581
11.2778,0.666116
11.2921,0.646092
11.306,0.59249
11.3277,0.464461
11.3552,0.289799
11.3707,0.208666
11.3831,0.157465
11.395,0.11957
11.4064,0.0922614
11.4168,0.073648
11.4271,0.0596833
11.438,0.0488201
11.4505,0.039856
11.4644,0.0327801
11.4809,0.027058
11.5011,0.0223467
11.5253,0.0185959
11.5545,0.0156091
11.5872,0.0134001
11.6323,0.0114621
11.6891,0.0100458
11.7596,0.0091642
11.8445,0.00884459
11.9511,0.00920032
12.057,0.010286
12.1517,0.0120012
12.2297,0.0141711
12.3003,0.0170384
12.3625,0.0206827
12.419,0.025429
12.4678,0.0313158
12.5098,0.0385164
12.5482,0.0478654
12.5815,0.0595466
12.6101,0.0739432
12.6335,0.090769
12.6535,0.111383
12.6687,0.133489
12.6818,0.159569
12.6949,0.195726
12.7076,0.244918
12.7183,0.302704
12.729,0.380864
12.7397,0.485985
12.7498,0.614993
12.7614,0.811614
12.7736,1.07754
12.7879,1.47659
12.806,2.10302
12.8408,3.40819
12.86,3.90796
12.8768,4.06037
12.8915,3.94429
12.9085,3.55067
12.9363,2.55293
12.9604,1.6806
12.9761,1.22351
12.9876,0.964593
12.999,0.76722
13.0089,0.642678
13.02,0.546724
13.0289,0.499992
13.0379,0.476453
13.0434,0.472222
