96-Cm-242(n,total fission) ENDF/B-VII.1
44.9081,0.0127996
45.8684,0.0113697
47.0206,0.0103366
48.3384,0.00988019
48.6019,0.00986007
50.1833,0.0103114
51.501,0.0115099
52.5552,0.0132783
53.4777,0.0157574
54.1366,0.0183915
54.7954,0.0221088
55.4543,0.0275436
55.9308,0.0332267
56.4073,0.0413158
56.7721,0.0500163
57.1369,0.0621405
57.4645,0.0776239
57.725,0.0948506
57.9856,0.11887
58.1941,0.145584
58.3802,0.178314
58.5589,0.221797
58.7078,0.271879
58.8381,0.331497
58.9684,0.413662
59.0875,0.519473
59.1917,0.650485
59.2764,0.798828
59.3571,0.995527
59.4206,1.20923
59.4821,1.49374
59.5342,1.83033
59.5788,2.23274
59.6179,2.72961
59.6505,3.31821
59.6798,4.07423
59.7039,4.95028
59.7274,6.1368
59.7482,7.58895
59.7687,9.51988
59.7888,12.065
59.8089,15.4431
59.829,19.8645
59.8491,25.5454
59.8714,33.5722
59.8975,45.4515
59.9314,64.9285
60.0285,130.979
60.0672,148.48
60.0997,153.487
60.1351,147.566
60.1744,128.936
60.2757,60.3185
60.3047,44.1977
60.3315,32.3157
60.3531,24.8018
60.3755,18.758
60.3941,14.8699
60.4157,11.4285
60.4358,9.04366
60.4559,7.26291
60.4793,5.74967
60.5028,4.66865
60.5296,3.79067
60.5564,3.16385
60.5914,2.58197
60.6286,2.14302
60.6733,1.76269
60.7235,1.4519
60.7887,1.16259
60.8557,0.949242
60.9338,0.768604
61.0232,0.619943
61.1274,0.495973
61.2316,0.406137
61.3619,0.324654
61.5108,0.258545
61.6634,0.209901
61.8421,0.16872
62.0357,0.13658
62.2442,0.11142
62.475,0.0909377
62.7355,0.0740185
63.011,0.0609016
63.3758,0.0484163
63.7406,0.0394992
64.1501,0.0322499
64.6266,0.0261661
65.1496,0.0214023
65.715,0.0177825
66.1996,0.0153286
66.8458,0.0128986
67.6536,0.0107281
68.6229,0.00889926
69.5922,0.0076577
71.2077,0.00633661
72.5001,0.00571639
73.7925,0.00536349
75.0849,0.00522497
76.3109,0.00527711
77.537,0.005521
79.0695,0.00618606
80.2955,0.00706901
81.3682,0.00831403
82.2877,0.00992308
83.054,0.0118713
83.7436,0.0144005
84.4333,0.0180244
84.893,0.0214788
85.345,0.0261304
85.7405,0.0317495
86.0936,0.0386219
86.4397,0.047997
86.7292,0.0589357
86.9764,0.0717563
87.2095,0.0883012
87.4355,0.110683
87.6262,0.137249
87.7957,0.170168
87.944,0.210124
88.0853,0.263352
88.2088,0.329075
88.3112,0.404863
88.4101,0.507169
88.4949,0.631273
88.569,0.784802
88.6308,0.96559
88.6838,1.18571
88.7279,1.44958
88.7633,1.75195
88.795,2.13971
88.8233,2.62955
88.848,3.22605
88.8727,4.04728
88.896,5.10537
88.9183,6.45833
88.9405,8.24352
88.9624,10.5277
88.9861,13.7116
89.0133,18.4584
89.0408,24.6141
89.0726,33.5049
89.1135,47.5668
89.2096,84.176
89.2534,96.0079
89.296,100.65
89.2998,100.68
89.3381,97.4529
89.3763,88.4869
89.437,66.7053
89.5062,40.3507
89.5444,28.464
89.5761,20.6257
89.6023,15.5776
89.6277,11.7551
89.6489,9.27677
89.6729,7.11223
89.6955,5.57989
89.7181,4.42935
89.7435,3.47989
89.7697,2.78097
89.7979,2.24487
89.8297,1.82316
89.865,1.49742
89.9091,1.21655
89.9621,0.985232
90.0168,0.815592
90.091,0.651647
90.1758,0.520521
90.2623,0.424765
90.3611,0.34513
90.4794,0.276581
90.603,0.224977
90.7408,0.183053
90.9102,0.145991
91.0798,0.11932
91.2775,0.0966927
91.5176,0.0770574
91.7648,0.0626086
92.0614,0.0502228
92.4075,0.0400939
92.7536,0.0328933
93.142,0.0270694
93.594,0.0222311
94.1451,0.0181672
94.7293,0.0152122
95.3135,0.0132177
96.0437,0.0115992
96.7737,0.0107062
97.5037,0.0104316
98.1847,0.0107633
99.0003,0.0120873
99.5384,0.0138393
99.942,0.0158939
100.362,0.0191202
100.677,0.022684
100.982,0.0276464
101.223,0.0331986
101.424,0.0395365
101.622,0.0480689
101.795,0.0583649
101.949,0.071011
102.1,0.0883206
102.227,0.108643
102.335,0.132571
102.437,0.16378
102.523,0.200538
102.597,0.24388
102.665,0.299013
102.721,0.362297
102.766,0.433659
102.804,0.52021
