92-U-237(n,total fission) ENDF/B-VII.1
1.0E-5,89.3921
1.31241E-5,78.0302
1.70876E-5,68.3835
2.2426E-5,59.692
2.91987E-5,52.3124
3.83206E-5,45.6625
4.98935E-5,40.0172
6.54808E-5,34.9301
8.52562E-5,30.6118
1.11891E-4,26.7198
1.45682E-4,23.4153
1.91195E-4,20.4383
2.48937E-4,17.9102
3.26707E-4,15.6312
4.25373E-4,13.6967
5.58264E-4,11.9529
7.26861E-4,10.4729
9.53941E-4,9.13827
0.00124203,8.00432
0.00163006,6.98234
0.00212234,6.11417
0.00278538,5.33105
0.00362657,4.66612
0.00475955,4.07305
0.00619694,3.56111
0.00813293,3.09787
0.0105891,2.70769
0.0138972,2.34787
0.0180942,2.04273
0.0234661,1.78143
0.0253,1.70884
0.033204,1.47043
0.0453449,1.23901
0.0592642,1.0581
0.0774837,0.900744
0.101268,0.762051
0.132401,0.639115
0.173043,0.534013
0.226242,0.440786
0.283085,0.374006
0.353506,0.317515
0.440644,0.270918
0.526803,0.240276
0.609168,0.22047
0.716067,0.20494
0.831876,0.199115
0.947684,0.20617
1.02786,0.222252
1.10135,0.25116
1.15592,0.288311
1.20157,0.337941
1.24055,0.403679
1.27217,0.484165
1.29867,0.583952
1.32139,0.708288
1.33965,0.850156
1.35569,1.0234
1.37172,1.26878
1.38419,1.53877
1.39488,1.85726
1.40557,2.30201
1.41493,2.85562
1.42261,3.49244
1.42962,4.29511
1.43664,5.41509
1.44299,6.82497
1.44922,8.7164
1.45524,11.147
1.46192,14.6574
1.47038,20.2772
1.48601,31.4983
1.49287,34.7852
1.49968,35.9417
1.5057,34.985
1.51283,31.7208
1.52606,22.3779
1.53586,15.6003
1.54321,11.5674
1.54922,9.02847
1.55545,7.0354
1.56147,5.60908
1.5677,4.51593
1.57461,3.63345
1.5824,2.91898
1.59064,2.3776
1.6,1.93489
1.61091,1.5659
1.62293,1.27598
1.6363,1.04488
1.65233,0.84756
1.67104,0.686476
1.69242,0.558713
1.71736,0.456076
1.74231,0.384431
1.7717,0.32464
1.81068,0.270367
1.85856,0.226923
1.91869,0.192663
1.97882,0.171019
2.06568,0.151917
2.17703,0.138606
2.31066,0.131162
2.4621,0.128865
2.64027,0.131309
2.90752,0.142928
3.17499,0.164515
3.39924,0.193654
3.60421,0.234171
3.75062,0.275991
3.89704,0.335704
4.02881,0.413818
4.13129,0.500361
4.23012,0.618255
4.31797,0.768522
4.39483,0.95598
4.45462,1.16012
4.5144,1.44494
4.56809,1.80902
4.61079,2.21447
4.64861,2.70707
4.68278,3.31655
4.7145,4.09661
4.74378,5.10317
4.76867,6.30101
4.7921,7.88652
4.81259,9.8578
4.82967,12.173
4.84432,14.9415
4.85749,18.43
4.86921,22.8075
4.87897,27.8978
4.88873,34.9906
4.89751,43.8745
4.9063,56.0939
4.91484,72.2449
4.92338,93.7122
4.93265,124.097
4.94314,167.86
4.96242,267.397
4.97657,338.763
4.98829,380.135
4.99959,394.619
5.01054,381.413
5.02147,344.53
5.04246,238.1
5.05783,161.308
5.06857,118.197
5.07735,90.5891
5.08528,71.1911
5.09334,56.0764
5.10139,44.685
5.11054,35.1766
5.11908,28.7076
5.12933,23.0692
5.14055,18.6731
5.15227,15.3669
5.16642,12.479
5.1835,10.0025
5.20302,8.00535
5.22352,6.50499
5.24695,5.26519
5.2733,4.25952
5.30454,3.40665
5.33675,2.77332
5.37579,2.22031
5.42093,1.7687
5.46974,1.42355
5.52464,1.14753
5.57588,0.959798
5.63811,0.791959
5.71497,0.643489
5.7955,0.533203
5.89799,0.435583
6.01512,0.360781
6.15177,0.304024
6.28842,0.268087
6.42507,0.246225
6.63005,0.231554
6.69837,0.230685
6.87269,0.237307
7.047,0.256978
7.22358,0.293867
7.36485,0.341684
7.48845,0.403911
7.5944,0.480666
7.68774,0.576017
7.77602,0.703466
7.85801,0.872634
7.92864,1.08196
7.9854,1.31844
8.03837,1.6251
8.08252,1.97847
8.12666,2.47111
8.1645,3.06714
8.19729,3.78912
8.22554,4.65212
8.25228,5.79589
8.27347,7.06033
8.29113,8.49569
8.30829,10.4158
8.32342,12.8014
8.33603,15.5852
8.34663,18.7848
8.35672,22.906
8.36681,28.5144
8.37614,35.5203
8.38497,44.267
8.3938,55.6078
8.40414,72.8944
8.41549,97.5975
8.42937,136.306
8.45409,221.764
8.47175,280.236
8.48466,310.419
8.49847,323.641
8.49976,323.732
8.51292,313.394
8.52724,281.471
8.55297,194.571
8.57202,130.803
8.58564,94.0238
8.59649,71.1464
8.6062,55.2163
8.61604,42.8625
8.62487,34.4344
8.6337,27.9927
8.64328,22.7224
8.65337,18.6057
8.66548,15.0223
8.67961,12.0786
8.69474,9.85554
8.7129,7.96492
8.73409,6.41028
8.75831,5.1552
8.78656,4.12167
8.81885,3.2902
8.85316,2.66128
8.89352,2.13262
8.93514,1.74105
8.98559,1.39995
9.03983,1.13819
9.10163,0.924602
9.171,0.753952
9.24668,0.620597
9.33497,0.509831
9.43587,0.421314
9.55948,0.347614
9.68056,0.298971
9.83191,0.259187
9.98327,0.235231
10.1515,0.221575
10.2693,0.218763
10.4441,0.224583
10.619,0.243089
10.7561,0.269178
10.8932,0.309998
11.015,0.364712
11.1217,0.434747
11.213,0.52054
11.2994,0.635843
11.3704,0.769682
