94-Pu-243(n,total fission) ENDF/B-VII.1
12.3571,5.40972
12.4501,4.53024
12.543,3.94786
12.636,3.56088
12.7754,3.23006
12.9235,3.12098
13.0761,3.23773
13.1905,3.50027
13.3031,3.95926
13.3963,4.56127
13.4894,5.48253
13.5639,6.58881
13.6291,7.99273
13.6827,9.63324
13.7316,11.7448
13.7735,14.2878
13.8107,17.4416
13.8433,21.2832
13.8731,26.1963
13.8992,32.254
13.9216,39.5513
13.9411,48.4739
13.9574,58.6859
13.9737,72.6501
13.99,92.0251
14.004,114.582
14.0184,145.46
14.0333,187.286
14.0506,250.164
14.0725,352.488
14.1201,606.903
14.1391,677.509
14.1596,705.998
14.179,680.67
14.201,598.763
14.255,312.653
14.2736,231.601
14.2909,173.12
14.3055,135.142
14.3202,106.348
14.3356,83.9782
14.3509,67.5876
14.3677,54.5734
14.3873,43.752
14.4068,36.0142
14.432,28.9232
14.4599,23.3926
14.4934,18.7387
14.527,15.4298
14.5661,12.6407
14.6126,10.2797
14.6657,8.38959
14.7188,7.04058
14.7887,5.78315
14.8585,4.90459
14.9517,4.1045
15.0448,3.57599
15.1379,3.22594
15.2776,2.92899
15.4089,2.83648
15.5422,2.9024
15.6755,3.14923
15.797,3.58707
15.8949,4.16483
15.9766,4.88793
16.0536,5.88923
16.1189,7.12513
16.1748,8.639
16.2238,10.5157
16.2658,12.7731
16.3055,15.7797
16.3381,19.2714
16.3689,23.9293
16.395,29.5811
16.4174,36.4643
16.4375,45.1974
16.4538,55.0447
16.4701,68.4903
16.4851,85.1549
16.5014,109.811
16.5182,144.163
16.535,189.481
16.5553,260.051
16.5863,394.73
16.6201,540.132
16.6432,603.479
16.6598,617.788
16.6779,600.299
16.6973,547.204
16.73,409.361
16.7636,262.756
16.7832,193.92
16.7999,147.666
16.8167,112.432
16.8307,90.2081
16.8447,73.1884
16.8615,58.0264
16.8779,47.3041
16.8974,38.0304
16.9184,30.9761
16.9418,25.3672
16.9698,20.5743
16.9996,16.9188
17.0332,13.9388
17.0724,11.4302
17.1134,9.52505
17.1666,7.75939
17.2198,6.50326
17.2898,5.33593
17.3598,4.52214
17.4531,3.78242
17.5464,3.29486
17.6397,2.97281
17.7796,2.70134
17.9089,2.61958
18.0416,2.68264
18.1743,2.91261
18.2955,3.3197
18.3936,3.85922
18.4754,4.53531
18.5525,5.473
18.6179,6.63337
18.674,8.05936
18.7231,9.83387
18.7651,11.979
18.8048,14.8564
18.8376,18.2316
18.8647,22.1456
18.8908,27.4922
18.9133,34.0667
18.9305,41.1019
18.9469,50.0915
18.9633,62.285
18.9801,79.4258
18.9964,102.014
19.0123,130.969
19.031,175.403
19.0535,244.219
19.1159,474.915
19.1391,532.396
19.1598,550.201
19.1791,534.436
19.2011,482.294
19.2385,346.448
19.2708,228.615
19.2913,168.155
19.3081,129.249
19.3233,101.816
19.3387,80.3807
19.3542,64.194
19.3717,50.6675
19.388,41.4631
19.4077,33.4464
19.4282,27.4359
19.4516,22.5212
19.4796,18.3188
19.5114,14.9414
19.5507,12.0099
19.5876,10.0376
19.632,8.30666
19.6853,6.82488
19.7441,5.66631
19.8142,4.69847
19.8843,4.01805
19.9778,3.3959
20.0946,2.90664
20.2348,2.58291
20.3453,2.46784
20.409,2.44756
20.5411,2.50775
20.6732,2.72346
20.7941,3.105
20.8924,3.61296
20.9743,4.25042
21.0515,5.13608
21.117,6.23496
21.1732,7.58995
21.2224,9.28293
21.2645,11.3406
21.2996,13.738
21.3324,16.8755
21.3604,20.687
21.3829,24.9398
21.4054,30.8998
21.4236,37.6671
21.44,45.9009
21.4564,56.9881
21.4728,71.917
21.4892,91.8301
21.5055,117.891
21.5252,158.583
21.5467,215.422
21.6117,422.776
21.6315,469.425
21.6548,495.378
21.6598,496.225
21.684,476.14
21.7106,414.74
21.7742,211.425
21.7957,155.503
21.8147,116.845
21.8313,90.7233
21.8468,72.0557
21.8622,57.808
21.8786,46.4681
21.895,38.0406
21.9146,30.6675
21.9333,25.5664
21.9568,20.928
21.9848,16.9895
22.0176,13.7674
22.0569,11.0742
22.0972,9.12902
22.1416,7.57903
22.195,6.24799
22.2568,5.16248
22.327,4.30095
22.4089,3.61039
22.5025,3.08252
22.5961,2.7343
22.7365,2.43095
22.8462,2.32479
22.9091,2.30653
23.0407,2.36426
23.1723,2.56813
23.2928,2.92848
23.3913,3.41033
23.4733,4.01589
23.5506,4.85875
23.6162,5.90739
23.6725,7.20488
23.7217,8.83303
23.7639,10.8237
23.7991,13.1621
23.8319,16.2583
23.86,20.0758
23.8825,24.3969
23.9013,29.3374
23.92,36.0878
23.9364,44.102
23.9528,54.8163
23.9692,69.085
23.9866,89.0819
24.0053,117.592
24.025,156.215
24.0498,217.429
24.1075,380.346
24.1315,429.857
24.1548,451.651
24.1598,452.362
24.184,435.521
24.2106,383.562
24.2809,188.234
24.3044,135.959
24.3238,102.228
24.3419,78.2981
24.3599,60.3741
24.3756,48.6948
24.392,39.4907
24.4117,31.4306
24.4291,26.2524
24.4525,21.1803
24.4759,17.5675
24.5069,14.1835
24.5406,11.5965
24.58,9.46066
24.6245,7.75228
24.678,6.31401
24.7342,5.24944
24.8045,4.3195
24.8866,3.58382
24.9803,3.02658
25.0975,2.59023
25.2381,2.30364
25.347,2.2047
25.4091,2.18798
25.5402,2.2432
25.6713,2.43659
25.7915,2.77849
25.8901,3.23771
25.9723,3.81573
26.0497,4.62181
26.1155,5.6275
26.1718,6.87631
26.2211,8.45066
26.2633,10.3882
26.2985,12.6854
26.3267,15.2502
26.3549,18.873
26.3783,23.1975
26.3971,27.9885
26.4159,34.5278
26.4328,42.5088
26.4492,52.8394
26.4657,66.448
26.484,86.432
26.5027,113.196
26.5248,153.564
26.553,218.062
26.6074,353.911
26.6315,396.437
26.6571,415.462
26.6598,415.623
26.684,401.284
26.7107,356.702
26.7844,175.824
26.8088,126.867
26.8292,94.9214
26.8473,73.1715
26.8661,56.1336
26.8825,44.9857
26.8989,36.5608
26.9177,29.4316
26.9388,23.6772
26.9623,19.168
26.9858,15.9442
27.013,13.229
27.0468,10.8187
27.0806,9.07749
27.1252,7.41998
27.1787,6.03189
27.2351,5.00843
27.3055,4.11711
27.3876,3.4137
27.4815,2.88191
27.5989,2.46635
27.7397,2.19438
27.8479,2.10179
27.9092,2.08646
28.0398,2.13967
28.1704,2.32419
28.2904,2.6504
28.3891,3.0904
28.4714,3.64507
28.5489,4.4201
28.6147,5.38984
28.6711,6.59847
28.7205,8.12981
28.7628,10.0283
28.7981,12.3025
28.8263,14.8737
28.8498,17.838
28.8742,22.1759
28.893,26.8327
28.9118,33.1729
28.9292,41.1123
28.9457,51.0649
28.9621,64.0387
28.9814,83.9556
29.0025,112.674
29.0246,150.866
29.0594,225.327
29.1074,331.155
29.1314,368.127
29.1571,384.562
29.1598,384.701
29.1841,372.327
29.2108,333.604
29.2587,228.557
29.2942,152.36
29.3175,112.15
29.3372,85.2762
29.3553,66.1395
29.3729,51.8591
29.3894,41.7089
29.4058,33.9792
29.4251,27.2545
29.4439,22.4567
29.4674,18.1383
29.4909,15.0592
29.5191,12.4027
29.553,10.1451
29.5901,8.38447
29.6348,6.87726
29.6884,5.61099
29.7476,4.63514
29.8181,3.8294
29.9003,3.1912
29.9826,2.75753
30.1001,2.35968
30.2411,2.10014
30.3487,2.0129
30.4092,1.99868
30.5393,2.04997
30.6695,2.22663
30.7892,2.53906
30.8881,2.96225
30.9704,3.49657
31.0481,4.24469
31.114,5.18352
31.1705,6.3582
