94-Pu-243(n,total fission) ENDF/B-VII.1
66.5378,123.779
66.5874,159.826
66.6233,177.561
66.6598,184.059
66.6982,176.821
66.7421,153.31
66.8462,74.9162
66.8796,54.2946
66.9064,41.0991
66.9317,31.2666
66.9556,24.1056
66.9794,18.6709
67.0019,14.8315
67.0248,11.8978
67.0506,9.49033
67.0764,7.7623
67.106,6.35102
67.1377,5.28531
67.1786,4.33625
67.2239,3.61231
67.2807,2.98767
67.3404,2.53173
67.424,2.09771
67.5195,1.77755
67.615,1.5728
67.7105,1.44463
67.8577,1.3532
67.9094,1.34641
68.0343,1.38156
68.1591,1.49836
68.2758,1.70773
68.3762,2.00778
68.4598,2.39739
68.5291,2.88192
68.5865,3.47199
68.6343,4.19059
68.6701,4.96058
68.706,6.06405
68.7346,7.33092
68.7633,9.12941
68.7872,11.2205
68.8111,14.0651
68.835,17.9175
68.8579,22.8389
68.8809,29.2438
68.9076,38.9464
68.9354,51.8451
68.9688,71.3708
69.0262,112.422
69.0874,155.156
69.1233,171.831
69.1598,177.926
69.1982,171.137
69.2422,149.015
69.3493,72.3875
69.3832,52.4504
69.4133,38.4669
69.4391,29.1901
69.463,22.573
69.4869,17.5438
69.5108,13.7876
69.5366,10.8257
69.5596,8.90244
69.5882,7.16518
69.62,5.82815
69.6518,4.89001
69.6881,4.12426
69.7335,3.4485
69.7933,2.8388
69.865,2.3482
69.9486,1.9686
70.0442,1.68671
70.1637,1.47353
70.3071,1.348
70.4095,1.32272
70.5341,1.35733
70.6586,1.47208
70.7751,1.67794
70.8756,1.974
70.9593,2.35929
71.0286,2.84008
71.086,3.42876
71.1339,4.15116
71.1697,4.9314
71.2056,6.05725
71.2343,7.35534
71.2594,8.93149
71.2821,10.8593
71.306,13.5907
71.33,17.2762
71.3539,22.1913
71.3768,28.3401
71.4036,37.6177
71.4318,50.1447
71.4687,70.83
71.5376,118.496
71.5873,150.803
71.6233,166.515
71.6598,172.244
71.6983,165.863
71.7423,145.004
71.8523,70.0251
71.8867,50.7239
71.9169,37.3469
71.9441,28.0028
71.968,21.7152
71.992,16.9201
72.0168,13.2027
72.0426,10.3918
72.0656,8.56034
72.0931,6.95912
72.1249,5.6607
72.1613,4.64183
72.1976,3.9291
72.2459,3.26421
72.3057,2.70245
72.3775,2.24755
72.4492,1.93609
72.5449,1.65793
72.6645,1.44796
72.808,1.32466
72.9094,1.30016
73.0337,1.33411
73.158,1.44675
73.2743,1.64913
73.3748,1.94123
73.4586,2.32228
73.5281,2.7995
73.5855,3.38715
73.6334,4.11395
73.6693,4.90509
73.698,5.78605
73.7267,7.00658
73.7555,8.7347
73.7818,10.9687
73.8057,13.7515
73.8297,17.4865
73.8536,22.4356
73.8804,29.7577
73.9072,39.2944
73.9383,53.4312
73.9781,76.1381
74.0757,140.357
74.1148,158.777
74.1546,166.774
74.1598,166.881
74.1933,162.299
74.2309,147.379
74.2902,110.467
74.351,70.3195
74.3869,50.6677
74.4171,37.5167
74.4444,28.2462
74.4707,21.4131
74.4946,16.7136
74.52,12.9923
74.5459,10.2279
74.5717,8.2295
74.5981,6.75752
74.6299,5.49758
74.6617,4.6127
74.6981,3.89142
74.7465,3.22365
74.8063,2.66357
74.8781,2.21238
74.9499,1.90442
75.0457,1.62994
75.1654,1.42315
75.309,1.30212
75.4095,1.27845
75.5335,1.31187
75.6574,1.42261
75.7736,1.62178
75.8742,1.91028
75.9581,2.28755
76.0276,2.76184
76.0851,3.34944
76.133,4.08208
76.1689,4.88569
76.1976,5.78524
76.2264,7.03511
76.2551,8.80533
76.2815,11.0885
76.3055,13.921
76.3294,17.702
76.3534,22.6797
76.3802,29.9887
76.407,39.4298
76.4382,53.3012
76.4779,75.3555
76.5757,136.766
76.6148,154.198
76.6546,161.745
76.6598,161.846
76.6933,157.524
76.7309,143.42
76.7903,108.324
76.8564,66.6867
76.8938,47.4691
76.923,35.547
76.9494,27.1012
76.9757,20.6033
77.0002,16.0429
77.0261,12.4449
77.0519,9.82108
77.0778,7.91804
77.1075,6.36314
77.1394,5.20212
77.1712,4.3824
77.2076,3.71089
77.2589,3.05574
77.3188,2.53919
77.3907,2.12042
77.4745,1.7947
77.5703,1.55265
77.6662,1.39947
77.8099,1.28049
77.9095,1.25754
78.0332,1.29043
78.1569,1.39935
78.2729,1.5955
78.3736,1.88061
78.4575,2.25439
78.5271,2.7262
78.575,3.19858
78.623,3.88023
78.6613,4.683
78.6901,5.53205
78.7189,6.7079
78.7476,8.36731
78.7728,10.3876
78.7956,12.8394
78.822,16.6541
78.8483,21.8074
78.8723,27.9196
78.8992,36.6497
78.9313,49.9634
78.973,71.7817
79.0756,133.355
79.1147,149.877
79.1571,157.083
79.1598,157.109
79.1934,153.023
79.231,139.668
79.2904,106.255
79.3566,66.1721
79.394,47.4376
79.4256,34.8604
79.4544,26.0137
79.4808,19.8305
79.5062,15.3311
79.5321,11.9251
79.558,9.43378
79.5839,7.62116
79.6124,6.18589
79.6443,5.05842
79.6807,4.16764
79.7263,3.41427
79.7714,2.90049
79.8313,2.42346
79.9032,2.03439
79.9752,1.76677
80.0711,1.52764
80.1669,1.37657
80.3108,1.25953
80.4095,1.23728
80.5329,1.26965
80.6564,1.37683
80.7722,1.57009
80.873,1.852
80.957,2.22256
81.017,2.615
81.0746,3.16543
81.1225,3.85321
81.1609,4.6692
81.1897,5.5363
81.2185,6.73975
81.2473,8.4377
81.2725,10.4998
81.2953,12.9928
81.3217,16.851
81.3481,22.0285
81.3759,29.2403
81.4066,39.6245
81.4412,54.5671
81.4872,79.2917
81.5755,130.107
81.6147,145.791
81.6571,152.616
81.6598,152.641
81.6984,147.564
81.7368,133.525
81.7996,98.789
81.8644,61.6019
81.9009,44.5119
81.9331,32.5982
81.9618,24.3769
81.9882,18.6334
82.0122,14.6567
82.0381,11.431
82.0641,9.06461
82.09,7.33773
82.1173,6.01514
82.1492,4.92028
82.1811,4.1461
82.2176,3.51229
82.2598,2.9879
82.3198,2.47247
82.3918,2.05908
82.4758,1.73967
82.5718,1.50331
82.6677,1.35423
82.8117,1.23904
82.9095,1.21744
83.0327,1.2493
83.1558,1.35481
83.2715,1.5453
83.3556,1.76779
83.4396,2.10461
83.5069,2.51009
83.5645,3.0255
83.6125,3.66572
83.6509,4.42036
83.6822,5.29624
83.711,6.42838
83.7398,8.02026
83.765,9.94763
83.7902,12.5555
83.8166,16.2462
83.843,21.1847
83.868,27.25
83.8987,36.8781
83.9309,49.723
83.9727,70.3773
84.0639,121.404
84.1062,139.345
84.1469,147.882
84.1598,148.417
84.2023,142.62
84.2407,128.551
84.3079,92.3646
84.3675,59.7378
84.4044,43.1272
84.4357,31.9869
84.4645,23.9957
84.4909,18.3861
84.5154,14.4168
84.5413,11.2563
84.5673,8.9289
84.5949,7.13207
84.6222,5.8502
84.6542,4.78704
84.6907,3.94558
84.7363,3.23438
84.7843,2.72465
84.8444,2.2845
84.9164,1.92509
85.0004,1.6443
85.0965,1.4358
85.2166,1.28204
85.3611,1.20317
85.4095,1.19774
85.5324,1.2291
85.6553,1.33299
85.7708,1.52083
85.8549,1.74097
85.9391,2.07505
86.0063,2.47883
86.064,2.99525
86.1121,3.64168
86.1505,4.4089
86.1818,5.3032
86.2106,6.4611
86.2395,8.08809
86.2647,10.0528
86.2899,12.7004
86.3164,16.4275
86.3428,21.3833
86.3716,28.4904
86.4024,38.3215
86.4375,52.5387
86.487,77.3472
86.5639,118.705
86.6062,135.797
86.6469,143.909
86.6598,144.418
86.7023,138.912
86.7407,125.522
86.808,90.8867
86.871,57.7263
86.908,41.7995
86.9407,30.6611
86.9695,23.0578
86.996,17.7101
87.0214,13.7882
87.0474,10.7929
87.0733,8.5815
87.0998,6.93263
87.1272,5.69033
87.1591,4.65801
87.1911,3.9266
87.2276,3.32783
87.2728,2.805
87.3329,2.3292
87.405,1.94711
87.4771,1.6867
87.5732,1.4554
87.6693,1.31001
87.8135,1.19824
87.9096,1.17783
88.0322,1.20876
88.1548,1.31118
88.2703,1.49662
88.3544,1.71466
88.4386,2.0464
88.5059,2.44904
88.5636,2.96734
88.6117,3.6212
88.6502,4.40238
88.6815,5.31637
88.7103,6.50113
88.7392,8.16392
88.7644,10.1659
88.7897,12.8524
88.8137,16.2255
88.8402,21.0758
88.8676,27.6095
88.8984,37.0371
88.934,50.8555
88.9821,73.9108
89.0638,116.149
89.1061,132.452
89.1508,140.417
89.1598,140.654
89.2023,135.418
89.2523,117.678
89.3745,55.8336
89.4115,40.5459
89.4409,30.8131
89.4697,23.2552
89.4938,18.3327
89.5188,14.3468
89.5447,11.2128
89.5707,8.88525
89.5955,7.23845
89.6229,5.89776
89.6549,4.78618
89.6914,3.91134
89.728,3.30341
89.7732,2.77596
89.8333,2.2993
89.9055,1.9187
89.9776,1.66017
90.0738,1.431
90.17,1.28715
90.3142,1.17677
90.4095,1.15678
90.5319,1.1871
90.6543,1.28793
90.7696,1.47086
90.8538,1.68671
90.938,2.01602
91.0054,2.41753
91.0536,2.83486
91.1017,3.44333
91.1402,4.16545
91.1739,5.08283
91.2028,6.19686
91.2316,7.75551
91.2569,9.62728
91.2846,12.4125
91.3087,15.6397
91.3327,19.7963
91.3597,25.7653
91.3905,34.5343
91.4271,47.8394
91.4771,70.6385
91.5638,113.661
91.6061,129.23
91.6508,136.817
91.6598,137.043
91.7024,132.056
91.7524,115.123
91.8747,55.4824
91.9151,39.3183
91.9459,29.5464
91.9748,22.3476
92.0017,17.1602
92.0277,13.3415
92.0537,10.4652
92.0797,8.32665
92.105,6.78519
92.1324,5.55425
92.1644,4.5295
92.201,3.71876
92.2376,3.15225
92.2857,2.63209
92.3459,2.19187
92.4181,1.83786
92.5023,1.56387
92.5986,1.36158
92.7189,1.2131
92.8623,1.13792
92.9095,1.13278
93.0316,1.16245
93.1538,1.26165
93.2689,1.44205
93.3532,1.65577
93.4375,1.98282
93.5049,2.38349
93.5531,2.80254
93.6012,3.41784
93.6398,4.15251
93.6735,5.08902
93.7024,6.22718
93.7313,7.81739
93.7566,9.72141
93.7843,12.5425
93.8084,15.7949
93.8325,19.9619
93.8594,25.9108
93.8903,34.5911
93.9269,47.6617
93.977,69.8588
94.0637,111.289
94.1145,128.297
94.1598,133.63
94.2024,128.874
94.2525,112.69
94.3782,53.6785
94.4187,38.1414
94.451,28.343
94.4799,21.4805
94.5078,16.3745
94.5338,12.7583
94.5598,10.0296
94.5858,7.99626
94.6145,6.36183
94.6419,5.23033
94.674,4.28451
94.7106,3.5323
94.7561,2.89889
94.8103,2.39698
94.8705,2.01991
94.9307,1.75473
95.003,1.52878
95.0993,1.328
95.2197,1.18065
95.3628,1.106
95.4096,1.10075
95.5315,1.12937
95.6533,1.22655
95.7683,1.40412
95.8527,1.61551
95.937,1.94019
96.0045,2.34015
96.0527,2.76125
96.0912,3.23716
96.1298,3.91672
96.1587,4.63492
96.1913,5.76947
96.2202,7.20039
96.2455,8.91009
96.2708,11.1893
96.2985,14.5295
96.3226,18.3258
96.3515,24.2007
96.3824,32.2903
96.42,44.89
96.4672,64.6411
96.5636,108.997
96.6145,125.269
96.6598,130.359
96.7024,125.819
96.7526,110.337
96.8817,51.9478
96.9222,37.0023
96.956,27.1896
96.9849,20.6423
97.0138,15.618
97.0398,12.1904
97.0659,9.59932
97.0919,7.66425
97.1194,6.16047
97.1468,5.06301
97.1789,4.14367
97.2109,3.48893
97.2505,2.91665
97.2987,2.43486
97.3589,2.02588
97.4312,1.69598
97.5035,1.47024
97.5999,1.26933
97.7204,1.12096
97.8168,1.05917
97.9251,1.03755
98.0409,1.06731
98.1567,1.15909
98.2676,1.32644
98.352,1.53299
98.4196,1.77637
98.4871,2.13369
98.5426,2.574
98.5812,3.01547
98.6198,3.64279
98.6535,4.43395
98.6834,5.42465
98.7116,6.72351
98.7399,8.51741
98.7674,10.9096
98.7934,13.9397
98.8223,18.4029
98.8513,24.2594
98.8822,32.272
98.9198,44.6623
98.9719,66.0698
99.0635,106.73
99.1145,122.316
99.1598,127.179
99.2025,122.834
99.2526,107.999
99.3853,50.1849
99.4263,35.6409
99.4572,26.9269
99.4842,20.8472
99.5131,15.7696
99.5372,12.5095
99.5645,9.69416
99.5927,7.54507
99.6209,5.98276
99.6491,4.84821
99.681,3.92935
99.7147,3.23825
99.7485,2.73891
99.7967,2.23302
99.8522,1.83118
99.9125,1.52103
99.9849,1.25287
100.067,1.03386
100.168,0.840639
100.279,0.690296
100.414,0.560669
100.549,0.467796
100.723,0.381961
100.926,0.31166
101.167,0.253422
101.437,0.208211
101.665,0.183901
101.7,0.181632
101.7,18.1588
121.585,16.4596
126.275,16.0588
150.85,14.5039
180.346,13.1931
200.0,12.3197
237.5,11.1416
275.0,10.2193
328.771,9.23976
350.0,8.85302
418.435,7.96229
425.0,7.87684
500.0,7.13651
597.765,6.39887
600.0,6.38201
700.0,5.80172
836.871,5.19747
850.0,5.13951
1000.0,4.63912
1195.53,4.15844
1250.0,4.02454
1494.41,3.58875
1500.0,3.57878
1750.0,3.23777
2000.0,2.96683
2375.0,2.64893
2750.0,2.40301
3287.71,2.14583
3500.0,2.04429
4184.35,1.81478
4250.0,1.79277
5000.0,1.60517
5977.65,1.42148
6000.0,1.41728
7000.0,1.27542
8368.71,1.13077
8500.0,1.11689
10000.0,0.999968
10000.0,0.999955
14916.5,0.88672
21879.0,0.788494
32234.8,0.70427
46185.7,0.632094
70183.4,0.557343
100000.0,0.500002
192970.0,0.457967
356740.0,0.41917
500000.0,0.400001
598882.0,0.4
702653.0,0.452919
800000.0,0.560007
912500.0,0.8375
1000000.0,1.09999
1200000.0,1.3
1500000.0,1.4
1896650.0,1.4
5000000.0,1.1
5500000.0,1.08
6000000.0,1.1
6500000.0,1.2
7500000.0,1.6
8500000.0,1.8
9250000.0,1.8
1.0E7,1.8
1.15E7,1.72
1.25E7,1.85
1.3E7,1.9
1.4E7,1.9
1.75E7,1.85
1.9E7,2.0
2.0E7,2.0
