91-Pa-233(n,total fission) ENDF/B-VII.1
1.0E-5,0.0
106.6,0.0
106.6,1.41083E-6
127.443,1.29661E-6
150.0,1.173E-6
179.329,1.07739E-6
200.0,1.01E-6
239.106,9.36246E-7
285.858,8.48071E-7
300.0,8.214E-7
358.659,7.65234E-7
428.788,6.98086E-7
500.0,6.299E-7
597.765,5.80529E-7
700.0,5.289E-7
836.871,4.88249E-7
1000.0,4.398E-7
1195.53,4.14264E-7
1429.29,3.83734E-7
1708.76,3.47236E-7
2000.0,3.092E-7
2391.06,2.87574E-7
2858.58,2.6172E-7
3000.0,2.539E-7
3586.59,2.35364E-7
4000.0,2.223E-7
4782.12,2.06188E-7
5000.0,2.017E-7
5977.65,1.89333E-7
7000.0,1.764E-7
8368.71,1.79366E-7
10000.0,1.829E-7
11955.3,1.83428E-7
14292.9,1.84059E-7
17087.6,1.84814E-7
20000.0,1.856E-7
23910.6,1.86056E-7
28585.8,1.86602E-7
34175.2,1.87254E-7
40857.5,1.88033E-7
48846.4,1.88965E-7
50000.0,1.891E-7
70905.6,2.02689E-7
70905.6,2.02687E-7
100000.0,2.21601E-7
150000.0,2.88847E-7
360000.0,4.84114E-6
500000.0,5.2548E-5
700000.0,5.01329E-4
800000.0,0.00130509
900000.0,0.00374831
1000000.0,0.0116232
1103120.0,0.0751144
1200000.0,0.151198
1300000.0,0.192302
1400000.0,0.256198
1600000.0,0.324199
2000000.0,0.380199
2400000.0,0.405099
3000000.0,0.4069
4391060.0,0.367748
6000000.0,0.318207
6406250.0,0.49606
7000000.0,0.843793
7400000.0,0.905797
8100000.0,0.85792
9000000.0,0.719501
1.0E7,0.611101
1.2E7,0.4827
1.3E7,0.432302
1.4E7,0.467602
1.525E7,0.6194
1.6E7,0.724398
1.7E7,0.762399
1.85E7,0.73295
1.95E7,0.7127
2.0E7,0.708702
2.1E7,0.792002
2.225E7,0.98275
2.3E7,1.075
2.4E7,1.113
2.5E7,1.091
2.65E7,1.01225
2.7E7,0.994501
2.9E7,1.032
3.025E7,1.127
3.15E7,1.2495
3.4E7,1.378
4.0E7,1.562
4.1E7,1.566
4.2E7,1.565
5.2E7,1.611
5.4E7,1.61
5.8E7,1.63
6.0E7,1.622
