95-Am-243(n,&gamma;) ENDF/B-VII.1
1.0E-5,3960.21
1.31241E-5,3456.88
1.70876E-5,3029.55
2.2426E-5,2644.53
2.91987E-5,2317.63
3.83206E-5,2023.07
4.98935E-5,1773.01
6.54808E-5,1547.68
8.52562E-5,1356.41
1.11891E-4,1184.04
1.45682E-4,1037.7
1.91195E-4,905.871
2.48937E-4,793.936
3.26707E-4,693.051
4.25373E-4,607.434
5.58264E-4,530.28
7.26861E-4,464.823
9.53941E-4,405.823
0.00124203,355.728
0.00163006,310.618
0.00212234,272.341
0.00278538,237.861
0.00362657,208.635
0.00475955,182.644
0.00619694,160.272
0.00813293,140.104
0.0105891,123.22
0.0138972,107.745
0.0180942,94.7401
0.0234661,83.7374
0.0253,80.7365
0.0361611,68.1868
0.0474582,60.0585
0.0617907,53.3322
0.0883169,45.8562
0.115908,41.2157
0.150913,37.571
0.198059,34.8728
0.262835,33.5549
0.267796,33.5532
0.314597,34.5216
0.345798,37.274
0.360424,40.3283
0.372611,45.1349
0.382362,51.9928
0.390893,61.5171
0.406055,83.8025
0.41249,89.5448
0.415688,90.2351
0.42185,87.1608
0.431308,74.6911
0.443154,58.119
0.451588,50.1761
0.458901,45.7303
0.468651,42.1087
0.483277,39.3562
0.507652,37.797
0.521303,37.6467
0.583704,39.4234
0.664376,44.8251
0.73989,53.096
0.793914,62.0898
0.835333,72.2467
0.867748,84.2093
0.890708,97.3952
0.907366,112.525
0.918621,128.399
0.927625,147.446
0.936629,176.383
0.944508,214.273
0.952386,267.269
0.972195,434.11
0.978318,465.9
0.983288,474.403
0.989843,460.197
0.998667,405.958
1.01294,297.882
1.02127,251.423
1.02802,226.152
1.03702,206.276
1.04963,195.584
1.05593,194.824
1.07484,203.033
1.10095,231.131
1.12797,278.039
1.15039,334.371
1.17119,407.337
1.19126,506.476
1.20915,632.068
1.22481,787.808
1.23872,983.813
1.2509,1226.24
1.26083,1501.31
1.2704,1868.66
1.27897,2330.92
1.2868,2923.94
1.29326,3597.56
1.29935,4449.63
1.30544,5585.81
1.31227,7294.01
1.31947,9671.41
1.32926,13759.6
1.34089,18845.6
1.34924,21344.8
1.35576,21973.2
1.36316,21076.7
1.3719,18198.7
1.38954,10524.5
1.39725,7808.22
1.40396,5990.05
1.41029,4696.05
1.41638,3764.8
1.42272,3041.22
1.42942,2473.1
1.43725,1988.9
1.44545,1620.74
1.4544,1326.65
1.46508,1071.93
1.47726,864.735
1.49117,697.183
1.50608,570.214
1.52347,466.319
1.5403,396.075
1.55905,342.248
1.57779,307.901
1.59654,290.193
1.60592,287.62
1.61838,291.643
1.63133,307.127
1.64427,339.132
1.65482,384.269
1.66273,435.821
1.67136,519.03
1.67855,620.608
1.68551,759.221
1.69222,943.875
1.69893,1190.53
1.70708,1581.54
1.72942,2888.63
1.73748,3188.23
1.74358,3260.87
1.75014,3173.09
1.75781,2877.27
1.77421,1902.45
1.7838,1367.44
1.79147,1030.95
1.79818,806.73
1.80477,641.348
1.81124,520.593
1.8188,417.949
1.82719,337.184
1.83678,272.616
1.84696,224.349
1.85955,182.441
1.87393,149.116
1.89071,121.995
1.90845,101.677
1.93195,82.7276
1.9588,67.7391
1.99068,55.3717
2.02257,46.5686
2.06763,37.7149
