95-Am-241(n,&gamma;) ENDF/B-VII.1
1.0E-5,39456.2
1.31241E-5,34440.5
1.70876E-5,30182.0
2.2426E-5,26345.0
2.91987E-5,23087.0
3.83206E-5,20151.1
4.98935E-5,17658.5
6.54808E-5,15412.2
8.52562E-5,13505.2
1.11891E-4,11786.2
1.45682E-4,10326.4
1.91195E-4,9010.96
2.48937E-4,7893.51
3.26707E-4,6885.8
4.25373E-4,6029.96
5.58264E-4,5257.98
7.26861E-4,4602.23
9.53941E-4,4010.23
0.00124203,3506.58
0.00163006,3051.9
0.00212234,2664.88
0.00278538,2314.93
0.00362657,2016.98
0.00475955,1750.55
0.00649986,1480.99
0.00885724,1250.84
0.012142,1050.12
0.0158747,899.793
0.0207477,769.669
0.0234661,715.91
0.0253,684.874
0.033204,583.981
0.0432317,501.782
0.0567377,430.095
0.0738726,375.573
0.0969512,336.6
0.115845,323.304
0.126104,321.956
0.150761,334.8
0.17287,370.198
0.190144,421.559
0.203351,482.873
0.215043,562.304
0.22623,672.86
0.236578,823.118
0.245388,1009.34
0.253079,1241.07
0.259931,1530.29
0.266224,1896.2
0.272517,2394.45
0.279229,3106.84
0.29436,5134.65
0.298835,5571.63
0.304004,5777.22
0.309575,5576.28
0.315616,4945.58
0.329712,3005.93
0.336005,2322.34
0.341738,1847.46
0.347612,1483.35
0.354324,1180.88
0.361176,960.209
0.369007,781.45
0.376978,653.209
0.386767,544.25
0.397954,462.33
0.409141,410.305
0.420888,378.015
0.433194,362.801
0.439347,361.408
0.453633,373.807
0.467918,410.809
0.478802,460.901
0.489685,538.623
0.499208,640.737
0.507371,767.172
0.515262,941.797
0.521928,1149.54
0.528322,1424.27
0.534852,1809.97
0.54179,2366.62
0.550633,3292.24
0.561952,4512.59
0.568917,4930.7
0.572095,4970.94
0.577189,4822.5
0.583719,4307.94
0.600262,2481.65
0.606955,1894.03
0.613077,1484.26
0.619471,1166.54
0.626001,929.923
0.632531,756.538
0.64015,609.13
0.648176,496.889
0.657972,398.967
0.669127,320.897
0.679603,268.374
0.692119,222.667
0.707355,183.236
0.723681,153.618
0.743271,128.855
0.766126,109.267
0.793335,94.0824
0.824353,83.5052
0.855371,77.6671
0.898905,75.2173
0.938767,77.9802
0.978629,85.9189
1.0144,99.1688
1.04198,115.281
1.06955,139.488
1.09311,170.412
1.11322,208.916
1.13074,257.206
1.14482,311.769
1.15832,384.849
1.16982,471.922
1.17987,577.241
1.18892,707.579
1.19797,889.548
1.20558,1102.93
1.21262,1371.83
1.22009,1761.99
1.22698,2246.34
1.23474,2956.79
1.24675,4348.64
1.25813,5648.42
1.26491,6158.55
1.27162,6328.23
1.27824,6130.96
1.28651,5449.51
1.30785,2965.54
1.31575,2237.47
1.32265,1748.85
1.32954,1379.85
1.33687,1090.44
1.34491,860.949
1.35253,702.914
1.36158,565.501
1.3722,450.291
1.38327,364.653
1.39591,294.216
1.40998,237.987
1.42607,192.1
1.44245,158.41
1.46255,128.591
1.48439,105.596
1.50852,87.5329
1.53572,73.2079
1.56828,61.561
1.60084,53.9801
1.6334,49.2994
1.66741,47.0541
1.67875,46.9115
1.71379,48.6802
1.74008,52.9059
1.76224,59.5179
1.78234,69.4985
1.79909,82.7439
1.81326,99.9865
1.82408,119.404
1.83387,144.601
1.84289,178.002
1.85062,218.596
1.8581,273.244
1.86531,345.771
1.87304,451.081
1.88077,588.925
1.89237,848.586
1.90551,1150.71
1.91458,1290.2
1.92171,1325.97
1.92942,1281.54
1.93849,1134.65
1.96194,600.282
1.97019,451.584
1.97766,348.338
1.98487,273.917
1.99209,219.222
1.99982,176.785
2.00884,141.883
2.01811,116.788
2.02894,96.2832
2.04156,79.805
2.05496,67.7584
2.07171,57.5683
2.08846,50.8133
2.10995,45.3887
2.13214,42.4356
2.15433,41.569
2.17601,42.6119
2.1977,45.8033
2.21687,51.0769
2.23101,57.1668
2.24751,68.0316
2.25929,79.7618
2.27029,95.5741
2.28066,117.214
2.28915,142.173
2.29763,176.265
2.30643,224.043
2.31617,293.989
2.33176,437.107
2.34641,568.921
2.35596,622.275
2.36285,634.349
2.37054,619.093
2.38173,550.392
2.40794,315.553
2.41784,245.776
2.42648,200.258
2.43591,165.218
2.44534,142.292
2.45382,129.492
2.46451,121.343
2.46985,120.022
2.48338,124.082
2.49393,135.051
2.50299,151.292
2.51205,176.057
2.5211,212.673
2.52865,255.495
2.53726,322.068
2.54677,422.09
2.55764,571.361
2.58064,929.134
2.59079,1030.74
2.59871,1055.96
2.6077,1020.06
2.61832,901.869
2.64429,494.635
2.65455,364.71
2.66286,283.893
2.67131,221.76
2.68007,174.598
2.68822,142.435
2.69773,115.03
2.70769,94.3154
2.72037,75.6089
2.73215,63.18
2.74573,52.6247
2.76204,43.4336
2.78015,36.074
2.80189,29.7468
2.82725,24.5309
2.85503,20.4894
2.88884,17.0288
2.93172,14.0428
2.97881,11.8338
3.03376,10.093
3.10622,8.62674
3.17868,7.73984
3.25327,7.23099
3.33211,7.04283
3.40519,7.18263
3.47828,7.68625
3.54574,8.62187
3.60196,9.9662
3.64693,11.6625
3.68348,13.7186
3.71383,16.1866
3.7425,19.5405
3.76612,23.4987
3.78636,28.2677
3.80575,34.7509
3.82093,41.9123
3.83541,51.5074
3.8482,63.607
3.85916,78.3261
3.86843,95.623
3.87687,116.987
3.8853,145.852
3.89429,187.768
3.90329,244.376
3.91313,326.161
3.92409,442.14
3.95085,767.484
3.96176,859.595
3.97282,893.128
3.98155,870.603
3.99256,786.965
4.01179,558.789
4.02697,379.961
4.03765,279.693
4.04651,215.511
4.05452,170.91
4.06337,133.898
4.07124,109.441
4.08052,88.1221
4.09134,70.4275
4.1023,57.7275
4.11608,46.4836
4.13154,37.7345
4.1484,31.0406
4.16808,25.5457
4.19057,21.1602
4.21811,17.4797
4.24903,14.7052
4.28698,12.4827
4.32493,11.0581
4.35528,10.295
4.4115,9.4943
4.46772,9.27326
4.52197,9.52221
4.57622,10.2496
4.62683,11.488
4.67017,13.1931
4.70629,15.3562
4.73685,18.0629
4.76352,21.5243
4.78575,25.7272
4.80409,30.716
4.81909,36.5014
4.83159,43.2283
4.84451,53.1303
4.85534,65.093
4.86437,78.907
4.87354,97.9861
4.88326,125.69
4.89243,160.727
4.90243,210.457
4.91382,281.935
4.943,495.435
4.95466,557.412
4.96607,583.564
4.96784,584.044
4.97867,565.776
4.99023,510.969
5.02606,258.292
5.03801,191.45
5.04801,148.925
5.05774,118.268
5.06746,96.2085
5.07691,81.0503
5.08802,68.8843
5.10135,59.7095
5.11469,54.3302
5.13247,50.8698
5.14536,50.2054
5.16533,51.5418
5.1893,56.6645
5.21212,65.6504
5.23263,78.534
5.24973,94.6506
5.26398,114.043
5.27595,136.94
5.28791,169.271
5.29817,208.402
5.30757,257.862
5.31698,325.456
5.32595,412.402
5.33493,526.775
5.34547,702.024
5.35687,943.056
5.38992,1775.72
5.40269,1998.11
5.41459,2072.47
5.42526,2013.84
5.43688,1829.08
5.45689,1339.26
5.47498,887.988
5.48695,648.115
5.49707,491.109
5.50618,382.911
5.51473,305.644
5.52328,247.039
5.5324,200.232
5.54266,161.66
5.55463,129.58
5.56659,106.665
5.58198,85.7053
5.59737,70.7907
5.61488,58.4491
5.63531,48.059
5.6604,39.0797
5.68763,32.4242
5.71056,28.6441
5.7335,26.2943
5.76881,24.8152
5.80596,23.3796
5.85733,19.2361
5.87912,18.203
5.88944,18.0299
5.91179,18.3771
5.93759,20.1484
5.95493,22.504
5.96937,25.6385
5.98382,30.5339
5.99422,35.7898
6.00463,43.2366
6.01503,53.7842
6.02544,68.5317
6.03515,87.0812
6.04597,114.049
6.05901,155.403
6.09203,275.686
6.10635,309.0
6.11669,316.616
6.12765,307.764
6.14197,273.171
6.18026,134.548
6.19247,99.2301
6.20218,77.2564
6.21189,60.3331
6.22049,48.9274
6.23021,39.2659
6.23992,32.1884
6.25074,26.4765
6.26322,21.8152
6.27821,17.9524
6.29347,15.2085
6.31289,12.7564
6.3362,10.7349
6.36335,9.13187
6.39953,7.73819
6.43053,6.96674
6.472,6.35449
6.51346,6.1593
6.54797,6.38991
6.568,6.78786
6.58804,7.53458
6.60307,8.49517
6.61559,9.74226
6.62812,11.6326
6.63953,14.1848
6.65066,17.7313
6.66179,22.6041
6.67431,29.9031
6.69045,41.9733
6.71717,63.7408
6.73164,71.8675
6.74469,74.4197
6.75836,71.5116
6.77283,63.0931
6.80984,33.1227
6.82237,24.9177
6.83294,19.4875
6.84407,15.1634
6.85437,12.2285
6.8662,9.82364
6.87802,8.15773
6.89194,6.82218
6.9053,5.94289
6.92311,5.13774
6.94092,4.58332
6.96986,3.98162
7.00326,3.54263
7.04778,3.18269
7.10597,2.92077
7.16416,2.79798
7.20295,2.77428
7.28021,2.86426
7.33816,3.09083
7.37964,3.39563
7.4129,3.79224
7.44061,4.30358
7.46694,5.06458
7.48773,6.01894
7.50436,7.20347
7.51738,8.58562
7.52916,10.3842
7.54094,12.9602
7.55175,16.2842
7.56283,20.9537
7.57378,27.091
7.58625,36.1238
7.60413,52.4384
7.62962,77.1342
7.6457,87.7568
7.65896,90.6912
7.67164,87.8473
7.68561,79.077
7.71387,52.2524
7.73175,36.198
7.74422,27.349
7.75517,21.3545
7.76625,16.8095
7.77685,13.6441
7.7887,11.1467
7.80187,9.28545
7.81447,8.10642
7.82861,7.23819
7.84745,6.54648
7.8663,6.19034
7.88515,6.06411
7.9092,6.17011
7.93325,6.56839
7.95789,7.34826
7.9794,8.48492
7.99661,9.89635
8.01167,11.7462
8.02538,14.2534
8.03748,17.4968
8.04837,21.6504
8.05846,26.9525
8.06814,33.7685
8.07782,42.6711
8.08871,55.5805
8.10202,75.7544
8.12406,117.414
8.14289,153.011
8.15665,171.99
8.17136,180.433
8.17274,180.493
8.18677,173.919
8.20204,153.852
8.24183,78.7191
8.25501,58.2063
8.26711,43.4766
8.27679,34.4144
8.28727,26.9473
8.29776,21.4525
8.30744,17.7206
8.31954,14.367
8.33164,12.0231
8.34508,10.1935
8.36229,8.59443
8.3838,7.28465
8.40531,6.41956
8.43328,5.68539
8.47522,5.06619
8.51717,4.78911
8.54406,4.73306
8.60439,4.87839
8.66472,5.38459
8.71515,6.15015
8.75717,7.13549
8.7992,8.61944
8.83058,10.254
8.85748,12.2401
8.88101,14.6869
8.90119,17.6311
8.918,21.0465
8.93481,25.8946
8.94742,31.034
8.96002,38.1952
8.97095,46.8212
8.98076,57.2687
8.99056,71.1548
9.00107,90.9707
9.01186,117.926
9.02362,156.319
9.03749,214.426
9.05865,324.808
9.08162,446.777
9.09597,501.565
9.1113,525.937
9.11273,526.117
9.12735,507.279
9.14326,449.497
9.18725,218.887
9.20056,162.37
9.21246,122.544
9.22325,94.7887
9.23404,73.8233
9.24412,59.1831
9.25421,48.2514
9.2643,40.1044
9.27606,33.1378
9.28783,28.0804
9.30464,23.0123
9.32145,19.5431
9.34247,16.5626
9.36628,14.3053
9.39486,12.572
9.4222,11.5708
9.45784,10.9451
9.47566,10.8683
9.51428,11.2053
9.55289,12.3128
9.57864,13.623
9.60588,15.753
9.62857,18.4349
9.64673,21.5421
9.66262,25.395
9.6768,30.2588
9.69099,37.2487
9.70347,46.1023
9.71482,57.3751
9.72617,72.9095
9.73766,94.3638
9.74858,121.398
9.7605,159.436
9.77582,221.941
9.81922,436.9
9.83375,487.992
9.84927,510.697
9.85073,510.874
9.86553,493.528
9.88164,439.895
9.92817,212.949
9.94179,159.384
9.95314,124.043
9.9651,95.5622
9.97506,77.8471
