96-Cm-244(n,&gamma;) ENDF/B-VII.1
1.0E-5,765.878
1.31241E-5,668.537
1.70876E-5,585.892
2.2426E-5,511.43
2.91987E-5,448.208
3.83206E-5,391.239
4.98935E-5,342.877
6.54808E-5,299.298
8.52562E-5,262.306
1.11891E-4,228.967
1.45682E-4,200.662
1.91195E-4,175.164
2.48937E-4,153.513
3.26707E-4,133.998
4.25373E-4,117.435
5.58264E-4,102.508
7.26861E-4,89.8424
9.53941E-4,78.4244
0.00124203,68.7279
0.00163006,59.9937
0.00212234,52.58
0.00278538,45.8988
0.00362657,40.232
0.00475955,35.1887
0.00619694,30.8428
0.00813293,26.9195
0.0105891,23.6288
0.0138972,20.6053
0.0180942,18.0554
0.0234661,15.8858
0.0253,15.2818
0.033204,13.3237
0.0474582,11.163
0.0617907,9.78209
0.0883169,8.20002
0.115908,7.16448
0.150913,6.28865
0.198059,5.51065
0.257874,4.8471
0.338436,4.26057
0.440644,3.76477
0.574961,3.34264
0.818972,2.87909
1.11462,2.5811
1.5001,2.3817
1.97434,2.30414
2.5397,2.3744
3.09105,2.59132
3.65174,2.99376
4.11898,3.53005
4.49277,4.16001
4.8432,4.99791
5.12354,5.94066
5.40389,7.2468
5.64919,8.8678
5.85945,10.8075
6.03466,13.0205
6.20988,16.048
6.36757,19.8876
6.48438,23.7636
6.61579,29.7435
6.7326,37.2656
6.83116,46.2059
6.91074,56.109
6.98666,68.9826
7.05602,85.1932
7.12172,106.67
7.17794,132.405
7.22612,162.872
7.27285,203.984
7.31373,254.525
7.35023,317.845
7.3809,392.041
7.40718,479.502
7.43171,591.994
7.45449,738.509
7.47201,894.796
7.48953,1112.06
7.50413,1367.64
7.51581,1648.96
7.52749,2034.26
7.53859,2542.2
7.5491,3206.31
7.55932,4086.23
7.56954,5267.68
7.57976,6820.24
7.59174,9179.33
7.60605,12765.0
7.64197,23126.2
7.65598,25870.3
7.66951,26835.4
7.68262,25973.1
7.69862,22829.6
7.73921,11240.2
7.75206,8282.04
7.76257,6368.69
7.77206,5013.58
7.7817,3950.67
7.79134,3145.38
7.80229,2470.77
7.81251,2011.13
7.82477,1610.82
7.83821,1299.63
7.85222,1066.55
7.86916,863.863
7.8896,690.76
7.91296,551.585
7.93749,447.238
7.96553,361.117
7.99707,291.312
8.03445,232.137
8.07299,188.198
8.11972,149.819
8.16644,122.081
8.22485,97.0264
8.28909,77.4177
8.35918,62.0913
8.43511,50.1211
8.52709,39.6998
8.61616,32.3903
8.71837,26.2241
8.82642,21.4272
8.94907,17.4086
9.09508,13.9313
9.25862,11.1422
9.44551,8.86322
9.65577,7.03677
9.86019,5.75193
10.1055,4.63146
10.3566,3.79112
10.6603,3.05674
10.9874,2.485
11.3145,2.07024
11.7015,1.71615
12.0886,1.46081
12.5531,1.24501
13.2216,1.06722
13.7034,1.01865
13.7841,1.01757
14.1473,1.04261
14.5104,1.12965
14.8029,1.27064
15.0551,1.47729
15.2569,1.73691
15.4334,2.07612
15.5772,2.47899
15.7007,2.96977
15.8243,3.67268
15.9302,4.54671
16.0185,5.584
16.0941,6.82453
16.1647,8.44213
16.2278,10.4827
16.2808,12.8826
16.3262,15.7164
16.3703,19.5449
16.4081,24.1506
16.4399,29.5166
16.4699,36.6022
16.4956,45.2455
16.5168,55.3728
16.5345,67.289
16.5486,80.4607
16.5612,96.36
16.5748,119.971
16.5869,148.971
16.599,188.471
16.6106,239.466
16.6227,310.367
16.6346,401.431
16.6469,523.267
16.6623,717.594
16.6812,1020.64
16.7276,1891.78
16.7478,2169.7
16.766,2280.71
16.7696,2284.17
16.7853,2225.4
16.8033,2025.91
16.831,1539.43
16.8633,936.149
16.88,681.978
16.8951,498.956
16.9087,372.416
16.9212,284.334
16.9327,222.924
16.944,176.944
16.9566,139.125
16.9692,111.66
16.9808,92.9876
16.996,75.2328
17.0111,62.5206
17.0292,51.5179
17.0519,41.7929
17.0792,33.6343
17.1079,27.509
17.1432,22.1176
17.1798,18.0975
17.2239,14.5886
17.2744,11.7266
17.3273,9.5633
17.3879,7.77026
17.4522,6.38266
17.5316,5.14099
17.6148,4.20405
17.7157,3.389
17.8317,2.72785
17.9553,2.22852
18.0864,1.84654
18.2377,1.52855
18.4143,1.26233
18.6059,1.05667
18.8531,0.872695
19.1002,0.745736
19.3827,0.646234
19.7345,0.566314
20.1546,0.517251
20.4404,0.507995
20.7059,0.518852
20.9714,0.553533
21.2164,0.617565
21.4002,0.697336
21.5763,0.815136
21.7141,0.953555
21.8443,1.14463
21.9515,1.37247
22.0434,1.64851
22.1251,1.99166
22.1966,2.40891
22.2604,2.92549
22.3216,3.62315
22.3727,4.44303
22.4174,5.44265
22.4556,6.62896
22.4926,8.23988
22.5233,10.1419
22.5475,12.2643
22.5705,15.1336
22.5896,18.5985
22.605,22.5038
22.6203,27.9486
22.6341,34.758
22.6478,44.1108
22.6616,56.9114
22.6744,72.7717
22.6884,95.8136
22.703,127.14
22.7193,172.656
22.7382,239.551
22.7673,367.105
22.803,528.614
22.8255,601.208
22.8471,630.275
22.8496,630.62
22.8696,610.71
22.8898,553.73
22.9235,408.432
22.9559,261.878
22.9766,184.963
22.9929,136.917
23.0072,103.984
23.0213,79.0259
23.034,61.7074
23.0471,48.3149
23.0608,37.8097
23.0746,30.1453
23.089,24.3271
23.1042,19.9065
23.1216,16.297
23.1433,13.1578
23.1665,10.8205
23.192,8.97856
23.2227,7.37752
23.2571,6.07032
23.3018,4.85919
23.3477,3.972
23.4013,3.22604
23.4626,2.61648
23.5341,2.11183
23.6157,1.70484
23.7025,1.39702
23.8046,1.13893
23.9195,0.933593
24.0446,0.774509
24.2003,0.635261
24.3687,0.530285
24.5653,0.444164
24.8154,0.369352
25.0656,0.31822
25.4229,0.268975
25.8727,0.229907
26.3644,0.203839
26.8577,0.188422
27.351,0.178394
28.0087,0.173592
28.6952,0.176939
29.5603,0.193571
30.0966,0.213247
30.633,0.244048
31.1693,0.290858
31.6156,0.349512
32.0152,0.427941
32.3537,0.524879
32.6257,0.635738
32.8866,0.785031
33.1086,0.96519
33.3028,1.18544
33.4804,1.46577
33.6358,1.8081
33.7746,2.2342
33.8911,2.72689
34.0076,3.41073
34.1048,4.20686
34.1908,5.17877
34.2685,6.38862
34.3406,7.95351
34.3989,9.70121
34.4572,12.1305
34.5058,14.9768
34.5474,18.3725
34.5849,22.6634
34.6126,27.0856
34.6404,33.3006
34.6612,39.8927
34.682,49.1719
34.7007,61.0744
34.7174,75.8607
34.7336,95.6942
34.7486,120.444
34.7636,153.292
34.7794,199.103
34.7944,255.421
34.8118,339.915
34.829,445.242
34.8521,622.087
34.8854,938.71
34.9301,1385.33
34.96,1601.98
