95-Am-242(n,total fission) ENDF/B-VII.1
1.0E-5,97026.8
1.31241E-5,84695.8
1.70876E-5,74226.6
2.2426E-5,64794.1
2.91987E-5,56785.6
3.83206E-5,49569.4
4.98935E-5,43443.6
6.54808E-5,37923.9
8.52562E-5,33238.7
1.11891E-4,29016.7
1.45682E-4,25432.4
1.91195E-4,22204.0
2.48937E-4,19463.0
3.26707E-4,16993.1
4.25373E-4,14897.4
5.58264E-4,13009.3
7.26861E-4,11408.1
9.53941E-4,9965.58
0.00124203,8741.54
0.00163006,7640.19
0.00212234,6706.71
0.00278538,5867.05
0.00362657,5156.64
0.00475955,4526.41
0.00619694,3985.81
0.00813293,3500.5
0.0105891,3096.81
0.0138972,2729.76
0.0180942,2424.8
0.0234661,2171.61
0.0253,2103.69
0.0361611,1822.32
0.0474582,1654.37
0.0617907,1519.08
0.0883169,1387.87
0.126231,1319.1
0.15457,1308.46
0.266044,1347.61
0.334959,1301.9
0.39424,1174.56
0.551,682.742
0.61475,524.224
0.677106,407.58
0.73981,320.914
0.795547,263.696
0.865219,211.1
0.93489,173.385
1.0185,141.491
1.1021,119.504
1.20661,101.354
1.31112,90.391
1.43652,84.2366
1.49226,83.6441
1.59677,86.2447
1.70201,94.8264
1.77241,105.325
1.83903,120.836
1.89455,140.244
1.95006,169.502
1.99448,205.068
2.02779,243.732
2.06221,301.021
2.0933,374.486
2.15792,575.771
2.18217,620.48
2.19168,625.06
2.21212,608.758
2.24912,519.794
2.29406,404.869
2.33174,337.495
2.37668,282.233
2.44191,224.817
2.50713,180.983
2.57961,143.951
2.65317,116.911
2.72673,98.0013
2.79848,85.4531
2.87458,76.8845
2.95068,72.1365
3.02316,70.6758
3.11738,73.3492
3.18804,79.4672
3.25002,88.9733
3.30766,103.008
3.35569,120.557
3.40144,145.231
3.44361,178.778
3.47775,217.754
3.50987,269.092
3.53932,334.244
3.56945,425.624
3.6001,550.318
3.66088,857.245
3.6823,939.015
3.70714,975.316
3.73156,937.442
3.76503,794.709
3.81724,526.961
3.84637,409.877
3.87594,320.513
3.90571,254.536
3.93482,207.425
3.96898,167.481
4.00908,134.545
4.05066,110.644
4.09819,91.421
4.15521,75.4258
4.21462,63.826
4.27997,54.8152
4.3667,46.7083
4.46531,40.8106
4.55442,37.3778
4.67323,34.5904
4.83283,32.9575
4.90366,32.8112
5.10208,34.024
5.29169,37.6403
5.44337,42.9616
5.58447,50.7303
5.85961,71.206
5.97955,75.6323
6.14887,78.6934
6.23735,83.7182
6.34342,95.9336
6.50199,121.353
6.57317,138.499
6.64071,164.053
6.69407,195.912
6.73443,232.887
6.76962,281.55
6.79943,343.413
6.82337,415.362
6.84732,517.588
6.87029,655.705
6.89472,856.508
6.93297,1264.95
6.96128,1548.21
6.98277,1667.04
6.99251,1679.72
