90-Th-232(n,&gamma;) ENDF/B-VII.1
135.321,0.0729018
135.377,0.0934119
135.532,0.164647
135.592,0.181981
135.631,0.185297
135.683,0.179049
135.743,0.158853
135.887,0.0905098
135.943,0.0694303
135.989,0.0569709
136.035,0.0483187
136.086,0.0421265
136.132,0.0388876
136.193,0.0365159
136.315,0.03463
136.998,0.0314209
138.164,0.0282445
138.7,0.0274489
138.889,0.0277947
138.975,0.0290285
139.04,0.0316908
139.086,0.0353396
139.132,0.0413381
139.178,0.0505476
139.223,0.0636783
139.277,0.0842079
139.43,0.156107
139.486,0.172853
139.53,0.177094
139.584,0.17052
139.646,0.149088
139.789,0.0807652
139.84,0.0616248
139.885,0.0489818
139.924,0.0408584
139.964,0.0351908
140.009,0.0310267
140.055,0.0285015
140.116,0.0267323
140.238,0.02548
140.97,0.0241607
142.697,0.0234648
143.722,0.0243319
144.248,0.0258165
144.523,0.0275892
144.707,0.0296305
144.89,0.0331426
145.028,0.0379631
145.097,0.0421484
145.154,0.0479519
145.2,0.0558712
145.235,0.0654326
145.262,0.0767523
145.29,0.0929465
145.317,0.116097
145.341,0.144217
145.366,0.182108
145.39,0.234446
145.416,0.305068
145.441,0.397576
145.466,0.516598
145.496,0.695185
145.526,0.932897
145.558,1.24569
145.601,1.76629
145.66,2.64785
145.766,4.32017
145.823,4.94047
145.876,5.13962
145.925,4.96373
145.974,4.47516
146.05,3.33172
146.133,2.00878
146.179,1.40744
146.217,1.01132
146.248,0.755082
146.275,0.574564
146.303,0.433172
146.329,0.330225
146.353,0.255835
146.378,0.19917
146.402,0.156617
146.427,0.125053
146.451,0.10187
146.476,0.0849587
146.506,0.0701519
146.54,0.059376
146.577,0.0517681
146.623,0.0457929
146.696,0.0402788
146.806,0.0357913
146.968,0.0323031
147.13,0.030596
147.238,0.0301801
147.366,0.0309237
147.421,0.032358
147.476,0.0355698
147.517,0.0401904
147.556,0.0473172
147.586,0.0559199
147.617,0.0680395
147.647,0.0846716
147.678,0.106866
147.708,0.135618
147.746,0.180892
147.791,0.252064
147.848,0.362163
147.956,0.582226
148.011,0.661486
148.065,0.690984
148.068,0.69105
148.119,0.666327
148.171,0.598103
148.253,0.435339
148.331,0.276994
148.376,0.200632
148.415,0.150008
148.448,0.115217
148.481,0.0894663
148.513,0.0702986
148.545,0.0564647
148.578,0.046758
148.61,0.0401127
148.645,0.0354031
148.691,0.0316672
148.752,0.0291315
148.843,0.0275457
149.118,0.0262254
149.508,0.0258771
150.362,0.0266975
151.554,0.0291741
152.231,0.0322497
152.661,0.0355357
152.984,0.0401512
153.215,0.0460104
153.353,0.0517231
153.468,0.0590342
153.561,0.0684279
153.618,0.0780023
153.665,0.0901834
153.701,0.104994
153.731,0.123715
153.762,0.151187
153.79,0.186961
153.815,0.23116
153.839,0.291154
153.864,0.371894
153.888,0.479371
153.911,0.610625
153.938,0.809891
153.965,1.06946
153.992,1.40068
154.023,1.88049
154.055,2.51346
154.096,3.51035
154.151,5.18832
154.272,9.2426
154.331,10.6526
154.386,11.1647
154.389,11.1671
154.44,10.7922
154.491,9.71663
154.569,7.21332
154.654,4.34883
154.702,3.02821
154.739,2.2124
154.773,1.61667
154.802,1.21158
154.829,0.924687
154.856,0.70195
154.882,0.532402
154.906,0.416359
154.928,0.334657
154.951,0.27188
154.977,0.215419
155.005,0.17441
155.03,0.14715
155.061,0.124367
155.1,0.105119
155.15,0.0900954
155.202,0.0800367
155.294,0.0686564
155.398,0.0602228
155.511,0.0543365
155.666,0.0496843
155.91,0.0460648
156.276,0.0439179
156.545,0.0435179
157.288,0.0450031
158.288,0.0493954
159.311,0.0563335
160.433,0.0671397
161.493,0.0810322
162.371,0.0979026
162.554,0.104915
162.676,0.115143
162.942,0.15176
163.029,0.156072
163.138,0.15091
163.311,0.135149
163.427,0.130591
163.482,0.130442
163.836,0.141081
164.475,0.170849
165.089,0.210327
165.619,0.257316
166.046,0.30873
166.278,0.346199
166.43,0.388219
166.534,0.442768
166.638,0.531366
166.822,0.720266
166.916,0.764949
166.937,0.766539
167.034,0.739806
167.168,0.668303
167.275,0.639184
167.321,0.638772
167.473,0.676378
167.729,0.803802
167.982,0.979398
168.235,1.22177
168.445,1.50118
168.63,1.8346
168.803,2.26502
168.951,2.76504
169.087,3.40004
169.214,4.21299
169.33,5.26288
169.42,6.41349
169.506,7.93274
169.572,9.58357
169.624,11.4147
169.677,14.0052
169.717,16.8306
169.758,20.7548
169.793,25.6207
169.829,32.344
169.863,40.93
169.896,52.385
169.929,67.611
169.962,87.5448
169.998,115.456
170.039,157.022
170.083,214.395
170.138,303.409
170.296,607.882
170.357,692.604
170.416,727.254
170.424,727.788
170.483,700.262
170.544,621.116
170.654,411.443
170.728,272.682
170.777,197.786
170.819,146.301
170.858,109.042
170.892,83.3198
170.927,63.6021
170.96,49.3671
170.993,38.6818
171.027,30.7357
171.06,24.8505
171.098,19.9581
171.14,16.1155
171.182,13.3896
171.234,10.9784
171.292,9.11106
171.358,7.58414
171.437,6.25403
171.54,5.01899
171.65,4.07278
171.784,3.25378
171.932,2.6154
172.103,2.08798
172.287,1.68241
172.476,1.37859
172.697,1.119
172.95,0.904311
173.217,0.740129
173.438,0.644996
173.545,0.627687
173.621,0.644703
173.695,0.699155
173.768,0.799705
173.963,1.17383
174.037,1.23745
174.047,1.23867
174.115,1.19686
174.193,1.05459
174.355,0.655491
174.421,0.531717
174.485,0.446109
174.549,0.390268
174.641,0.344838
174.793,0.308942
175.184,0.258916
175.672,0.214365
176.241,0.177514
176.885,0.146454
177.607,0.121598
178.12,0.110683
178.267,0.109492
178.377,0.11107
178.441,0.11524
178.496,0.123599
178.537,0.13529
178.578,0.154609
178.613,0.179243
178.65,0.218792
178.685,0.269532
178.719,0.337847
178.759,0.443977
178.799,0.58205
178.847,0.789267
178.923,1.19927
179.029,1.77958
179.089,2.0018
179.145,2.07473
179.2,2.00662
179.263,1.77399
179.369,1.19227
179.439,0.808743
179.489,0.587215
179.533,0.432902
179.572,0.328108
179.604,0.261364
179.636,0.210534
179.669,0.172784
179.701,0.145372
179.738,0.123604
179.784,0.106468
179.83,0.096251
179.891,0.0886374
180.013,0.0818669
180.318,0.0750163
180.889,0.0681044
182.234,0.0592658
183.564,0.0553529
184.007,0.0549986
184.894,0.056088
185.78,0.0589577
186.561,0.0641694
187.073,0.0697359
187.28,0.0739465
187.683,0.0889417
187.771,0.0897422
188.012,0.0885208
188.195,0.0905491
188.683,0.105199
189.123,0.124769
189.51,0.149322
189.877,0.182629
190.2,0.22484
190.49,0.279493
190.723,0.342318
190.938,0.423561
191.125,0.52429
191.278,0.639241
191.41,0.774087
191.544,0.965804
191.646,1.17086
191.731,1.40459
191.809,1.70243
191.87,2.03476
191.925,2.47279
191.963,2.90766
192.002,3.54467
192.036,4.34312
192.065,5.29143
192.094,6.58257
192.125,8.42709
192.154,10.9024
192.184,14.2538
192.214,18.7391
192.244,24.7953
192.275,32.694
192.308,43.9469
192.344,59.2204
192.382,80.2739
192.427,111.29
192.488,163.111
192.629,298.372
192.695,343.3
192.755,359.567
192.761,359.688
192.817,347.912
192.882,307.575
192.979,216.602
193.064,136.474
193.117,95.6533
193.16,68.9213
193.197,51.1049
193.23,38.277
193.263,28.519
193.292,21.8361
193.321,16.6945
193.351,12.7973
193.376,10.1993
193.404,8.07517
193.431,6.47977
193.458,5.28512
193.491,4.23974
193.524,3.49482
193.565,2.84931
193.601,2.44217
193.65,2.0544
193.711,1.7171
193.794,1.40105
193.896,1.13224
194.013,0.917728
194.144,0.747298
194.298,0.60699
194.478,0.492108
194.668,0.407674
194.898,0.337229
195.113,0.29232
195.328,0.262746
195.467,0.253673
195.568,0.261167
195.618,0.276696
195.669,0.307932
195.712,0.355072
195.749,0.415091
195.785,0.500319
195.821,0.617307
195.858,0.772474
195.901,1.01652
195.947,1.34626
196.008,1.89377
196.147,3.29246
196.217,3.78481
196.28,3.94332
196.337,3.81293
196.397,3.42195
196.491,2.5126
196.584,1.58372
196.635,1.17412
196.677,0.896449
196.72,0.682476
196.757,0.544738
196.794,0.442694
196.833,0.364579
196.871,0.31383
196.91,0.280528
196.96,0.254756
197.02,0.240603
197.099,0.235766
197.258,0.244404
197.489,0.275269
197.681,0.316982
197.873,0.37982
198.021,0.45013
198.168,0.551337
198.283,0.664328
198.381,0.800602
198.463,0.961858
198.529,1.14835
198.578,1.35055
198.621,1.60533
198.658,1.91927
198.689,2.28504
198.719,2.78995
198.746,3.38506
198.772,4.14453
198.797,5.14572
198.823,6.46005
198.851,8.37134
198.879,10.9039
198.907,14.218
198.936,18.5801
198.968,24.9302
199.0,33.087
199.038,45.1442
199.078,61.4342
199.127,86.4327
199.196,129.192
199.309,203.723
199.376,235.728
199.438,248.038
199.446,248.23
199.505,239.267
199.563,215.311
199.657,156.188
199.75,95.735
199.8,68.568
199.841,50.5184
199.878,37.4977
199.911,28.0542
199.942,21.3006
199.973,16.0394
200.0,12.3731
200.028,9.53716
200.056,7.37163
200.083,5.73644
200.112,4.47384
200.138,3.63135
200.168,2.88465
200.199,2.34819
200.235,1.90626
200.272,1.5899
200.315,1.33301
200.364,1.12906
200.425,0.950749
200.499,0.798915
200.591,0.662301
200.702,0.544284
200.839,0.440227
200.983,0.362788
201.168,0.292115
201.361,0.24058
201.578,0.199819
201.786,0.173226
201.89,0.165322
201.942,0.164212
202.003,0.167889
202.064,0.18157
202.11,0.203181
202.148,0.232532
202.186,0.276005
202.225,0.339096
202.263,0.421572
202.306,0.546421
202.354,0.729337
202.416,1.02774
202.558,1.82433
202.63,2.11814
202.694,2.21912
