90-Th-232(n,&gamma;) ENDF/B-VII.1
1.0E-5,373.809
1.31241E-5,326.298
1.70876E-5,285.961
2.2426E-5,249.617
2.91987E-5,218.759
3.83206E-5,190.953
4.98935E-5,167.347
6.54808E-5,146.077
8.52562E-5,128.021
1.11891E-4,111.748
1.45682E-4,97.932
1.91195E-4,85.4857
2.48937E-4,74.9168
3.26707E-4,65.3905
4.25373E-4,57.3049
5.58264E-4,50.0175
7.26861E-4,43.8336
9.53941E-4,38.2583
0.00124203,33.5229
0.00163006,29.2569
0.00212234,25.6348
0.00278538,22.3698
0.00362657,19.6003
0.00475955,17.132
0.00619694,15.005
0.00813293,13.084
0.0105891,11.4693
0.0138972,9.98488
0.0180942,8.73049
0.0234661,7.66275
0.0253,7.37062
0.033204,6.40394
0.0432317,5.57741
0.0567377,4.83664
0.0774837,4.10176
0.0969512,3.64482
0.132401,3.06437
0.173043,2.62974
0.226242,2.24449
0.308296,1.85863
0.386593,1.60493
0.483724,1.38736
0.578306,1.21627
0.722169,1.0303
0.863375,0.897218
1.06828,0.750857
1.27034,0.644696
1.53092,0.543599
1.7931,0.469904
2.10543,0.39819
2.47884,0.337509
2.93762,0.281679
3.47814,0.234979
4.21018,0.191991
4.98614,0.160876
5.86947,0.136941
6.90652,0.118492
7.78497,0.109231
7.89477,0.108976
8.06558,0.111101
8.14793,0.116935
8.17996,0.123191
8.20131,0.131761
8.21809,0.144628
8.23334,0.165913
8.24554,0.194223
8.25622,0.231196
8.26674,0.282241
8.27863,0.360724
8.29251,0.48145
8.33033,0.881703
8.34644,0.994356
8.35814,1.02085
8.37011,0.993334
8.3828,0.909929
8.40537,0.679165
8.4255,0.467025
8.43831,0.357931
8.44929,0.285528
8.46027,0.231677
8.46942,0.198891
8.48162,0.168471
8.49382,0.148945
8.50968,0.133731
8.52921,0.123539
8.55849,0.115821
8.63901,0.107574
8.79762,0.102541
9.48085,0.0970105
10.7386,0.0942011
12.0451,0.0963886
12.6551,0.100557
12.8442,0.105491
12.9052,0.111091
12.9357,0.11865
12.9567,0.129891
12.9743,0.147098
12.9883,0.16919
13.0034,0.204584
13.0179,0.252595
13.0353,0.329895
13.0845,0.605173
13.1045,0.678392
13.1186,0.694611
13.1352,0.671761
13.1553,0.591683
13.2032,0.324934
13.2187,0.256745
13.234,0.206431
13.2492,0.17118
13.2642,0.148315
13.2819,0.131779
13.3084,0.119405
13.3261,0.115364
13.3871,0.109855
13.5579,0.107373
14.2655,0.113382
15.2424,0.129583
16.0991,0.151153
16.7724,0.176739
17.3301,0.206582
17.945,0.25192
18.4061,0.301795
18.7904,0.360242
19.0979,0.423291
19.4053,0.508838
19.7351,0.635996
19.9997,0.788313
20.2174,0.967168
20.4002,1.17897
20.5569,1.43193
20.7048,1.76918
20.8267,2.16107
20.9312,2.62823
21.0287,3.24067
21.1157,4.01874
21.1888,4.94489
21.2515,6.05637
21.3072,7.43509
21.356,9.12066
21.3995,11.2322
21.4361,13.7185
21.4691,16.8933
21.4952,20.4493
21.517,24.6425
21.537,30.2267
21.551,35.7277
21.5649,43.3181
21.5788,54.0335
21.5913,67.5741
21.6039,86.3336
21.615,108.92
21.6262,138.746
21.6366,174.916
21.6491,231.136
21.6617,303.934
21.676,409.97
21.6916,556.762
21.7132,808.001
21.7627,1457.67
21.7849,1665.92
21.8067,1746.99
21.8083,1747.42
21.8288,1684.98
21.8476,1528.8
21.879,1138.82
21.9124,701.368
21.9315,495.681
21.9472,362.02
21.9597,277.439
21.9731,206.865
21.985,159.227
21.9968,122.935
22.0087,95.7208
22.021,74.7903
22.0332,59.7634
22.0454,48.7989
22.0593,39.7828
22.0754,32.5039
22.0907,27.6327
22.1124,22.7491
22.1385,18.7708
22.1673,15.7327
22.2038,13.0368
22.2404,11.1452
22.2856,9.50244
22.3422,8.14131
22.3988,7.27743
22.4563,6.7474
22.5259,6.45013
22.5607,6.41944
22.6374,6.60496
22.714,7.15139
22.788,8.09353
22.8567,9.46878
22.9139,11.154
22.9683,13.447
23.0151,16.2535
23.0552,19.6246
23.0895,23.6284
23.1181,28.207
23.1468,34.6596
23.1697,42.1522
23.1887,51.1681
23.2059,62.9021
23.2208,77.484
23.2338,95.2092
23.2468,119.601
23.2597,153.185
23.2712,192.97
23.2826,244.947
23.2949,317.038
23.3086,423.037
23.322,555.635
23.3372,746.797
23.3559,1039.6
23.387,1637.36
23.4208,2291.51
23.4429,2595.56
23.4643,2718.33
23.4671,2720.03
23.4887,2619.79
23.5109,2333.93
23.5483,1617.29
23.5775,1057.3
23.5971,748.74
23.6124,557.838
23.6269,415.251
23.6406,311.39
23.6532,238.827
23.6653,186.108
23.6773,146.281
23.6893,116.478
23.7013,94.281
23.7155,75.3073
23.7307,60.8241
23.746,50.5321
23.7651,41.4334
23.787,34.1383
23.8109,28.4849
23.8443,22.8795
23.8834,18.3175
23.9235,14.9891
23.9664,12.3742
24.0179,10.0754
24.078,8.13915
24.1448,6.59078
24.2212,5.31827
24.3109,4.25339
24.4139,3.39063
24.517,2.77291
24.6372,2.24868
24.7651,1.84198
24.9177,1.48947
25.0857,1.21053
25.2689,0.988844
25.4826,0.801786
25.7132,0.655101
25.9768,0.533747
26.2608,0.439872
26.6124,0.354259
26.974,0.290868
27.3758,0.239362
27.858,0.194909
28.3401,0.162775
29.0634,0.129025
29.867,0.1039
30.5098,0.0894534
31.2489,0.0773636
32.2764,0.0649829
33.3039,0.0564078
34.5883,0.0491619
35.7852,0.0446126
36.2977,0.0437727
36.56,0.0448144
36.6454,0.0467174
36.6881,0.0494595
36.7186,0.0537269
36.7415,0.0595057
36.7643,0.0689976
36.7834,0.0810711
36.8025,0.0982575
36.822,0.12246
36.8418,0.15496
36.8656,0.205013
36.904,0.306461
36.9516,0.433793
36.9809,0.484928
37.005,0.499127
37.0334,0.479712
37.0651,0.418333
37.1392,0.217939
37.1638,0.163766
37.1848,0.127398
37.2036,0.102665
37.2226,0.0840556
37.2417,0.0708255
37.2646,0.0602914
37.2874,0.0537902
37.3103,0.0498499
37.35,0.0462909
37.4293,0.0436829
37.5771,0.0421865
37.6852,0.0419205
37.8377,0.0430423
37.8956,0.0457922
37.9261,0.0495282
37.949,0.0545145
37.9719,0.0624528
37.9948,0.0745285
38.0183,0.0924682
38.042,0.117262
38.0719,0.157685
38.1378,0.260634
38.1708,0.295977
38.1974,0.30564
38.2275,0.293221
38.2601,0.256012
38.3349,0.14009
38.3623,0.106169
38.3837,0.0859826
38.4065,0.070084
38.4294,0.0591648
38.4523,0.0520281
38.4828,0.0464662
38.527,0.0427661
38.6002,0.0407029
38.8808,0.03891
40.0047,0.0377061
40.4195,0.0382099
40.5842,0.0393196
40.6696,0.0413305
40.7123,0.0442893
40.7428,0.0488037
40.7657,0.054707
40.7885,0.0640265
40.8114,0.0781897
40.8305,0.0947911
40.8541,0.122634
40.8779,0.159409
40.913,0.227724
40.9697,0.345869
41.0014,0.390702
41.0292,0.404392
41.0576,0.390268
41.0893,0.345123
41.1704,0.178219
41.1985,0.131468
41.2201,0.103633
41.243,0.0817548
41.2621,0.0686226
41.2849,0.0577047
41.3116,0.0497939
41.3345,0.0457439
41.3742,0.0420518
41.4535,0.0395102
41.7371,0.0377254
42.3228,0.0372864
44.6027,0.0389839
46.0988,0.0418214
46.4282,0.0435624
46.5959,0.0458757
46.6646,0.0483491
46.7103,0.0522953
46.7408,0.0576955
46.7675,0.0660448
46.7904,0.0775894
46.8094,0.09167
46.8285,0.111097
46.8476,0.13712
46.8707,0.179063
46.8972,0.242591
46.9314,0.346937
46.9943,0.559519
47.0272,0.640723
47.0585,0.673012
47.0625,0.673439
47.0943,0.646464
47.1248,0.576525
47.2143,0.281624
47.241,0.209891
47.2651,0.1594
47.2864,0.125435
47.3058,0.102367
47.3249,0.0857799
47.3478,0.0720025
47.3707,0.0630796
47.4012,0.0560664
47.4423,0.0514414
47.5201,0.0483247
47.7336,0.0465023
47.8434,0.0463516
48.7707,0.048373
50.4504,0.05583
51.9349,0.0657351
53.172,0.0787253
54.1618,0.0937298
54.9041,0.110561
55.5228,0.131091
56.0177,0.154558
56.5126,0.187795
56.8837,0.224986
57.1827,0.26757
57.4389,0.318935
57.6769,0.386287
57.8965,0.476049
58.0674,0.57587
58.2199,0.701598
58.348,0.853149
58.4212,0.981144
58.4761,1.12982
58.5219,1.32643
58.56,1.57209
58.6018,1.95246
58.658,2.64011
58.7373,3.67943
58.7897,4.11931
58.8471,4.26116
58.8996,4.23978
58.9417,4.30705
58.977,4.53544
59.0085,4.94057
59.0428,5.6973
59.0702,6.66119
59.0943,7.92164
59.1173,9.70625
59.1376,12.0078
59.1554,14.8426
59.1732,18.7588
59.1902,23.8799
59.2075,30.8831
59.2247,40.2689
59.2419,52.6773
59.26,69.7347
59.2789,92.9436
59.2996,125.558
59.3228,172.462
59.3486,237.823
59.3825,342.609
59.4558,590.086
59.4937,679.886
59.5283,710.87
59.5299,710.939
59.5646,682.501
59.5998,602.788
59.661,399.105
59.7046,257.8
59.7338,180.787
59.7574,131.625
59.7781,97.7766
59.7962,74.5239
59.8134,57.1617
59.8306,43.7267
59.8478,33.5037
59.8633,26.5039
59.8788,21.15
59.8969,16.5071
59.9149,13.1514
59.933,10.7226
59.9537,8.73974
59.9778,7.13731
60.0053,5.8896
60.0397,4.83557
60.0793,4.00589
60.131,3.2542
60.1912,2.64234
60.2635,2.12843
60.3461,1.71903
60.4391,1.39715
60.5492,1.13199
60.6594,0.945288
60.804,0.774027
60.9417,0.660511
61.1138,0.561096
61.3204,0.481075
61.5721,0.419097
61.9141,0.372842
62.2561,0.349386
62.5794,0.341848
63.1025,0.353376
63.6256,0.385916
64.2204,0.450095
64.694,0.52813
65.1605,0.637329
65.6105,0.788637
66.0104,0.981385
66.352,1.21547
66.6436,1.49421
66.8935,1.82108
67.1226,2.22813
67.3268,2.72384
67.5351,3.42841
67.7184,4.30682
67.8662,5.29358
68.0079,6.60495
68.1266,8.13171
68.2412,10.1853
68.3349,12.5258
68.4224,15.5536
68.4974,19.1632
68.5619,23.4527
68.614,28.1549
68.6661,34.6359
68.7119,42.7967
68.7473,51.7956
68.7792,63.2496
68.8073,77.5489
68.8335,96.3124
68.8569,119.369
68.8802,150.805
68.9031,192.648
68.9256,247.5
68.9481,319.481
68.9731,423.825
68.9998,567.959
69.031,783.787
69.0722,1141.57
69.1631,2019.91
69.2064,2300.61
69.2427,2381.24
69.2824,2286.09
69.3264,1987.56
69.4347,948.641
69.4684,683.574
69.4947,517.868
69.518,399.985
69.543,301.442
69.5638,238.167
69.5863,185.645
69.6088,146.236
69.6313,116.914
69.6563,93.1057
69.6825,75.1917
69.7125,60.7347
69.7463,49.4123
69.7846,40.4427
69.8263,33.5107
69.8762,27.5124
69.9304,22.7743
70.0033,18.1818
70.0762,14.8874
70.1637,12.0166
70.2637,9.6633
70.3782,7.73767
70.5094,6.16838
70.6553,4.92788
70.8219,3.92089
71.0083,3.12216
71.1976,2.53782
71.4287,2.02494
71.6361,1.70504
72.0143,1.26196
72.2919,1.03518
72.6487,0.829043
73.0147,0.675951
73.476,0.537085
74.0097,0.426083
74.572,0.341136
75.1724,0.276305
75.8586,0.222885
76.5448,0.183886
77.4025,0.14863
78.489,0.117445
79.4039,0.0984203
80.5476,0.0810498
81.9201,0.066005
83.5216,0.0540408
85.1231,0.0458784
86.9534,0.0392499
88.7166,0.035046
89.1315,0.0347151
89.522,0.035657
89.644,0.0372264
89.7203,0.0402649
89.7661,0.0447301
89.7958,0.0499627
89.8256,0.0582784
89.8504,0.0686471
89.8751,0.0833078
89.8999,0.103526
89.9247,0.130639
89.9514,0.168984
89.9819,0.225867
90.0162,0.307006
90.0713,0.467788
90.1371,0.666784
90.181,0.763891
90.2232,0.803995
90.2296,0.804706
90.2689,0.777691
90.3128,0.690921
90.386,0.473518
90.4409,0.31228
90.4777,0.224916
90.5082,0.16814
90.5349,0.129832
90.5616,0.100923
90.5883,0.0798514
90.6131,0.0658557
90.6371,0.0562104
90.6645,0.0486574
90.692,0.0436975
90.7332,0.0392912
90.7881,0.0363829
90.8766,0.0343584
91.0596,0.0326459
91.5966,0.0308519
94.1471,0.0287072
95.1539,0.0285665
96.6244,0.029192
97.1736,0.0303541
97.4176,0.0321352
97.5092,0.03429
97.5549,0.0368183
97.5854,0.0397623
97.6205,0.0453396
97.6503,0.0529431
97.68,0.0644692
97.7048,0.0781586
97.7296,0.0966109
97.7544,0.120831
97.7822,0.156016
97.8165,0.21219
97.8585,0.299735
97.9717,0.578199
98.0217,0.662757
98.0642,0.687551
98.1089,0.660178
98.1547,0.582704
98.281,0.275573
98.3199,0.198709
98.3504,0.151126
98.3809,0.114513
98.4076,0.0904976
98.4339,0.072966
98.4579,0.061261
98.4854,0.0517689
98.5197,0.0441057
98.554,0.0395254
98.5952,0.0364302
98.6501,0.0343857
98.7722,0.0327339
99.1871,0.0317126
100.239,0.03284
101.639,0.0360539
102.615,0.0399376
102.871,0.0420328
102.993,0.0446989
103.054,0.0484433
103.097,0.0538037
103.129,0.060514
103.161,0.0707206
103.193,0.0857422
103.225,0.106995
103.259,0.138122
103.298,0.183912
103.347,0.259917
103.45,0.434667
103.496,0.489044
103.542,0.50884
103.589,0.489143
103.642,0.424085
103.761,0.223714
103.802,0.166623
103.837,0.129638
103.871,0.101953
103.905,0.0823593
103.935,0.0706402
103.971,0.0612796
104.007,0.0556664
104.065,0.0512342
104.165,0.0490611
104.25,0.0487899
104.762,0.0510699
105.616,0.0583965
106.456,0.0687081
107.297,0.0830782
108.029,0.101987
108.48,0.118914
108.897,0.142706
109.139,0.152847
109.505,0.179328
109.877,0.2169
110.218,0.264901
110.535,0.327917
110.799,0.401916
111.021,0.487681
111.229,0.59851
111.414,0.73552
111.576,0.90176
111.724,1.11261
111.853,1.36921
111.969,1.68798
112.066,2.05798
112.154,2.51872
112.235,3.11203
112.304,3.83727
112.352,4.55294
112.399,5.52311
112.436,6.65712
112.463,7.85649
112.491,9.52248
112.519,11.8859
112.543,14.7853
112.568,18.7772
112.589,23.5123
112.612,30.3199
112.635,39.3785
112.658,51.2747
112.682,67.2001
112.706,87.5687
112.732,115.68
112.763,158.985
112.798,219.656
112.845,318.363
112.956,584.597
113.006,669.153
113.053,698.267
113.055,698.336
113.102,671.799
113.149,596.908
113.226,416.761
113.29,265.4
113.329,188.928
113.361,139.283
113.391,102.033
113.418,75.4142
113.444,56.2971
113.468,43.2691
113.491,33.2882
113.513,25.9111
113.534,20.7307
113.558,16.2106
113.583,12.9229
113.607,10.5304
113.633,8.6373
113.666,7.02568
113.703,5.77266
113.749,4.71958
113.805,3.8669
113.874,3.13473
113.957,2.52602
114.053,2.03596
114.148,1.68882
114.235,1.46367
114.339,1.29292
114.455,1.20599
114.603,1.11303
114.723,0.943408
114.863,0.723826
114.967,0.615916
115.101,0.535089
115.327,0.454856
115.626,0.387143
115.968,0.340778
116.309,0.316354
116.653,0.308331
117.121,0.320437
117.433,0.343105
117.822,0.392944
118.172,0.465884
118.444,0.550526
118.693,0.660901
118.931,0.811818
119.135,0.99672
119.305,1.21181
119.464,1.49072
119.6,1.82321
119.719,2.22375
119.832,2.75327
119.931,3.40326
120.016,4.18268
120.087,5.08746
120.144,6.09018
120.189,7.19516
120.229,8.53523
120.267,10.3809
120.301,12.7708
120.331,15.7751
120.356,19.2386
120.383,24.4763
120.406,30.581
120.43,38.7991
120.455,50.4661
120.479,64.9411
120.505,85.2701
120.532,113.044
120.562,152.015
120.594,205.676
120.634,288.749
120.686,421.479
120.782,689.9
120.838,801.134
120.887,840.557
120.892,840.811
120.935,815.189
120.983,733.888
121.053,549.795
121.132,330.474
121.176,231.494
121.211,168.756
121.241,125.139
121.267,95.7735
121.295,71.8753
121.317,56.6504
121.342,43.7706
121.366,34.2049
121.392,26.7151
121.417,21.1986
121.443,17.1042
121.467,14.2222
121.497,11.6049
121.532,9.55024
121.574,7.80133
121.62,6.50146
121.673,5.42459
121.746,4.3825
121.832,3.53177
121.929,2.84432
122.036,2.30705
122.149,1.89412
122.277,1.55051
122.428,1.25655
122.611,1.00317
122.8,0.816741
123.032,0.65411
123.283,0.530032
123.576,0.428238
123.868,0.355753
124.233,0.292592
124.598,0.247631
125.037,0.210936
125.427,0.189789
125.914,0.175347
126.158,0.172812
126.488,0.175477
126.817,0.187058
127.092,0.206972
127.312,0.234079
127.477,0.265919
127.599,0.30395
127.66,0.336323
127.706,0.375247
127.752,0.438378
127.789,0.518049
127.819,0.614173
127.85,0.747167
127.88,0.927445
127.911,1.16559
127.948,1.54049
127.99,2.09994
128.044,3.01812
128.15,5.01936
128.209,5.81611
128.262,6.10026
128.267,6.10214
128.322,5.85874
128.386,5.06805
128.487,3.57797
128.526,3.17452
128.565,2.97875
128.573,2.97099
128.605,3.07637
128.629,3.32843
128.653,3.77119
128.676,4.45739
128.7,5.42685
128.722,6.69514
128.744,8.39254
128.766,10.6229
128.788,13.5054
128.813,17.666
128.839,23.3855
128.868,31.4797
128.899,42.3278
128.937,59.3292
128.981,83.8907
129.107,164.401
129.158,187.607
129.207,197.409
129.214,197.57
129.262,190.627
129.309,171.398
129.385,124.867
129.46,76.712
129.501,55.0868
129.538,39.5935
129.569,29.0035
129.598,21.4536
129.626,15.9627
129.651,12.0864
129.676,9.1446
129.698,7.18728
129.72,5.68689
129.741,4.59334
129.767,3.61292
129.792,2.90239
129.817,2.38622
129.847,1.95549
129.881,1.60487
129.918,1.34901
129.96,1.14366
130.013,0.962025
130.087,0.784612
130.175,0.636943
130.276,0.518409
130.394,0.42094
130.521,0.346668
130.672,0.283122
130.849,0.230977
131.035,0.192199
131.271,0.157302
131.554,0.128424
131.842,0.108064
132.246,0.0882533
132.654,0.0744537
133.142,0.0630521
133.654,0.0549742
133.745,0.0544629
133.819,0.0551718
133.904,0.0587504
133.977,0.0655617
134.081,0.081254
134.171,0.0954466
134.243,0.101128
134.258,0.101308
134.323,0.0978689
134.41,0.0845122
134.526,0.0635165
134.603,0.053656
134.67,0.0483533
134.722,0.0459128
134.825,0.0434942
135.022,0.0423733
135.107,0.0435896
135.171,0.0467009
135.229,0.0527695
135.275,0.0609224
