92-U-232(n,total fission) ENDF/B-VII.1
1.0E-5,4080.21
1.31241E-5,3561.6
1.70876E-5,3121.28
2.2426E-5,2724.56
2.91987E-5,2387.71
3.83206E-5,2084.18
4.98935E-5,1826.5
6.54808E-5,1594.29
8.52562E-5,1397.17
1.11891E-4,1219.52
1.45682E-4,1068.68
1.91195E-4,932.776
2.48937E-4,817.365
3.26707E-4,713.325
4.25373E-4,625.006
5.58264E-4,545.388
7.26861E-4,477.807
9.53941E-4,416.855
0.00124203,365.061
0.00163006,318.373
0.00212234,278.699
0.00278538,242.901
0.00362657,212.497
0.00475955,185.352
0.00619694,161.91
0.00813293,140.684
0.0105891,122.777
0.0145161,103.786
0.0180942,92.2092
0.0234661,80.1749
0.0253,76.8539
0.0346825,64.2135
0.0453449,54.8377
0.0592642,46.7346
0.0774837,39.3847
0.101268,32.9056
0.132401,27.3737
0.165666,23.1458
0.206879,19.4785
0.257874,16.3212
0.323366,13.5411
0.40461,11.227
0.483724,9.66203
0.578306,8.31844
0.702327,7.11031
0.833039,6.25444
0.995924,5.50517
1.192,4.89378
1.458,4.37936
1.857,3.95533
2.35575,3.73254
2.655,3.69723
3.32,3.84526
3.852,4.22912
4.251,4.7978
4.517,5.44353
4.74975,6.35565
4.916,7.37488
5.049,8.5885
5.16538,10.155
5.26512,12.131
5.34617,14.4552
5.41891,17.4455
5.48125,21.1079
5.53778,25.8391
5.58723,31.7939
5.62921,39.0025
5.66412,47.3881
5.69488,57.5817
5.72398,70.9901
5.75058,88.315
5.77385,109.862
5.7938,135.986
5.81209,169.958
5.82809,212.304
5.8416,262.407
5.85469,329.913
5.86695,417.503
5.87859,530.462
5.89064,686.599
5.90436,920.915
5.92181,1303.7
5.95041,1992.43
5.9667,2260.31
5.97967,2331.75
5.9913,2272.42
6.0076,2016.99
6.04941,1031.2
6.06313,771.274
6.07476,598.734
6.0864,466.529
6.09804,367.533
6.10967,294.048
6.12131,239.315
6.13586,189.351
6.15124,151.512
6.16869,120.596
6.18615,97.994
6.20652,78.4912
6.22979,62.1697
6.25597,48.7748
6.28258,38.7232
6.3125,30.3047
6.34291,23.9208
6.37716,18.5581
