91-Pa-231(n,&gamma;) ENDF/B-VII.1
4.3636,271.496
4.3765,239.989
4.40824,127.556
4.41874,98.2534
4.42749,79.7613
4.43499,68.1224
4.44248,60.0521
4.44998,55.1939
4.45953,53.1611
4.46646,54.3305
4.47772,60.4852
4.49096,73.238
4.51428,100.42
4.52805,110.299
4.53466,111.533
4.5466,107.236
4.56028,93.4969
4.59009,53.3648
4.60223,40.6682
4.61327,32.2845
4.62431,26.5471
4.63645,22.5355
4.64859,20.1464
4.66316,18.5857
4.68436,17.7213
4.6923,17.6608
4.71615,18.0552
4.74794,19.6614
4.77835,22.3424
4.80877,26.4497
4.83734,32.2258
4.86183,39.5222
4.88173,48.0242
4.89959,58.8377
4.91489,71.9985
4.92714,86.701
4.93938,107.37
4.94908,130.293
4.95826,160.04
4.96745,200.981
4.97586,252.023
4.98479,324.748
4.99347,418.087
5.00367,560.975
5.01592,780.122
5.04551,1394.99
5.05775,1571.97
5.06957,1634.72
5.08163,1573.12
5.09449,1387.07
5.12766,712.251
5.13926,523.077
5.14845,407.413
5.15725,323.431
5.16618,261.539
5.17429,222.188
5.18143,198.509
5.19001,181.402
5.19929,174.742
5.21001,180.474
5.21858,194.365
5.2309,226.709
5.2625,335.426
5.27729,364.417
5.28371,366.881
5.294,356.539
5.30814,316.701
5.34499,161.898
5.35678,122.36
5.36749,94.7087
5.37727,75.7966
5.38758,61.1937
5.39803,50.6466
5.40927,42.6803
5.42213,36.4658
5.43499,32.2627
5.45359,28.4473
5.47083,26.5735
5.4852,26.0465
5.50333,26.8968
5.51759,29.25
5.52949,32.9831
5.54087,38.8228
5.55139,46.9512
5.56215,58.775
5.57342,75.5344
5.58718,101.904
5.61597,163.187
5.62799,180.404
5.64,186.681
5.65141,181.247
5.66653,159.616
5.69557,102.203
5.70809,83.3931
5.7181,73.8882
5.72811,69.9244
5.72952,69.8237
5.73941,72.2872
5.74789,78.7139
5.75791,91.0172
5.77393,118.804
5.79596,160.035
5.80798,175.033
5.8192,179.742
5.83082,173.821
5.84404,155.224
5.88134,78.0847
5.89386,57.3418
5.90388,44.528
5.91389,34.8281
5.92353,27.9408
5.93367,22.695
5.94494,18.5982
5.95821,15.3272
5.97223,13.0042
5.98825,11.1912
6.00828,9.65288
6.03532,8.29271
6.07038,7.1989
6.10042,6.60974
6.14991,6.06328
6.1994,5.8872
6.24949,6.04711
6.28705,6.44325
6.31961,7.08187
6.34966,8.09487
6.3697,9.18481
6.38623,10.5482
6.39925,12.1349
6.41227,14.4757
6.42367,17.4952
6.43481,21.7547
6.44533,27.4091
6.45585,35.0889
6.46712,45.9266
6.4819,64.2035
6.51395,109.345
6.52678,121.698
6.54018,126.428
6.55362,121.675
6.56905,106.381
6.60411,59.303
6.61664,46.0909
6.62866,36.6787
6.63918,30.9089
6.64819,27.5174
6.66172,24.5509
6.67191,23.6123
6.67761,23.4774
6.69468,24.4943
6.71176,27.61
6.72508,31.8774
6.73574,36.9727
6.7464,44.265
6.75611,53.6589
6.7647,64.9989
6.77328,80.1217
6.7831,103.354
6.79291,134.409
6.8037,179.031
6.81695,249.176
6.85203,471.133
6.86646,534.683
6.87984,555.324
6.89335,533.234
6.90895,462.019
6.94501,234.694
6.95777,169.825
6.96844,127.572
6.97788,98.8393
6.9877,76.3508
6.99628,61.6448
7.00487,50.5352
7.01468,41.1372
7.02572,33.5554
7.03799,27.6203
7.05271,22.6853
7.06988,18.7515
7.09049,15.5514
7.11515,12.9956
7.14512,10.9868
7.1676,9.97778
7.19757,9.0761
7.22754,8.54845
7.26684,8.3072
7.30109,8.49095
7.33534,9.10931
7.36822,10.3062
7.39331,11.9055
7.41338,13.9839
7.42843,16.3927
7.44098,19.3489
7.45353,23.6799
7.46482,29.3399
7.47485,36.3383
7.48552,46.4321
7.49656,60.4062
7.50948,81.8573
7.52679,118.468
7.55389,180.206
7.56774,202.725
7.58258,212.324
7.5834,212.348
7.59745,204.565
7.61462,177.513
7.64774,107.246
7.66028,85.8603
7.67082,72.4795
7.68186,63.2808
7.69039,59.5545
7.69744,58.6882
7.70552,60.1912
7.7136,64.4673
7.7237,74.0099
7.7337,88.5116
7.74434,109.975
7.75764,145.809
7.77573,207.934
7.80127,299.331
7.81638,335.683
7.82966,346.569
7.84277,335.307
7.8566,302.367
7.88214,210.579
7.90023,145.946
7.913,108.632
7.92364,83.9963
7.93481,64.1334
7.94412,51.6294
7.95463,41.0676
7.9654,33.2266
7.97737,27.055
7.98934,22.7143
8.00451,18.9096
8.02153,16.0275
8.04281,13.6304
8.06676,11.8652
8.10134,10.3089
8.14284,9.33554
8.19178,8.94054
8.23671,9.09283
8.29286,9.91801
8.33778,11.1719
8.38273,13.1686
8.42214,15.8524
8.45592,19.2751
8.48203,23.0687
8.5066,28.1214
8.52707,34.1055
8.5455,41.7754
8.56085,50.9073
8.57467,62.63
8.58645,76.7469
8.59668,93.6429
8.60692,116.652
8.61613,144.436
8.62509,179.783
8.63584,235.785
8.64659,309.541
8.65913,420.715
8.67448,592.409
8.70878,1024.93
8.72444,1163.05
8.73975,1211.82
8.7531,1173.97
8.76764,1056.88
8.79221,756.485
8.81307,499.129
8.82689,361.108
8.83789,274.674
8.84774,214.153
8.85773,166.996
8.86668,134.702
8.87743,105.761
8.88818,84.8416
8.8997,68.7342
8.91249,56.0371
8.92631,46.3401
8.94167,38.6706
8.96009,32.1572
8.98365,26.4437
9.00515,22.8423
9.02666,20.2864
9.0567,18.0243
9.08675,17.1636
9.10677,17.6162
9.11979,18.6081
9.13607,21.0599
9.14908,24.4343
9.16185,29.4207
9.17537,36.9443
9.19039,48.2819
9.21418,71.3798
9.23796,94.388
9.25498,104.781
9.26658,106.952
9.28142,103.277
9.29604,93.4298
9.34161,48.3926
9.356,36.9301
9.36977,28.6201
9.38166,23.3936
9.39518,19.2572
9.4072,16.813
9.41922,15.2071
9.43724,13.8629
9.45875,13.3233
9.46223,13.3148
9.48313,13.6494
9.50403,14.6586
9.52317,16.3572
9.53939,18.713
9.55359,21.9226
9.56575,26.0509
9.57589,30.9569
9.58651,38.1309
9.59712,48.1493
9.60774,61.9061
9.61814,79.8932
9.63015,107.139
9.64409,147.958
9.66639,229.413
9.68998,315.341
9.70473,352.08
9.71969,365.691
9.73304,355.024
9.74831,319.259
9.7734,229.073
9.79506,150.482
9.80921,109.143
9.821,82.3886
9.83173,63.837
9.84137,51.2054
9.85124,41.5489
9.86089,34.6061
9.87247,28.7075
9.88598,24.159
9.90142,20.9248
9.919,18.7638
9.93273,17.7671
9.96018,16.8819
9.97184,16.8274
10.0068,17.5609
10.0379,19.3143
10.069,22.3495
10.0965,26.6252
10.1165,31.2251
10.1364,37.9431
10.1514,45.2829
10.1664,55.9106
10.1784,68.1305
10.1903,85.3594
10.2003,105.123
