90-Th-231(n,total fission) ENDF/B-VII.1
1.0E-5,2004.51
1.30374E-5,1755.58
1.71104E-5,1532.47
2.22778E-5,1343.06
2.92376E-5,1172.39
3.80674E-5,1027.5
4.996E-5,896.95
6.50481E-5,786.116
8.53698E-5,686.25
1.11152E-4,601.467
1.45877E-4,525.076
1.89932E-4,460.221
2.49268E-4,401.783
3.24548E-4,352.17
4.2594E-4,307.463
5.54575E-4,269.501
7.2783E-4,235.292
9.47636E-4,206.244
0.00124369,180.065
0.00161928,157.839
0.00212517,137.803
0.00276697,120.788
0.0036314,105.463
0.00472809,92.4414
0.0062052,80.6988
0.00807918,70.7599
0.0106032,61.7771
0.0138054,54.1547
0.0181183,47.2785
0.0244451,40.7027
0.0253,40.0085
0.033204,34.9073
0.0432317,30.5714
0.0567377,26.6649
0.0738726,23.3535
0.0969512,20.37
0.126231,17.8407
0.165666,15.5622
0.215698,13.6276
0.29569,11.6329
0.300417,11.577
0.305144,11.7416
0.308296,12.3163
0.311009,13.5706
0.313043,15.3429
0.315078,18.199
0.316774,21.6821
0.318809,27.5066
0.320843,35.3966
0.323217,47.3635
0.32627,66.6912
0.334033,122.485
0.338066,144.921
0.342098,159.006
0.346131,165.924
0.354197,168.551
0.471666,146.489
0.61902,127.845
0.805965,112.026
1.09051,96.278
1.413,84.5004
1.91786,72.4708
2.63879,61.6604
3.55523,53.0703
4.79795,45.5657
6.37508,39.4746
8.60302,33.871
11.3264,29.4381
14.7464,25.7225
20.1004,21.9689
27.151,18.8071
37.0957,16.0163
50.0,13.7136
66.8397,11.7979
88.326,10.1961
117.64,8.75697
153.19,7.61353
205.133,6.5211
278.368,5.53667
370.957,4.74531
500.0,4.03458
668.397,3.44753
893.281,2.93952
1174.35,2.5333
1583.81,2.15132
2099.69,1.84776
2783.68,1.58835
3709.57,1.37069
5000.0,1.17648
7000.0,1.00342
10000.0,0.860223
14760.4,0.751756
21066.8,0.667427
32403.4,0.598658
53964.8,0.524461
85581.2,0.464466
104772.0,0.437203
127354.0,0.401088
151324.0,0.382427
200000.0,0.369128
258664.0,0.306639
306583.0,0.269569
344252.0,0.234689
400000.0,0.203379
573861.0,0.168994
600000.0,0.164742
850000.0,0.154773
900000.0,0.154325
1400000.0,0.165195
2397920.0,0.193181
3250000.0,0.208808
3500000.0,0.21171
4250000.0,0.204269
5500000.0,0.181684
6000000.0,0.1807
6500000.0,0.228318
7000000.0,0.301458
7500000.0,0.356795
8000000.0,0.391374
8750000.0,0.417997
1.0E7,0.435781
1.15E7,0.422573
1.19365E7,0.434439
1.25E7,0.488564
1.35E7,0.626537
1.4E7,0.657944
1.45E7,0.669381
1.575E7,0.649875
1.63741E7,0.638472
1.7E7,0.63636
1.8E7,0.637311
1.9E7,0.635923
2.0E7,0.644163
