96-Cm-242(n,&gamma;) ENDF/B-VII.1
1.0E-5,972.214
1.31241E-5,848.647
1.70876E-5,743.735
2.2426E-5,649.211
2.91987E-5,568.956
3.83206E-5,496.637
4.98935E-5,435.244
6.54808E-5,379.923
8.52562E-5,332.963
1.11891E-4,290.641
1.45682E-4,254.708
1.91195E-4,222.338
2.48937E-4,194.851
3.26707E-4,170.075
4.25373E-4,149.047
5.58264E-4,130.094
7.26861E-4,114.012
9.53941E-4,99.5131
0.00124203,87.1985
0.00163006,76.1046
0.00212234,66.6861
0.00278538,58.1962
0.00362657,50.9935
0.00475955,44.5796
0.00619694,39.0504
0.00813293,34.0558
0.0105891,29.8619
0.0138972,26.0047
0.0180942,22.7465
0.0234661,19.9721
0.0253,19.2054
0.033204,16.6903
0.0432317,14.6266
0.0567377,12.6716
0.0738726,11.0211
0.105586,9.11601
0.144742,7.67453
0.18924,6.60032
0.257874,5.52543
0.338436,4.68058
0.462184,3.8406
0.604058,3.20676
0.752956,2.73929
0.944185,2.30198
1.22079,1.86614
1.51485,1.54551
1.88586,1.25841
2.28433,1.0437
2.68281,0.884896
3.16098,0.742201
3.84788,0.602445
4.32225,0.532941
5.10212,0.453671
5.84025,0.405072
6.789,0.3718
7.41612,0.365915
8.05653,0.375917
8.6865,0.39864
9.3696,0.452234
9.825,0.511846
10.2804,0.602313
10.7168,0.736071
11.0584,0.894199
11.3525,1.09214
11.5897,1.3198
11.8269,1.64278
12.0166,2.01226
12.1826,2.46302
12.3368,3.04589
12.4696,3.74755
12.5906,4.63997
12.6902,5.65334
12.7827,6.94017
12.8657,8.52749
12.9452,10.6383
13.0116,13.0848
13.0697,16.0174
13.1266,20.0057
13.1765,24.909
13.2192,30.7637
13.2547,37.4475
13.2879,45.966
13.3164,55.9614
13.3449,69.9134
13.3676,85.7052
13.3876,105.181
13.4042,128.111
13.4191,157.281
13.4324,193.926
13.444,238.462
13.4556,299.801
13.4663,376.55
13.4777,487.258
13.4891,636.315
13.5009,842.096
13.5126,1102.16
13.5267,1502.09
13.5448,2142.2
13.5802,3533.12
13.5991,4089.88
13.6162,4313.61
13.6197,4320.53
13.6344,4201.44
13.6513,3799.94
13.6774,2835.13
13.7054,1754.49
13.7206,1277.36
13.7334,956.655
13.7451,726.883
13.7569,551.352
13.7675,430.968
13.7789,335.18
13.7884,275.308
13.8003,219.492
13.8126,177.661
13.8268,143.341
13.8411,118.85
13.8596,96.215
13.8809,77.9592
13.9065,62.5983
13.9331,51.2253
13.9663,41.0163
13.9995,33.6424
14.041,26.9596
14.0884,21.5279
14.1371,17.5188
14.194,14.1142
14.258,11.3592
14.3327,9.05775
14.4122,7.30202
14.5071,5.80381
14.602,4.72604
14.7158,3.78942
14.8344,3.0842
14.9672,2.50948
15.1095,2.05607
15.2756,1.66899
15.4677,1.34643
15.6764,1.09503
15.9112,0.890279
16.1721,0.726962
16.4255,0.609999
16.7234,0.50999
17.0915,0.417949
17.5298,0.341421
18.0412,0.280061
18.4796,0.243907
19.064,0.207987
19.6485,0.183021
20.379,0.162164
21.2557,0.146744
22.2975,0.139432
22.6448,0.138628
23.6867,0.144025
24.3812,0.153689
24.9022,0.165185
25.5967,0.188265
26.2045,0.221097
26.7254,0.26427
27.1504,0.31594
27.5,0.377627
27.8298,0.460861
28.1229,0.567952
28.3794,0.703907
28.6021,0.874316
28.7797,1.06555
28.9516,1.3255
29.0898,1.61865
29.2081,1.96215
29.3181,2.39731
29.4167,2.93284
29.5069,3.60613
29.5858,4.41516
29.662,5.49846
29.7296,6.85622
29.7888,8.53042
29.8381,10.4745
29.8804,12.7642
29.9185,15.5984
29.9523,19.1077
29.9805,23.2108
30.0044,28.1098
30.0256,34.2089
30.0446,41.9771
30.0628,52.5245
30.0797,66.4194
30.0949,83.7087
30.1101,107.159
30.1248,137.32
30.1403,179.406
30.1572,239.813
30.1755,325.025
30.1958,445.126
30.2223,638.805
30.2759,1066.08
30.3007,1208.53
30.3255,1271.37
30.3298,1272.77
30.3548,1224.63
30.3774,1108.1
30.4168,805.945
30.4537,514.622
30.4754,373.572
30.4946,274.271
30.5104,210.073
30.5265,159.337
30.542,122.215
30.5561,96.6632
30.5713,75.9511
