95-Am-242(n,&gamma;) ENDF/B-VII.1
19.257,21.2648
19.3409,20.508
19.5014,17.256
19.5893,16.5977
19.6139,16.5835
19.7836,17.2128
19.8737,18.5319
19.9613,20.0766
19.9935,20.2183
20.0581,19.4349
20.1881,16.5815
20.3203,14.5532
20.4995,9.67039
20.5608,8.5461
20.5979,8.11
20.6721,7.71131
20.683,7.69813
20.7752,7.93226
20.9043,8.89489
21.0321,10.4089
21.1513,11.8357
21.4636,12.6262
21.5664,12.935
21.6089,13.6792
21.6423,14.9225
21.6849,17.6062
21.7518,22.9997
21.7844,24.5279
21.7992,24.6903
21.8336,23.6785
21.8825,19.9275
21.9337,15.8415
21.963,14.2592
22.002,13.1028
22.0555,12.7111
22.1492,12.9065
22.2363,12.4636
22.414,10.7856
22.769,7.9825
23.0335,6.79951
23.2924,4.79105
23.4241,4.15195
23.8513,2.98145
24.0347,2.59117
24.1331,2.49023
24.1868,2.47955
24.2875,2.58258
24.3546,2.81064
24.4049,3.16751
24.4384,3.57559
24.4715,4.19018
24.504,5.06529
24.548,6.66997
24.602,8.79042
24.6404,9.74944
24.6656,9.93633
24.698,9.68871
24.7668,8.4804
24.81,8.14799
24.8516,8.35336
25.0344,11.0455
25.0949,11.3515
25.2325,10.6393
25.366,11.3574
25.422,11.0217
25.5422,9.31148
25.6938,8.39877
25.7627,7.45621
25.8738,5.57809
25.9393,4.78236
26.0074,4.28704
26.0591,4.09322
26.1107,4.02036
26.1947,4.10628
26.2787,4.41332
26.3676,4.99152
26.4565,5.89802
26.5355,7.08527
26.6146,8.77657
26.6897,10.9978
26.7845,14.7401
26.9189,20.4997
26.9953,22.4453
27.0506,22.8093
27.1525,21.6974
27.4145,17.0861
27.5527,13.0675
27.6576,10.1421
27.7425,8.5164
27.8116,7.68509
27.8595,7.32624
27.9553,7.04166
28.0523,7.23958
28.1809,8.11525
28.3946,10.4891
28.4931,12.0387
28.5489,13.6602
28.5984,16.1111
28.7055,23.6578
28.7487,25.129
28.7548,25.1687
28.7929,24.4846
28.9039,18.5267
28.9554,16.7416
29.0048,15.8973
29.0704,15.5425
29.1442,15.9901
29.1974,17.163
29.2618,19.8292
29.3486,24.1321
29.4018,25.2238
29.4583,24.2683
29.5535,21.0582
29.5946,20.583
29.6591,21.2436
29.739,22.1622
29.7913,21.4426
29.881,18.1133
29.9668,15.0763
30.0566,13.1483
30.2822,9.54672
30.353,8.83315
30.581,7.79803
30.7182,6.83273
30.7879,6.64752
30.9516,7.0733
31.0242,6.82605
31.1769,5.50105
31.2539,5.21874
31.2698,5.21296
31.3413,5.36824
31.5002,6.08873
31.5555,6.18184
31.6495,6.01856
31.7657,5.64919
31.8156,5.58517
32.0239,5.74618
32.0878,5.73177
32.2241,5.91751
32.313,6.08254
32.3907,5.86317
32.5426,4.79203
32.6093,4.61368
32.6586,4.71562
32.8145,5.64387
32.8386,5.68621
32.8914,5.5508
32.9787,4.82444
33.0556,4.15265
33.12,3.80667
33.1843,3.67317
33.2623,3.73184
33.3662,4.07932
33.4658,4.65586
33.5465,5.35714
33.6186,6.29299
33.6996,7.81946
33.8091,10.0374
33.8855,10.8044
33.9782,11.4253
34.0453,12.6639
34.1424,14.9442
34.1798,15.2212
34.2231,14.7585
34.2826,12.9541
34.3681,9.88494
34.4176,8.70405
34.466,8.08502
34.5265,7.86905
34.6032,8.1446
34.6693,8.76081
34.7218,9.63301
34.7706,11.0341
34.8109,12.8767
34.8614,16.2315
34.9425,22.623
34.9876,24.7689
35.0083,25.0657
35.0497,24.3421
35.1597,19.1403
35.2018,18.0228
35.2879,17.4998
35.3644,17.0368
35.5405,13.8546
35.6004,13.4176
35.6805,13.8162
35.8523,15.9907
35.8902,16.1354
35.9918,15.5483
36.1273,14.0808
36.3853,12.7155
36.5601,10.5885
36.668,9.24905
36.7579,8.55162
36.7983,8.46239
36.8388,8.59211
36.8882,9.16258
36.9377,10.2844
37.0567,13.9965
37.1058,14.5903
37.11,14.5916
37.1599,14.0682
37.2467,12.2239
37.2974,11.7255
37.3096,11.7191
37.3584,12.0934
37.4947,14.2478
37.5272,14.4281
37.5995,14.0096
37.8172,10.5446
38.0954,7.03507
38.2042,6.03889
38.3283,5.32143
38.4393,4.97161
38.5351,4.87046
38.6596,5.0322
38.8135,5.64982
38.936,6.49697
39.0261,7.54852
39.1998,10.4368
39.3069,11.3527
39.3504,11.7576
39.4022,12.8526
39.4491,14.7262
39.5501,20.0721
39.5961,21.1161
39.6001,21.1234
39.639,20.4713
39.691,18.0029
39.7711,13.5109
39.8183,11.6987
39.8714,10.537
39.9558,9.70686
40.1159,8.82761
40.1595,8.76227
40.2555,9.12669
40.3672,9.76803
40.3836,9.78442
40.4624,9.44738
40.5428,8.80359
40.5929,8.63106
40.6431,8.78751
40.7865,9.93362
40.8147,9.98448
40.892,9.88899
40.9448,10.2246
40.9859,11.1576
41.0213,12.5636
41.1365,18.9511
41.1847,20.3997
41.2177,20.6075
41.2946,20.2131
41.366,21.177
41.4356,22.2401
41.4842,21.4057
41.5433,18.6112
41.6228,14.437
41.7042,11.3271
41.8124,7.79658
41.8708,6.31943
41.9292,5.32078
41.9988,4.60813
42.0886,4.09229
42.1963,3.78848
42.2435,3.75696
42.2985,3.81371
42.3771,4.09022
42.5467,5.13069
42.6184,5.31115
42.6892,5.1306
42.8668,3.98253
42.9568,3.64311
42.9849,3.58893
43.0,3.56778
43.0,8.65281
46.5,9.6587
50.75,11.978
55.0,14.5919
62.5,11.8957
70.0,9.92538
83.6871,9.15981
90.0,8.8067
107.598,7.94823
110.0,7.83104
130.0,6.58166
150.0,6.00509
179.329,6.50998
180.0,6.52152
215.195,6.24891
