91-Pa-233(n,&gamma;) ENDF/B-VII.1
1.0E-5,2411.14
1.31241E-5,2104.65
1.70876E-5,1844.43
2.2426E-5,1609.97
2.91987E-5,1410.9
3.83206E-5,1231.51
4.98935E-5,1079.21
6.54808E-5,941.96
8.52562E-5,825.445
1.11891E-4,720.426
1.45682E-4,631.249
1.91195E-4,550.897
2.48937E-4,482.648
3.26707E-4,421.11
4.25373E-4,368.857
5.58264E-4,321.736
7.26861E-4,281.721
9.53941E-4,245.61
0.00124203,214.902
0.00163006,187.196
0.00212234,163.624
0.00278538,142.324
0.00362657,124.201
0.00475955,107.989
0.00649986,91.5874
0.00885724,77.5642
0.012142,65.2764
0.0158747,56.0219
0.0207477,48.0958
0.0234661,44.7173
0.0253,42.7054
0.033204,36.1098
0.0432317,30.592
0.0542112,26.4569
0.0738726,21.6334
0.0926341,18.6531
0.115908,16.1596
0.144742,14.1723
0.18042,12.5399
0.236786,11.0386
0.308296,10.1314
0.397219,9.8137
0.474887,10.0077
0.560461,10.6877
0.64045,11.9828
0.684525,13.3874
0.705338,14.5824
0.720438,16.0262
0.732681,18.0195
0.742884,20.8991
0.751046,24.6929
0.758188,29.6213
0.767289,38.1828
0.778226,49.1059
0.785082,53.2555
0.788804,53.8976
0.795203,52.1218
0.803202,45.9292
0.816139,33.6196
0.823689,28.1698
0.831851,24.2618
0.842054,21.5164
0.854297,19.9883
0.873886,19.2939
0.90327,19.7846
0.953875,22.3698
0.998452,26.0199
1.03863,30.7327
1.07718,37.193
1.10948,44.9816
1.13906,55.2846
1.16186,66.6298
1.18141,80.1775
1.19932,97.55
1.21398,117.376
1.22863,145.347
1.24003,176.073
1.25116,218.307
1.26066,269.587
1.2688,331.089
1.27586,404.072
1.28346,512.325
1.29052,650.757
1.29784,843.966
1.30599,1124.25
1.32667,1975.35
1.33492,2191.44
1.34087,2238.18
1.34708,2178.17
1.3549,1965.33
1.37737,1059.78
1.38551,801.603
1.39257,632.605
1.39922,513.911
1.40668,417.264
1.41483,343.737
1.42433,286.265
1.43383,248.717
1.44468,221.698
1.45934,202.982
1.47128,198.552
1.48831,205.92
1.50533,229.538
1.52053,268.015
1.53401,322.348
1.54556,392.626
1.55518,477.704
1.56417,591.432
1.57213,734.855
1.57931,915.758
1.58624,1155.36
1.59343,1493.52
1.60113,1979.17
1.61037,2734.79
1.62788,4352.66
